episode,total_reward,steps,mean_abs_ankle_deg,max_abs_ankle_deg,mean_abs_knee_deg,max_abs_knee_deg,mean_abs_hip_deg,max_abs_hip_deg,mean_abs_trunk_deg,max_abs_trunk_deg
1,-46.2560664911055,85,4.44445047638259,21.94488188732935,4.269989889010323,20.0855647829355,2.5346837630010683,11.903018823609782,2.5387893263066097,10.192031311188682
2,-53.6610685575359,74,5.647921264888824,22.88326607003707,6.489247535642619,21.2724699375161,4.059974451890893,13.045772458896526,4.3324923773328825,11.937197245193202
3,-65.33291743601842,62,5.715572874858911,22.790999613503534,9.346416714481903,22.666047065264948,6.204663933312796,14.332410003557596,4.676923969781307,13.351437705798809
4,-48.798239476048124,81,4.085918181331855,22.364750987591805,5.315473930906108,19.76133529073777,3.500579209103383,10.35716316945121,3.0734549490122673,14.315552884571936
5,-51.25184341004555,72,5.728027168198251,22.47925060320235,6.449329795275704,17.26035168905535,4.204724892326475,12.44941997441622,4.113548496563852,12.734791259766716
6,-24.35686041739828,111,4.060256380343287,21.268152945494013,5.079545615783714,22.686929861335226,3.4700136581904877,9.456401283588942,3.2585746034504237,11.18851665606284
7,-39.14944538753751,88,6.582626370373953,22.06030910047633,4.676302179888731,19.449881349493833,2.287917791120322,9.810880229094641,2.9117324007472574,11.731149383638929
8,-44.83068470379753,87,3.163725325698289,16.941389038313027,4.872210863105239,19.977505007274786,3.487988779031467,11.705579291207968,3.4101463715346405,14.038556097934219
9,-47.0083652192382,80,4.894422914320683,22.56302458210217,7.68489656452342,22.35083078799352,4.756671463738698,12.215249739894135,3.841058479236834,13.615085032018955
10,-40.18664454632783,92,4.461090948966594,22.66593621864021,4.155381518474175,19.959231565687443,2.2199720437768518,11.732329972603601,2.614114205246321,9.590949189097264
11,-48.13175756393814,82,4.7895615545348305,21.988076937398652,5.662606606651376,19.80777321335913,3.64100815127482,11.282222093596753,3.168191042041884,10.96104968272418
12,-40.06643629390945,89,6.647902877704038,22.523189571684775,4.143240742509667,18.59750810788678,1.7204388438458393,10.193437957819842,2.749786796145079,12.648482569112037
13,-41.50472971165145,92,4.575162537602319,20.17442330695919,4.221741155179612,21.097930652713597,2.352348838563691,11.154752977320287,2.3086612090275036,9.04735901271475
14,-36.55006071197995,95,4.307840368088213,20.095719947100005,4.294773284845446,19.01423582155773,2.6235731329497045,9.434353878799282,2.4732957814561267,9.98368643640377
15,-49.3611747446393,78,4.765775835142341,22.7567826253666,4.397520230873211,16.870556314985944,2.556400221427968,10.978759453518595,2.755818347091543,11.070170107524318
16,-39.131694202866356,97,3.9280015249948423,21.024361739529116,5.2105185528715685,22.25307661372424,3.911664615020928,12.608421661689436,3.3758583006590492,15.473072986527908
17,-60.57723229157737,65,5.34246069763743,22.37869637873805,6.3145957607841705,19.990093964383615,3.409380053593663,12.022662627845731,3.13164862246011,7.248892973571251
18,-48.34703219016306,82,4.529285684377488,20.058309564052056,4.7493949988070066,20.291508449681885,2.7760713672821247,14.441144888367521,2.4582798042891554,9.818425213460365
19,-46.720266155106685,86,4.831114380250235,20.658364729359022,4.502585491804776,21.563561275075074,2.66506263676743,12.318461232349794,2.539290592616491,10.699840151638696
20,-30.82419530441514,106,2.8113602385600305,18.98499130652084,4.629832624201941,22.454939060628195,3.025755486631889,12.771323055321526,2.7865333058747903,13.369363128992134
