model,episode,total_reward,steps,max_abs_ankle_deg,max_abs_hip_deg
Baseline (no disturbance training),1,1998.820953195886,1000,1.7919428598582012,0.7891644974165878
Baseline (no disturbance training),2,1998.818868294436,1000,1.699318379122996,0.7655795516110651
Baseline (no disturbance training),3,1998.8102602793842,1000,1.7860320141923938,1.0212367963317939
Baseline (no disturbance training),4,1998.8248810705702,1000,1.6742699682141948,1.2090082546002892
Baseline (no disturbance training),5,1998.8197748211564,1000,1.6522793017100799,0.7914195609716043
Baseline (no disturbance training),6,1998.815987642642,1000,1.7116511918865738,1.2643113431895074
Baseline (no disturbance training),7,1998.824336135194,1000,1.6915801754751336,0.9542384802390381
Baseline (no disturbance training),8,1998.8218995909597,1000,1.7362288589549768,0.8210623151393206
Baseline (no disturbance training),9,1998.8134888300033,1000,1.7320620073651427,1.1534147754411999
Baseline (no disturbance training),10,1998.8232633483235,1000,1.6621891825106363,0.7818973509838353
Baseline (no disturbance training),11,1998.8228546603918,1000,1.6524841636067966,0.8042498103637725
Baseline (no disturbance training),12,1998.816404183504,1000,1.749478540658817,1.0417298613503425
Baseline (no disturbance training),13,1998.8100897992085,1000,1.8217957215524028,0.7759570808304179
Baseline (no disturbance training),14,1998.8193675855773,1000,1.6566071945167586,0.9632085013192074
Baseline (no disturbance training),15,1998.80783482862,1000,1.9831067732040841,0.8017781524720226
Baseline (no disturbance training),16,1998.8207609729725,1000,1.7282978013905328,0.8324770797769189
Baseline (no disturbance training),17,1998.813857560719,1000,1.6729199076911818,0.7769234851143874
Baseline (no disturbance training),18,1998.8193680674813,1000,1.6326343040165094,0.8116260850196922
Baseline (no disturbance training),19,1998.8114773594598,1000,1.731251432556247,1.010119388864634
Baseline (no disturbance training),20,1998.8140503394666,1000,1.7424521276350442,0.8270315016873377
Robust (disturbance training),1,1995.5678691751662,1000,1.927992761557853,4.870799326897629
Robust (disturbance training),2,1994.9230927091469,1000,2.0771106518258704,4.912003137961095
Robust (disturbance training),3,1994.5204369407927,1000,1.8037851216668275,4.951465537179564
Robust (disturbance training),4,1995.8140563070938,1000,1.4378111068615331,4.796573679183521
Robust (disturbance training),5,1995.2166492986094,1000,1.674221786293998,4.884623013734743
Robust (disturbance training),6,1994.2862676388595,1000,2.0254823090731002,4.878754018227998
Robust (disturbance training),7,1995.2212116734079,1000,1.674290184720149,4.7278360470182985
Robust (disturbance training),8,1995.1606261623267,1000,1.6385856862546297,5.081958942539487
Robust (disturbance training),9,1994.53771415647,1000,1.6461299912308138,5.107710037721708
Robust (disturbance training),10,1995.3912840468988,1000,1.5686779738449939,4.846596560471805
Robust (disturbance training),11,1995.1829713398222,1000,1.555348731784245,4.763698970119962
Robust (disturbance training),12,1994.6533599096929,1000,1.617526410996736,4.949600401042215
Robust (disturbance training),13,1994.9587780099391,1000,2.0847213286362716,4.926529051125517
Robust (disturbance training),14,1995.4147256725448,1000,1.5780168528204581,4.786340526795767
Robust (disturbance training),15,1994.0901622183496,1000,1.614884329717485,5.29754206087469
Robust (disturbance training),16,1995.1078327052737,1000,1.5257914938717034,4.945424313396924
Robust (disturbance training),17,1995.3217020565733,1000,1.6507307764013133,4.80012559540868
Robust (disturbance training),18,1995.0632092719914,1000,1.5334153749972628,4.765961006106466
Robust (disturbance training),19,1993.8197634727323,1000,1.8494384609718477,5.007095944148035
Robust (disturbance training),20,1994.776500605155,1000,2.0915926287393396,5.177213536358205
