step,reward,com_y,target_y,h,failed,success,xcom_y,com_y_dot,ankle_eversion_action,ankle_eversion_torque_nm,ankle_eversion_angle_rad,ankle_flexion_action,ankle_flexion_torque_nm,ankle_flexion_angle_rad,hip_abduction_action,hip_abduction_torque_nm,hip_abduction_angle_rad,hip_flexion_action,hip_flexion_torque_nm,hip_flexion_angle_rad
0,-0.9215845465660095,-0.0003474150108257946,0.045,0.035161382748387315,False,False,0.0035007180250640544,0.013837005498849066,-1.0,-30.0,-0.0025647472436432003,-1.0,-50.0,-0.004657499198798412,1.0,50.0,0.01271873596639354,0.9192678332328796,68.94508749246597,0.016822795815735477
1,-0.8173438310623169,0.00026905381664133274,0.045,0.048277740779602896,False,False,0.01741332727067625,0.06164688274671273,-1.0,-30.0,-0.008862324490516917,-0.6735255122184753,-33.67627561092377,-0.011803548569213753,1.0,50.0,0.03675262609089551,0.511721134185791,38.379085063934326,0.04362156071896813
2,-0.735008716583252,0.0012288631899598462,0.045,0.06869921680765623,False,False,0.027921590586295137,0.09598093733185135,-1.0,-30.0,-0.016838604205979896,-0.3169080913066864,-15.84540456533432,-0.01943246487453204,0.7706699967384338,38.53349983692169,0.06694557671651247,0.36387914419174194,27.290935814380646,0.07194501019359185
3,-0.6630469560623169,0.002359026150881235,0.045,0.09274523725279238,False,False,0.03378936291140668,0.1130162960921389,-1.0,-30.0,-0.024435858741397094,-0.18895947933197021,-9.44797396659851,-0.026899251907273714,0.22047115862369537,11.023557931184769,0.09502816408510824,0.3312734067440033,24.845505505800247,0.09946868941566803
4,-0.6173211932182312,0.003520774561887087,0.045,0.11746328855078914,False,False,0.03582951679774159,0.1161748411005852,-1.0,-30.0,-0.03148203330090117,-0.20666064321994781,-10.33303216099739,-0.034042289866444364,0.26194044947624207,13.097022473812103,0.12030001794084877,0.2917262613773346,21.879469603300095,0.12555664820724993
5,-0.5675190091133118,0.004742874468134829,0.045,0.14346541421563475,False,False,0.03873001874426446,0.12220999062477417,-1.0,-30.0,-0.037982618459033356,-0.18834084272384644,-9.417042136192322,-0.04083097828425066,0.17465989291667938,8.73299464583397,0.1427602319729405,0.27302035689353943,20.476526767015457,0.15009137099175524
6,-0.5167964100837708,0.006020140562616622,0.045,0.1706412885663111,False,False,0.0415414811749783,0.1277266094481793,-1.0,-30.0,-0.04391858413077165,-0.1709577888250351,-8.547889441251755,-0.04727521751960847,0.11381818354129791,5.690909177064896,0.16228846906918384,0.25809797644615173,19.35734823346138,0.1731378955064074
7,-0.46439599990844727,0.007355752766202512,0.045,0.1990585694936705,False,False,0.044499724734588346,0.13356122035858903,-1.0,-30.0,-0.04927464287847727,-0.15004296600818634,-7.502148300409317,-0.05340384472097061,0.04216001555323601,2.1080007776618004,0.17876710555850062,0.24853119254112244,18.639839440584183,0.1948465748597446
8,-0.41041842103004456,0.008751142880698622,0.045,0.2287477208659282,False,False,0.04755756525288916,0.13953901144961095,-1.0,-30.0,-0.05403453826313526,-0.12949366867542267,-6.474683433771133,-0.059257416355509095,-0.030201155692338943,-1.5100577846169472,0.19206657573467809,0.24331670999526978,18.248753249645233,0.21542058917948315
9,-0.3548247814178467,0.01020866048530013,0.045,0.25975873372978997,False,False,0.05074287610821524,0.1457517604601508,-1.0,-30.0,-0.05818469507731983,-0.11050532758235931,-5.525266379117966,-0.06488670378064827,-0.10437081754207611,-5.2185408771038055,0.20206469615524028,0.24312451481819153,18.234338611364365,0.23510614358383536
