#{"t_start": 1785180610.0149362, "env_id": "None"}
r,l,t
-418.217768,25,1.652624
-346.229213,23,1.685345
-150.282195,46,1.735762
-278.412667,49,1.785315
-152.339846,44,1.818817
-236.328562,52,1.885387
-162.536166,43,1.935599
-354.434508,30,1.968903
-237.948853,29,2.002143
-262.48085,35,2.052152
-705.741409,34,2.085421
-297.720995,49,2.135411
-205.238668,63,2.535509
-347.845528,23,2.580632
-338.757693,51,2.665829
-270.890293,58,2.768767
-222.622137,26,2.818952
-610.33379,58,2.91788
-104.701552,55,2.98535
-151.466222,68,3.06861
-552.041532,41,3.10199
-286.493883,45,3.152037
-87.868361,51,3.218783
-243.739756,28,3.57648
-78.818486,37,3.676006
-400.429138,26,3.718668
-107.098843,49,3.801231
-340.354175,77,3.918722
-432.689673,23,3.968813
-311.403534,35,4.036456
-154.240629,42,4.102007
-390.783296,77,4.222516
-162.405579,67,4.402137
-267.792507,34,4.452012
-289.757466,42,4.518767
-728.935292,74,4.989742
-180.795952,73,5.119311
-1235.156787,113,5.302018
-345.864877,42,5.370368
-167.096544,68,5.468836
-325.166369,85,5.602015
-297.223149,40,5.685368
-159.789451,59,6.148022
-398.363947,83,6.301985
-658.666582,155,6.587399
-68.190537,75,6.718711
-421.683621,57,6.802024
-243.31944,63,6.935248
-411.391024,120,7.494423
-781.136492,106,7.652026
-204.200834,60,7.751937
-70.00177,99,7.918691
-145.664529,35,7.968792
-86.002847,61,8.068574
-1363.769282,116,8.564329
-452.109525,138,8.801996
-279.249952,80,8.921681
-1065.359464,113,9.101863
-2132.63821,162,9.678571
-313.897467,92,9.835421
-207.893167,28,9.888692
-1906.318453,89,10.02294
-553.075037,136,10.250599
-602.628353,42,10.318751
-903.821621,170,10.863107
-85.097128,25,10.901861
-170.028141,54,10.968679
-1277.681355,147,11.234587
-1725.652935,132,11.525084
-546.394223,109,12.029614
-2847.064468,165,12.285122
-30.546929,153,12.526606
-864.728247,126,12.726717
-2060.604856,205,13.401976
-2445.742019,196,13.701822
-161.002094,95,13.868087
-870.231529,124,14.351811
-2367.099793,161,14.585443
-216.58658,29,14.636219
-2392.383984,157,14.851785
-2078.910248,160,15.345421
-2193.18954,159,15.685128
-136.493402,40,15.735122
-2318.037804,164,15.968611
-1925.641477,119,16.478551
-1860.657938,162,16.818436
-2477.526311,150,17.051774
-364.711679,61,17.168364
-671.843208,54,17.251689
-2398.326332,160,17.890961
-1600.309165,141,18.105745
-1115.694888,169,18.36851
-1906.072699,119,18.860889
-127.707848,150,19.092639
-560.823795,124,19.268357
-2305.857443,167,19.551667
-370.011318,39,19.623207
-2124.986913,167,20.220522
-501.98246,71,20.385042
-461.603235,105,20.551857
-164.457451,103,20.70179
-379.404831,35,20.740291
-851.960915,134,21.266342
-204.928646,50,21.341316
-2136.594879,178,21.684932
-439.134227,33,21.741761
-2374.725372,180,22.305873
-327.087741,32,22.36098
-2448.81862,175,22.618523
-2217.213191,168,22.901746
-734.379702,122,23.426781
-255.82962,35,23.487261
-344.568486,34,23.54381
-180.166575,18,23.570799
-249.074792,24,23.605539
-2321.404201,156,23.907359
-164.891812,57,23.984996
-249.551215,20,24.001724
-178.566239,74,24.101522
-383.294533,73,24.201558
-141.278244,42,24.568174
-434.613002,118,24.752078
-273.653315,18,24.786137
-251.292189,93,24.918123
-328.630083,37,24.96839
-130.897926,35,25.001453
-2178.590407,150,25.218233
-97.422205,46,25.595177
-281.106492,75,25.718178
-218.342807,21,25.753401
-165.857681,24,25.784837
-123.527299,23,25.818924
-150.410278,28,25.851828
-344.724638,22,25.885301
-720.704198,100,26.051736
-548.310437,19,26.084813
-451.282871,140,26.301577
-320.419514,22,26.33487
-504.471266,82,26.808367
-340.691819,49,26.900527
-134.987312,23,26.951568
-75.404027,39,27.051454
-91.039561,43,27.11824
-417.804816,54,27.218186
