time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/value_loss,train/std,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
0,37.22,1,4096,-316.11015771,7020,,,,,,,,,,,
1,42.95,2,8192,-323.18882444999997,5015,0.084765625,10,8.365466403961182,0.9997074604034424,3.736799478530884,-0.03339731693267822,-0.010793537177960388,0.00850765,0.0003,-5.6748938977718355,0.2
2,52.22,3,12288,-353.05028232000006,4213,0.0754150390625,20,5.519117841124535,1.0086498260498047,1.9107334613800049,-0.053816914558410645,-0.009645263527636417,0.0077390266,0.0003,-5.691346871852875,0.2
4,64.21,4,16384,-405.86822008999997,3994,0.07529296875,30,3.5420324176549913,1.0125563144683838,1.6260915994644165,-0.19878709316253662,-0.009533651752281002,0.00741669,0.0003,-5.7181499898433685,0.2
5,76.5,5,20480,-453.84122547,3804,0.0633056640625,40,2.7347424596548082,1.0141849517822266,1.269989252090454,-0.1298515796661377,-0.00928063634200953,0.007279706,0.0003,-5.727665054798126,0.2
6,88.04,6,24576,-547.2998943,3742,0.04306640625,50,2.6328717648983,1.0195425748825073,1.0279361009597778,-0.42731428146362305,-0.008313957724021747,0.007017629,0.0003,-5.739255368709564,0.2
7,94.29,7,28672,-657.95785968,3721,0.047705078125,60,2.5738856896758078,1.020564079284668,1.1200774908065796,-0.10237717628479004,-0.007668230912531726,0.0061298525,0.0003,-5.75294439792633,0.2
8,95.46,8,32768,-765.2185573199998,3702,0.0419921875,70,2.339200657606125,1.0281789302825928,0.7337116003036499,-0.27723073959350586,-0.007724430679809302,0.006058677,0.0003,-5.768659746646881,0.2
10,105.23,9,36864,-864.62858326,3654,0.0551513671875,80,2.494095915555954,1.0358176231384277,1.0399501323699951,-0.21765530109405518,-0.010016130295116454,0.007082318,0.0003,-5.799499708414078,0.2
11,110.21,10,40960,-856.3125279700001,3654,0.0378173828125,90,1.959266397356987,1.03986656665802,0.5819312930107117,0.10883623361587524,-0.007435029034968466,0.005864621,0.0003,-5.823212218284607,0.2
