#{"t_start": 1785326101.8252087, "env_id": "None"}
r,l,t
-106.948372,88,2.064005
-147.143421,51,2.163672
-520.779383,27,2.210223
-229.342282,36,2.305316
-121.906824,28,2.369295
-438.071433,18,2.410366
-533.707556,45,2.491238
-409.051431,25,2.540975
-409.777303,38,2.620697
-250.524452,49,2.691155
-344.871845,40,2.749662
-471.539124,42,2.813467
-431.469315,24,2.89106
-307.116547,47,3.763439
-326.441923,29,3.836664
-410.250294,82,4.096323
-499.415246,26,4.211431
-140.468049,52,4.310947
-154.848544,37,4.503562
-194.584352,34,4.610732
-161.332025,33,4.71417
-396.900532,40,4.844236
-526.795745,32,4.910368
-142.939324,27,4.988585
-517.902829,65,5.227202
-394.371552,49,5.783878
-253.611399,60,5.912713
-203.327653,41,5.984118
-337.831692,76,6.129459
-577.934113,87,6.295314
-538.015562,43,6.37749
-236.444274,32,6.464875
-461.052961,45,6.564394
-381.521982,20,6.627152
-220.33682,40,6.708855
-528.593342,71,7.339134
-70.90085,32,7.410274
-518.699331,95,7.6133
-478.961624,23,7.660488
-235.123359,35,7.746174
-563.862893,73,7.910204
-202.321411,84,8.061516
-326.61021,77,8.227477
-127.551967,82,8.777292
-325.972573,111,9.027391
-183.009646,88,9.309687
-368.383587,50,9.440514
-139.051975,70,9.664663
-541.087405,156,10.036061
-575.759507,108,10.8031
-430.923085,189,11.200228
-526.173976,86,11.410689
-227.197199,145,12.144858
-553.841218,151,12.411421
-442.253935,158,12.894409
-149.048894,65,13.031583
-578.599516,111,13.247518
-442.155299,119,14.036502
-570.527977,79,14.193929
-581.362268,131,14.410117
-533.833377,124,14.652104
-515.296498,157,15.404175
-470.52714,132,15.712541
-493.686597,154,16.126354
-598.842728,160,16.977108
-327.807106,128,17.221489
-450.012862,141,17.443786
-511.909898,132,17.735497
-577.275484,162,18.561512
-591.987266,150,18.860008
-288.130628,132,19.205295
-152.197785,173,20.012403
-618.299578,157,20.363464
-508.605918,129,20.733332
-660.128519,189,21.25972
-532.534493,164,22.230443
-487.58387,171,22.816085
-574.249423,162,23.174513
-626.342419,153,23.909666
-585.03145,127,24.233489
-523.597274,161,24.623718
-529.941796,96,24.823646
-600.500757,130,25.537255
-189.635008,146,25.92824
-62.268315,189,26.448081
-608.769286,153,27.218784
-604.456703,134,27.509427
-496.436502,171,27.910197
-560.560306,159,28.834792
-576.188358,175,29.271527
-552.378659,189,29.717812
-649.840324,191,30.737683
-633.567745,149,31.012751
-437.70999,162,31.307126
-559.788703,188,31.993565
-520.269753,185,32.315453
-594.247977,171,32.66261
-501.676838,190,33.286257
-544.796758,158,33.602185
-595.602815,152,33.902352
-511.393915,150,34.570266
-377.425654,140,34.822482
-507.817498,142,35.11873
-479.504841,134,35.390517
-618.60451,152,36.010038
-530.385589,159,36.286229
-605.14174,141,36.540191
-553.057217,144,37.070508
-672.485899,197,37.432016
-526.180521,145,37.726216
-602.806627,150,38.370564
-615.297873,209,38.752048
-607.377206,146,39.012397
-580.828883,202,39.747486
-560.701113,184,40.027658
-266.75099,186,40.370535
-521.600043,143,41.011847
-600.26766,174,41.361837
-535.63437,129,41.618246
-549.332914,174,42.246274
15.690042,157,42.503223
-529.08565,139,42.774184
-554.581719,145,43.033961
-635.300872,163,43.599424
-527.628766,144,43.848436
-566.901442,158,44.142516
-501.245602,146,44.773912
-542.910015,138,45.02268
-487.024573,243,45.467386
-495.066002,125,46.052151
-504.949492,145,46.310228
-503.895073,178,46.60774
-602.084071,199,47.234743
-577.893392,155,47.460269
-546.381239,134,47.668195
-527.178166,166,48.325377
-297.691171,162,48.603808
-511.859644,182,48.93367
-233.421863,162,49.508912
-591.918045,203,49.86193
-477.934556,145,50.112347
-538.460582,183,50.815386
-584.311809,213,51.226429
-498.156462,132,51.525871
-550.747841,175,52.40056
-523.292777,171,52.782343
-648.642608,194,53.302608
-695.925206,224,54.525628
-488.512981,155,54.899063
-554.103681,174,55.359162
-462.540545,151,56.108417
-348.569599,228,56.801998
-297.5073,177,57.327793
-558.081302,142,58.082124
-479.446244,153,58.434148
-262.230204,157,58.947642
-533.007421,151,59.763085
-523.337572,152,60.067048
-232.728178,192,60.502025
-631.577334,193,61.614955
-570.578001,163,61.899427
-69.321645,148,62.156559
-542.252102,172,63.017932
-484.51285,172,63.336164
-507.329622,149,63.686193
-565.861324,170,64.444257
-275.919133,161,64.792121
-506.252408,200,65.242026
-540.709856,164,66.264844
-513.610021,208,66.768994
-379.093546,140,67.11923
-569.703813,172,67.966166
-674.994683,237,68.532116
-315.305891,184,68.985415
-323.432711,160,69.791367
-180.417182,152,70.095541
-146.486938,252,71.244545
-556.821053,189,71.705035
-531.335773,158,72.10226
-115.491168,158,73.003893
44.105646,180,73.490483
98.397311,202,74.100872
-545.802602,190,74.966412
-88.085938,173,75.395507
-61.044901,205,75.961867
-525.925976,241,77.006057
-51.615177,234,77.665717
-323.577314,204,78.863737
-97.412791,146,79.24002
-293.735143,158,79.56527
-111.919431,173,80.329535
-101.560514,150,80.682157
-32.897318,163,81.058884
-438.165196,288,82.494415
-113.253258,158,82.894278
-50.967963,155,83.312204
-369.156928,148,84.43075
-74.495759,141,84.768787
-191.37345,162,85.247475
5.749708,209,86.131965
-25.51777,181,86.608728
48.571049,231,87.91648
-60.826745,133,88.203084
-180.354009,203,88.643974
56.006521,180,89.782282
-21.247005,180,90.180902
-128.621336,161,90.663513
-567.67423,188,91.694131
-285.31572,167,92.065394
87.419306,159,92.39608
-62.159723,190,93.332195
-178.403784,156,93.692613
-22.98687,246,94.209743
-182.177866,151,94.995204
-3.197075,175,95.324853
-6.529558,175,95.887727
-116.178875,192,96.93194
13.709702,159,97.272296
-270.100384,212,97.72656
-173.464822,162,98.592276
-219.099461,167,98.973472
0.007856,199,99.529996
-520.496854,147,100.388028
-43.722329,273,101.012414
-288.325302,170,101.802265
-109.591032,253,102.38238
-196.654953,155,102.626354
76.426433,203,103.522216
-135.802499,196,104.170251
-7.86282,189,105.119082
-102.450997,286,106.114461
-22.685304,305,107.391242
7.489143,182,107.738291
100.48189,187,108.094214
-565.470117,202,108.941924
-572.375141,147,109.207783
19.700586,161,109.524802
131.016268,227,110.407717
-30.135798,205,110.857386
-50.099581,169,111.470258
-27.227642,272,111.890914
97.73564,198,112.427107
-53.336071,197,112.726309
-237.839712,173,112.990707
59.804766,192,113.557184
-296.521643,191,113.891685
58.268817,148,114.107588
-7.05535,239,114.657464
-74.828327,236,115.064802
-35.149604,226,115.723644
20.135665,174,115.973582
-269.182388,182,116.324044
-165.530454,231,117.342339
30.73341,151,117.590768
-575.121463,188,117.84462
-573.455937,202,118.474538
-94.225697,192,118.733732
-33.528267,211,119.411815
-106.112123,161,119.674181
67.205257,191,119.932037
-63.108785,226,120.500431
41.487978,166,120.707264
-575.199247,162,120.899378
-542.010702,167,121.44135
-528.906335,169,121.757317
-85.064774,138,122.023836
33.68553,184,122.683405
-175.900711,195,123.142378
12.773905,206,123.550668
-4.710137,252,124.606865
5.693923,174,124.924398
31.185816,225,125.840407
-18.936135,363,126.699244
-538.685671,171,127.49058
-63.470889,195,127.84031
-13.001491,178,128.542369
330.328365,399,129.268757
-127.122332,195,130.040379
-156.518163,217,130.34028
98.974299,182,130.6074
151.134419,212,131.406227
213.637143,308,131.940006
118.508766,277,132.857131
-30.274207,187,133.140409
91.72453,191,133.869667
161.785976,218,134.373641
85.664651,218,135.254526
-542.585501,219,135.822039
27.899338,208,136.224123
-2.915241,183,137.139748
157.598504,200,137.586579
-32.805185,199,138.45692
-55.40091,212,138.990325
83.286312,236,139.456531
187.593766,318,140.373669
150.335597,237,141.297866
81.122106,195,141.790159
12.135995,157,142.206397
-50.487661,179,143.028912
470.973105,474,143.956118
46.683797,218,144.990463
-22.062415,211,145.506306
218.458155,303,146.439841
136.70568,306,147.672869
73.409572,187,148.045471
97.56492,243,148.523337
347.476416,374,149.540696
111.867835,249,150.524035
201.999863,298,151.173397
314.30364,313,152.257179
177.830965,284,152.738288
-28.735592,203,153.589628
2.067798,193,153.980171
257.501981,266,154.823484
308.537899,294,155.328423
432.585327,417,156.456551
286.610418,289,157.394226
83.115741,209,157.839646
362.174394,341,158.951671
-572.456012,171,159.32293
25.155125,204,159.786273
118.617433,196,160.639794
56.493642,197,161.005862
376.632025,380,162.342124
143.519456,292,163.013345
-566.833894,196,163.897591
1177.585622,866,166.437552
1494.71678,1000,169.042863
1505.395717,1000,171.772755
518.166176,468,173.208527
1569.027205,1000,175.906026
1433.560907,1000,178.555421
1496.427286,1000,181.189215
1541.350615,1000,184.021865
1621.335493,1000,186.288913
1614.170145,1000,189.159096
1564.366381,1000,191.738733
1623.14448,1000,194.002466
1558.698424,1000,196.473605
1663.058479,1000,199.155016
1607.752063,1000,201.755272
1643.760924,1000,204.068148
1687.229945,1000,206.371402
1728.576795,1000,208.424363
1686.879813,1000,210.796526
1642.891411,1000,213.304637
1663.282045,1000,215.390512
1741.281135,1000,217.512574
1703.366335,1000,219.671397
1773.684147,1000,222.174482
1686.878114,1000,224.471067
1705.300908,1000,226.888065
1705.466316,1000,229.220891
1827.687073,1000,231.488267
1844.382273,1000,233.971272
1740.72612,1000,236.554378
1732.073207,1000,239.254144
1758.717099,1000,241.881001
1820.034717,1000,244.67101
1816.412694,1000,247.137414
1871.738898,1000,249.470684
1792.216715,1000,251.97762
1736.984766,1000,254.487174
1799.544841,1000,256.826424
1862.8069,1000,259.504514
1894.446815,1000,262.200992
1721.661334,1000,264.869981
1741.631529,1000,267.281171
1705.651998,1000,269.980617
1817.067136,1000,272.23693
1783.322481,1000,274.353779
1897.228565,1000,276.870209
1800.69196,1000,279.119972
1923.539243,1000,281.63908
1756.971077,1000,284.0527
1754.05003,1000,286.389314
1780.88286,1000,288.673535
1802.523893,1000,291.002734
1937.121346,1000,293.243262
1892.396039,1000,295.852949
1806.996501,1000,298.13634
1744.536783,1000,300.169182
1764.654905,1000,302.402564
1917.935333,1000,304.918314
-46.838215,219,305.252666
1833.896114,1000,307.386008
1761.632305,1000,309.619128
1754.626999,1000,311.685761
1935.506177,1000,314.202414
1882.402335,1000,316.669232
1912.655743,1000,319.520349
1854.826582,1000,322.294883
1826.839723,1000,325.102157
1814.904246,1000,327.68963
1812.788165,1000,330.101968
526.060133,450,331.448606
1802.82434,1000,333.809828
1928.488973,1000,336.220429
