#{"t_start": 1785153194.321533, "env_id": "None"}
r,l,t
-67.748379,476,1.465445
-93.910503,109,2.259181
-94.12695,102,2.531294
-93.789584,107,2.945924
-94.150084,103,3.121944
-94.493495,101,3.254682
-93.694264,108,3.675602
-94.098129,107,3.870161
-94.158222,103,4.038618
-94.51514,103,4.180291
-94.360722,102,4.316317
-94.709408,96,4.728209
-94.013814,106,4.870157
-94.255374,104,5.005692
-94.491341,98,5.13108
-94.164458,102,5.268352
-93.949042,106,5.713554
-94.108654,103,5.849931
-94.088313,106,5.986207
-94.492194,102,6.119927
-94.248292,103,6.253726
-94.62741,96,6.726134
-94.519113,101,6.861467
-94.114334,106,7.000194
-94.422782,103,7.137623
-94.265675,105,7.276999
-94.46153,98,7.762487
-94.48225,99,7.895059
-94.479734,103,8.031071
-94.443216,103,8.171014
-94.433818,103,8.306551
-94.165733,105,8.745693
-93.9488,111,8.904001
-93.563838,117,9.082057
-94.011306,104,9.220747
-93.760225,115,9.702801
-93.725383,114,9.877073
-93.820549,116,10.08928
-93.492943,119,10.282312
-93.403648,123,10.461917
-93.093242,126,11.017327
-93.927268,114,11.226664
-93.808589,116,11.403201
-93.972986,116,11.576954
-93.806762,114,12.027261
-93.140837,124,12.221741
-93.87103,120,12.419796
-93.697118,122,12.609733
-93.563839,124,13.093262
-94.130838,118,13.270267
-93.699396,124,13.437771
-93.81945,119,13.604386
-94.09745,118,13.761347
-94.007815,118,14.221943
-94.337645,114,14.398935
-94.092048,116,14.554283
-93.536442,110,14.697315
-94.013153,121,15.202416
-94.035881,119,15.361583
-94.27636,112,15.505261
-94.286321,112,15.650306
-94.127976,114,16.126419
-94.544907,110,16.291855
-94.326776,109,16.435746
-94.532111,109,16.572004
-94.645892,108,16.70757
-94.494091,109,17.187745
-94.358132,108,17.340901
-93.780664,109,17.481979
-94.423221,112,17.628911
-94.76932,104,17.760982
-94.595998,107,18.214033
-94.435711,109,18.369483
-94.419503,105,18.505478
-94.228354,108,18.642798
-94.470562,105,18.777057
-94.554566,108,19.268903
-94.185651,111,19.414896
-94.422636,110,19.560381
-94.388533,107,19.699285
-94.460694,107,20.182895
-94.428676,110,20.342979
-94.299054,110,20.486039
-94.832071,105,20.623744
-94.27771,108,20.77013
-94.407219,105,21.180298
-94.694529,109,21.335655
-94.459698,108,21.473107
-93.920324,105,21.611263
-94.355279,108,21.755278
-94.045037,108,22.179083
-94.387297,110,22.329148
-93.76733,108,22.474216
-94.367108,101,22.61028
-94.506162,107,22.753866
-94.569829,107,23.227921
-94.507282,103,23.368708
-94.134666,108,23.511155
-94.260185,108,23.652277
-94.214526,104,24.07125
-93.779866,104,24.229887
-94.603161,105,24.40589
-94.24451,105,24.589499
-94.360666,109,24.740164
-93.935753,103,25.178613
-94.309559,106,25.335501
-94.394391,103,25.467772
-94.004413,107,25.603323
-93.898629,106,25.771365
-94.542188,105,26.25961
-94.643348,106,26.41709
-94.326922,106,26.550248
-94.195819,108,26.688199
-94.025259,102,26.820878
