time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction
6505,4096,0,35.83,1,-97.23657006000002,,,,,,,,,,,
4754,8192,1,40.18,2,-96.89743856000001,0.0003,3.528350353240967,-5.681072717905044,-0.011495214333990589,-0.0705411434173584,1.0028337240219116,0.008293967,10,8.785831737518311,0.2,0.0861572265625
4276,12288,2,53.36,3,-95.85830136,0.0003,2.109029531478882,-5.695297902822494,-0.01205462810175959,-0.06352746486663818,1.0074290037155151,0.008224396,20,5.521395027637482,0.2,0.097900390625
4269,16384,3,68.77,4,-94.65410489999998,0.0003,1.0534290075302124,-5.713973760604858,-0.008706331488792785,-0.16901540756225586,1.011636734008789,0.0073465393,30,2.8832935005426408,0.2,0.062451171875
4274,20480,4,79.29,5,-93.84515101999999,0.0003,0.8227936029434204,-5.740445679426193,-0.010350609628949315,-0.14905476570129395,1.022104024887085,0.007404453,40,1.9157546997070312,0.2,0.0675537109375
4286,24576,5,95.74,6,-92.60554363,0.0003,0.8184219598770142,-5.768465143442154,-0.010886280704289675,-0.0853731632232666,1.024675726890564,0.008324603,50,1.6501479610800742,0.2,0.0888427734375
4274,28672,6,114.84,7,-91.23646285000001,0.0003,0.6623656153678894,-5.783069932460785,-0.011281008156947792,-0.09456515312194824,1.030351161956787,0.008646512,60,1.6491033166646958,0.2,0.078271484375
4243,32768,7,130.47,8,-90.08126748000002,0.0003,0.756621241569519,-5.797110825777054,-0.008841728890547528,-0.022507071495056152,1.031440019607544,0.006160202,70,1.7158015668392181,0.2,0.0565185546875
4259,36864,8,144.28,9,-89.1503731,0.0003,0.6199682354927063,-5.806101274490357,-0.010670140327420086,0.07164257764816284,1.0348742008209229,0.0072459755,80,1.5600869461894036,0.2,0.067822265625
4213,40960,9,153.11,10,-88.56310119999998,0.0003,0.5744986534118652,-5.820490765571594,-0.00634374660148751,0.15867692232131958,1.0394445657730103,0.0046455543,90,1.4211540885269642,0.2,0.029541015625
4222,45056,10,159.2,11,-88.17895109,0.0003,0.794585645198822,-5.8459345400333405,-0.009327566076535732,0.13015133142471313,1.0477051734924316,0.006673632,100,1.7201668202877045,0.2,0.0547607421875
4221,49152,11,161.62,12,-88.16990758,0.0003,0.49903929233551025,-5.872581738233566,-0.00700822337239515,0.2864082455635071,1.0531078577041626,0.005781038,110,1.4051577925682068,0.2,0.0359375
4194,53248,12,161.94,13,-88.14440686999998,0.0003,0.22866305708885193,-5.893797039985657,-0.004932570387609303,0.4616276025772095,1.06096351146698,0.004363539,120,1.1110971823334694,0.2,0.020458984375
4194,57344,13,163.57,14,-88.06264575000002,0.0003,0.2723376750946045,-5.9197796285152435,-0.007466092823597137,0.5624749660491943,1.066758155822754,0.0059631616,130,1.0890658430755138,0.2,0.036962890625
4188,61440,14,167.01,15,-87.84380671000001,0.0003,0.1413828581571579,-5.951781165599823,-0.0060938993352465335,0.7100404798984528,1.0766124725341797,0.0054849125,140,0.7788123715668916,0.2,0.0351806640625
4184,65536,15,166.91,16,-87.83273449999999,0.0003,0.13297972083091736,-5.974787473678589,-0.006182980886660516,0.8127083778381348,1.0788825750350952,0.006168003,150,0.5833089053630829,0.2,0.0432861328125
4193,69632,16,169.86,17,-87.63963777000002,0.0003,0.022788338363170624,-5.978982585668564,-0.007596413168357685,0.904342919588089,1.0790036916732788,0.007214167,160,0.32699734941124914,0.2,0.053271484375
4197,73728,17,169.53,18,-87.72420678,0.0003,0.12370461970567703,-5.987691086530686,-0.006253084720810875,0.93218082934618,1.084263801574707,0.006589618,170,0.32292878050357104,0.2,0.050146484375
4209,77824,18,170.96,19,-87.70353276000002,0.0003,-0.006757214665412903,-6.007298678159714,-0.00624153931858018,0.9658270925283432,1.0890253782272339,0.0055087702,180,0.19049954591318966,0.2,0.0446533203125
4200,81920,19,173.08,20,-87.61644503,0.0003,-0.00037510693073272705,-6.006686651706696,-0.007079987107135821,0.9725688975304365,1.0836317539215088,0.0058687357,190,0.16448613340035081,0.2,0.0418701171875
4203,86016,20,173.69,21,-87.66363918000003,0.0003,-0.024125944823026657,-5.988980484008789,-0.005388483463320881,0.9771341718733311,1.0806905031204224,0.005528818,200,0.12832038691267372,0.2,0.0381103515625
4210,90112,21,174.3,22,-87.61208752,0.0003,-0.03033491224050522,-5.999633949995041,-0.006759019254241138,0.9792880248278379,1.08869206905365,0.0062901406,210,0.12184823006391525,0.2,0.0477294921875
4190,94208,22,175.41,23,-87.5431272,0.0003,-0.03116394579410553,-6.019038724899292,-0.0076702157195541075,0.983112771064043,1.0906164646148682,0.0065731937,220,0.09594133561477065,0.2,0.0584716796875
4196,98304,23,173.96,24,-87.72760622999998,0.0003,-0.04344959929585457,-6.02765531539917,-0.0057430393877439204,0.983784032985568,1.0942093133926392,0.0048621926,230,0.08788946787826717,0.2,0.0332275390625
4167,102400,24,175.79,25,-87.63775697000001,0.0003,-0.03309210389852524,-6.052166014909744,-0.007483434895402752,0.9848697371780872,1.1032066345214844,0.00636042,240,0.09466492347419261,0.2,0.055859375
5860,106496,0,180.41,1,-87.22092617,0.0003,-0.04423252120614052,-6.063297325372696,-0.0070243459020275624,0.9878260642290115,1.1010069847106934,0.005922187,250,0.0713112197816372,0.2,0.0505126953125
4876,110592,1,179.05,2,-87.46896431,0.0003,0.5623461604118347,-6.0604616522789,-0.004682926501845941,0.6769935786724091,1.1015392541885376,0.0056241835,260,1.7226703494787217,0.2,0.022119140625
4601,114688,2,174.19,3,-87.85609995,0.0003,-0.015442244708538055,-6.064016324281693,-0.0062519366620108485,0.9477842152118683,1.103507399559021,0.008315035,270,0.1892652885057032,0.2,0.052734375
4444,118784,3,168.98,4,-88.34708196000003,0.0003,-0.03439173474907875,-6.0574036002159115,-0.00596803862717934,0.9591288715600967,1.0958613157272339,0.0059312894,280,0.12935406998731197,0.2,0.03818359375
4282,122880,4,159.84,5,-89.10381683000003,0.0003,-0.04198573902249336,-6.032296061515808,-0.004674254913697951,0.977154228836298,1.0917167663574219,0.005880272,290,0.08667475352995098,0.2,0.0333251953125
4247,126976,5,159.42,6,-89.00878437,0.0003,-0.05356632173061371,-6.016568493843079,-0.006889780703932047,0.9836610034108162,1.0873196125030518,0.0075063417,300,0.06591499508358538,0.2,0.064990234375
4255,131072,6,162.65,7,-88.64591434999998,0.0003,-0.06479361653327942,-6.010258287191391,-0.010924240791064221,0.9892493300139904,1.0878252983093262,0.008977825,310,0.04883886380121112,0.2,0.0849609375
4239,135168,7,168.45,8,-88.13984077,0.0003,-0.04083935171365738,-6.013864767551422,-0.006607901021197904,0.9746652990579605,1.0909022092819214,0.0068814317,320,0.11145844678394497,0.2,0.04814453125
4235,139264,8,175.41,9,-87.5699015,0.0003,-0.002007909119129181,-6.025170528888703,-0.004983184233424254,0.9520806521177292,1.0925548076629639,0.0064472985,330,0.17361169531941414,0.2,0.034033203125
4233,143360,9,175.5,10,-87.56597660999998,0.0003,-0.02630060538649559,-6.029903745651245,-0.006655261453124695,0.9162453934550285,1.0940783023834229,0.0058085383,340,0.19131616121158004,0.2,0.0368896484375
4207,147456,10,167.35,11,-88.24367349,0.0003,-0.03217131271958351,-6.040067344903946,-0.0032278215483529495,0.9352959841489792,1.0988224744796753,0.0046963887,350,0.14826765866018832,0.2,0.0182861328125
4196,151552,11,151.95,12,-89.46195402,0.0003,-0.039726052433252335,-6.058453077077866,-0.004717332421569154,0.9462612085044384,1.1031954288482666,0.006538164,360,0.12080234293825924,0.2,0.03740234375
4210,155648,12,140.82,13,-90.41703499,0.0003,-0.05590006336569786,-6.075860327482223,-0.005081125482684001,0.9624231494963169,1.1095348596572876,0.006136673,370,0.09844278630334884,0.2,0.043994140625
4183,159744,13,135.17,14,-90.89736382999999,0.0003,-0.05415398254990578,-6.093589514493942,-0.005034351586073171,0.9737714119255543,1.111548662185669,0.00605819,380,0.08592173452489078,0.2,0.0391357421875
4157,163840,14,132.74,15,-91.09396745,0.0003,-0.062070757150650024,-6.109466171264648,-0.006761923822341487,0.9845681209117174,1.1199870109558105,0.0074697714,390,0.06589366651605814,0.2,0.0501708984375
4133,167936,15,134.95,16,-90.92868666,0.0003,-0.06159355491399765,-6.126801550388336,-0.006993436170159839,0.9866556171327829,1.1170117855072021,0.007681643,400,0.0572898417012766,0.2,0.05302734375
4126,172032,16,142.21,17,-90.3875089,0.0003,-0.06399271637201309,-6.121102511882782,-0.01258927535818657,0.9896663893014193,1.11952805519104,0.010918903,410,0.04640886050183326,0.2,0.1002197265625
4128,176128,17,152.04,18,-89.60123404,0.0003,-0.05597503483295441,-6.123980242013931,-0.010124837909825147,0.9891558717936277,1.1172995567321777,0.008188425,420,0.046762733696959914,0.2,0.078857421875
4128,180224,18,163.32,19,-88.72089842,0.0003,-0.06949403882026672,-6.116318470239639,-0.014046834892360494,0.9921129290014505,1.114847183227539,0.01058206,430,0.04261731377337128,0.2,0.1097900390625
4126,184320,19,173.67,20,-87.90155065999997,0.0003,0.003032676875591278,-6.107206583023071,-0.010613907032529823,0.9590577967464924,1.113607406616211,0.010389913,440,0.22619071770459415,0.2,0.0906494140625
4135,188416,20,181.69,21,-87.18023108000001,0.0003,0.005619809031486511,-6.112923038005829,-0.007668136912980117,0.9304519817233086,1.1184415817260742,0.007713209,450,0.3245178569108248,0.2,0.053662109375
4125,192512,21,186.97,22,-86.66594515000001,0.0003,0.07962217181921005,-6.129256081581116,-0.0056424133508699015,0.9325588792562485,1.121583104133606,0.006660619,460,0.33314934503287075,0.2,0.0398681640625
4114,196608,22,189.87,23,-86.40196218000001,0.0003,0.056724511086940765,-6.132587486505509,-0.006420301119214855,0.9362821504473686,1.120086908340454,0.0060128886,470,0.30045267213135957,0.2,0.0413330078125
4108,200704,23,192.87,24,-86.10601832,0.0003,-0.024266518652439117,-6.135222268104553,-0.007354765722993761,0.9762893114238977,1.1237468719482422,0.0077092345,480,0.11463844673708082,0.2,0.0554443359375
4093,204800,25,194.86,25,-85.91642839000001,0.0003,-0.0437140129506588,-6.145824664831162,-0.00917880731576588,0.9854819094762206,1.1248875856399536,0.0064406525,490,0.07428669421933591,0.2,0.0573974609375
4098,208896,25,201.27,26,-85.45526687000002,0.0003,-0.03734810650348663,-6.147194898128509,-0.009660669046570546,0.9823095947504044,1.1257433891296387,0.007869657,500,0.08459008149802685,0.2,0.07939453125
4093,212992,27,201.78,27,-85.48006167,0.0003,-0.054119519889354706,-6.13237275481224,-0.01054648055578582,0.9852259550243616,1.1151984930038452,0.008642726,510,0.06443332703784108,0.2,0.0810546875
4074,217088,28,208.83,28,-84.98601682,0.0003,-0.06203903257846832,-6.108160573244095,-0.01259635984315537,0.9909818144515157,1.1147791147232056,0.009302713,520,0.046255669789388776,0.2,0.0958984375
4044,221184,29,218.19,29,-84.29996211,0.0003,-0.049282580614089966,-6.114871442317963,-0.01031213219393976,0.9909479729831219,1.1184852123260498,0.006562005,530,0.049882576474919914,0.2,0.070263671875
4050,225280,30,227.53,30,-83.60907654,0.0003,-0.06268727034330368,-6.105043435096741,-0.012487596762366594,0.9932206519879401,1.108290672302246,0.008196214,540,0.0412272724788636,0.2,0.083203125
4039,229376,31,238.58,31,-82.78667030000001,0.0003,-0.05474387854337692,-6.0710047543048855,-0.013756323876441457,0.9925725008361042,1.101273536682129,0.008229935,550,0.04677259218879044,0.2,0.088134765625
4043,233472,32,257.31,32,-81.36103450000002,0.0003,-0.061801064759492874,-6.052411687374115,-0.011161139878095128,0.9948118510656059,1.0972464084625244,0.006656063,560,0.03158921371214092,0.2,0.060205078125
4038,237568,33,272.67,33,-80.21590033000001,0.0003,-0.055524613708257675,-6.0355577886104586,-0.012697713437955827,0.9887671759352088,1.0928140878677368,0.009373077,570,0.0511933438712731,0.2,0.1008544921875
4041,241664,34,298.35,34,-76.30588348,0.0003,-0.032168131321668625,-6.0250935554504395,-0.012384093654691241,0.9739340953528881,1.091723918914795,0.010006212,580,0.08914862778037787,0.2,0.10341796875
4040,245760,35,328.51,35,-71.01097785,0.0003,-0.06111225485801697,-6.012435036897659,-0.008680820174049586,0.9852375173941255,1.0842857360839844,0.007981172,590,0.03254305003210902,0.2,0.057763671875
4040,249856,36,369.26,36,-62.88839570000001,0.0003,-0.07486125826835632,-5.986102896928787,-0.013037423357309308,0.937340721487999,1.0786646604537964,0.008964196,600,0.015575970814097673,0.2,0.0945556640625
4037,253952,37,393.84,37,-58.01052730000001,0.0003,-0.06855232268571854,-5.963856488466263,-0.010042260271438863,0.4526427984237671,1.0719329118728638,0.0081041455,610,0.008303618634818122,0.2,0.0727783203125
6322,258048,0,393.84,1,-58.01052730000001,0.0003,-0.0688551515340805,-5.931743121147155,-0.010083036360447295,0.15813863277435303,1.0614845752716064,0.006522966,620,0.006985992687987164,0.2,0.0634033203125
4934,262144,1,456.29,2,-46.59444535000001,0.0003,0.8187504410743713,-5.907529091835022,-0.003940920394961722,-0.07693290710449219,1.0604472160339355,0.0049408255,630,2.2733637817203998,0.2,0.01767578125
4613,266240,2,447.68,3,-47.26983355,0.0003,0.022731870412826538,-5.908660024404526,-0.004204100207425654,0.22146832942962646,1.0618939399719238,0.005567137,640,0.5341483710333705,0.2,0.018603515625
4332,270336,3,423.45,4,-49.22722445,0.0003,0.02677040547132492,-5.916992747783661,-0.0038319367027725092,0.7373619079589844,1.0649656057357788,0.0047432,650,0.35569895841181276,0.2,0.0254150390625
4260,274432,4,172.38,5,-83.12428283000001,0.0003,0.056574709713459015,-5.928091603517532,-0.0031053304410306737,0.7892200946807861,1.068053960800171,0.0053277705,660,0.5701098611578346,0.2,0.026953125
4273,278528,5,80.75,6,-94.5674067,0.0003,-0.022453948855400085,-5.937467688322068,-0.005056236454402096,0.9282111078500748,1.0684292316436768,0.0074346256,670,0.3915999707765877,0.2,0.0393798828125
4179,282624,6,78.93,7,-94.68108325000001,0.0003,-0.01748845726251602,-5.940314775705337,-0.006301367319247219,0.9696074575185776,1.0711767673492432,0.0074767573,680,0.27017059763893486,0.2,0.046435546875
4189,286720,7,79.6,8,-94.65343022000003,0.0003,-0.048450641334056854,-5.948476785421372,-0.009546081826556474,0.97627161629498,1.071001648902893,0.008670717,690,0.1571333917789161,0.2,0.0690673828125
4201,290816,8,81.21,9,-94.55890617000001,0.0003,-0.06273473054170609,-5.945016342401504,-0.011535471089882777,0.9786482658237219,1.0701406002044678,0.010117084,700,0.09883529604412615,0.2,0.0890869140625
4171,294912,9,82.57,10,-94.47782884999998,0.0003,-0.05747158080339432,-5.940301632881164,-0.014157970139058307,0.9835247322916985,1.0687365531921387,0.0100834,710,0.0628238252364099,0.2,0.1175537109375
4150,299008,10,85.33,11,-94.31033968000001,0.0003,-0.06518072634935379,-5.930170428752899,-0.017026472711586395,0.9877644721418619,1.0641725063323975,0.0108313775,720,0.04424726408906281,0.2,0.1144287109375
4142,303104,11,89.13,12,-94.07345539999999,0.0003,-0.06521899998188019,-5.915515333414078,-0.018511640140786767,0.9877703823149204,1.061647653579712,0.010943414,730,0.041579983197152615,0.2,0.1412109375
4156,307200,12,94.6,13,-93.73036736,0.0003,-0.06849980354309082,-5.910121721029282,-0.023234525820589623,0.9890912035480142,1.061743974685669,0.014937818,740,0.0341807721182704,0.2,0.175830078125
4132,311296,13,101.53,14,-93.30404155000001,0.0003,-0.06825646758079529,-5.909094798564911,-0.01887226335820742,0.9886117270216346,1.0614094734191895,0.011864927,750,0.03650003510992974,0.2,0.1366455078125
4123,315392,14,111.44,15,-92.70445929000003,0.0003,-0.05576338618993759,-5.907812547683716,-0.017415233311476187,0.9875791566446424,1.0614426136016846,0.01207703,760,0.03758996471296996,0.2,0.131884765625
4117,319488,15,121.49,16,-92.12932578999998,0.0003,-0.0640287920832634,-5.896480393409729,-0.016353388984134652,0.9853427093476057,1.0554378032684326,0.009794071,770,0.04523775652050972,0.2,0.1168212890625
4121,323584,16,131.5,17,-91.52975478999998,0.0003,-0.05576493218541145,-5.884363543987274,-0.014481309580150991,0.9886577324941754,1.0574407577514648,0.009314654,780,0.03958902813028544,0.2,0.108642578125
4126,327680,17,144.17,18,-90.74360830000002,0.0003,-0.05680427700281143,-5.882328736782074,-0.015094344949466177,0.9830219428986311,1.0523030757904053,0.010625446,790,0.06095722834579646,0.2,0.1263916015625
4118,331776,18,155.73,19,-90.03702415000002,0.0003,-0.0439923033118248,-5.871049547195435,-0.01257072890875861,0.981947161257267,1.0529215335845947,0.008496579,800,0.08024920201860368,0.2,0.0862548828125
4121,335872,19,170.44,20,-89.12087491,0.0003,0.03300663083791733,-5.871768110990525,-0.00829645799822174,0.9173367395997047,1.051670789718628,0.0077177836,810,0.5317133629694581,0.2,0.0526611328125
4119,339968,20,184.63,21,-88.22526977,0.0003,0.021707050502300262,-5.872337120771408,-0.006567683356115595,0.9382081404328346,1.0538902282714844,0.0071533797,820,0.3589227292686701,0.2,0.053173828125
4116,344064,21,200.35,22,-87.24662679,0.0003,0.19182175397872925,-5.879090309143066,-0.005442385589412879,0.7015870809555054,1.055920124053955,0.0057538263,830,1.0660406317561866,0.2,0.0369140625
4119,348160,22,202.39,23,-87.13594127999998,0.0003,0.061138179153203964,-5.8872568011283875,-0.005387543945107609,0.8210776001214981,1.057837724685669,0.0049833707,840,0.5683084903284907,0.2,0.0246826171875
4125,352256,23,193.48,24,-87.56116881,0.0003,0.00819096714258194,-5.8977560818195345,-0.004941476133535616,0.7904402762651443,1.0619735717773438,0.0053305454,850,0.4833984933793545,0.2,0.0326904296875
4131,356352,24,167.38,25,-89.03701899000004,0.0003,0.051055073738098145,-5.912809425592423,-0.005155784383532591,0.7640594094991684,1.064347505569458,0.005424331,860,0.6396629078313708,0.2,0.0361328125
4134,360448,25,132.31,26,-91.00404122,0.0003,0.043387070298194885,-5.922640120983123,-0.004027785049402155,0.8298300206661224,1.0679080486297607,0.0056027016,870,0.4796815304085612,0.2,0.042138671875
4136,364544,26,117.88,27,-91.83901676999999,0.0003,-0.00910002738237381,-5.937916266918182,-0.006206014071358368,0.9102196097373962,1.071138858795166,0.007815959,880,0.2972110557369888,0.2,0.0639892578125
4139,368640,27,110.94,28,-92.25765377000002,0.0003,-0.013249825686216354,-5.948242962360382,-0.005917255516396836,0.9540169797837734,1.07442307472229,0.0067174,890,0.23005584683269262,0.2,0.0542236328125
4140,372736,28,109.63,29,-92.34823445,0.0003,-0.041624270379543304,-5.950743681192398,-0.0060150423960294574,0.9724280387163162,1.070304274559021,0.0067921793,900,0.13469654181972146,0.2,0.0532958984375
4144,376832,29,110.02,30,-92.31755722,0.0003,-0.03691798821091652,-5.9410643637180325,-0.009449634989141486,0.9780187606811523,1.071365237236023,0.007219545,910,0.1069290563929826,0.2,0.07890625
4128,380928,30,111.32,31,-92.21925347999999,0.0003,-0.05199005454778671,-5.9492046415805815,-0.010128509395872242,0.9836387597024441,1.0740532875061035,0.009064815,920,0.07582461102865637,0.2,0.08505859375
4119,385024,31,113.7,32,-92.05106177000002,0.0003,-0.04556823521852493,-5.9475762963294985,-0.010254240830545314,0.9849048973992467,1.0677497386932373,0.009302437,930,0.06498208418488502,0.2,0.08515625
4118,389120,32,117.52,33,-91.79054307,0.0003,-0.056025952100753784,-5.927949076890945,-0.012725283711915836,0.9880901174619794,1.0647202730178833,0.009499105,940,0.04820783501490951,0.2,0.1001708984375
4117,393216,33,122.44,34,-91.47969929000001,0.0003,-0.0517655685544014,-5.905848574638367,-0.012112981823156588,0.9869673531502485,1.0557291507720947,0.008798299,950,0.03987405924126506,0.2,0.097021484375
4101,397312,34,129.21,35,-91.07257234999999,0.0003,-0.05971454456448555,-5.888796079158783,-0.01511201450775843,0.9881689213216305,1.0564757585525513,0.011113813,960,0.04126470496412367,0.2,0.134033203125
4097,401408,35,135.84,36,-90.69897794,0.0003,-0.07105349004268646,-5.8862960755825045,-0.015401235671015456,0.9907499756664038,1.0527725219726562,0.011335857,970,0.03459593886509538,0.2,0.130078125
4091,405504,37,141.42,37,-90.40130522999999,0.0003,-0.06528376042842865,-5.876342290639878,-0.011767603309999685,0.9927473296411335,1.0514123439788818,0.009109792,980,0.024755759490653874,0.2,0.0961669921875
2772,409600,1,166.66,1,-88.75486372000002,0.0003,-0.07098709791898727,-5.874296420812607,-0.01068087166058831,0.9948318600654602,1.0513248443603516,0.008043676,990,0.01572837095009163,0.2,0.080224609375
2564,413696,3,153.93,2,-90.13198260000001,0.0003,0.4916442632675171,-5.875159507989883,-0.005971230054274202,0.4666954278945923,1.051572322845459,0.0071580494,1000,1.4053199011832476,0.2,0.039111328125
