#{"t_start": 1785178370.824807, "env_id": "None"}
r,l,t
-404.569155,38,1.658682
-662.387306,69,1.792903
-107.134247,35,1.838213
-468.450738,55,1.911927
-192.038388,59,1.98644
-258.038056,51,2.048015
-485.805939,16,2.068421
-502.241089,26,2.101132
-232.857924,51,2.166412
-284.228617,20,2.190683
-478.035027,26,2.222599
-294.110437,25,2.252129
-688.832209,30,2.290348
-87.498255,35,2.789186
-145.572824,32,2.836726
-181.018304,36,2.89208
-469.386588,33,2.941925
-230.792099,72,3.030418
-314.356226,60,3.113075
-274.255352,37,3.152117
-308.110211,29,3.196809
-419.966553,21,3.222017
-366.647535,28,3.251944
-265.127648,41,3.309122
-545.167936,59,3.386697
-248.481049,30,3.424057
-117.057772,53,3.902239
-94.880734,23,3.937921
-471.950809,34,3.986884
-190.461552,61,4.063208
-478.898868,45,4.12031
-235.800999,59,4.192193
-316.39621,62,4.279438
-80.375438,108,4.422292
-338.228486,43,4.501247
-279.135103,94,4.942968
-312.57978,92,5.109108
-204.257417,23,5.176595
-161.463213,45,5.28698
-94.011091,50,5.408111
-310.123588,63,5.527925
-162.068231,99,5.675508
-152.899541,64,5.768992
-465.601635,109,6.233903
-273.745148,43,6.29725
-171.898067,88,6.413831
-291.134772,46,6.474572
-191.699485,49,6.540503
-1479.022316,105,6.681889
-380.310712,87,6.79768
-1168.011051,97,7.265636
-141.778837,97,7.389588
-512.310985,116,7.52777
-393.768974,84,7.618935
-158.47968,91,7.72322
-446.146415,106,8.229874
-123.034539,68,8.33778
-689.113334,111,8.532639
-463.043407,29,8.571052
-475.342492,93,8.693957
-394.371446,107,8.82895
-554.746293,51,9.282202
-198.583613,83,9.434123
-890.302641,97,9.572614
-85.757464,108,9.702932
-677.12079,94,9.813957
-131.985083,62,9.887579
-175.220911,106,10.415439
-282.469043,42,10.485501
-514.805568,142,10.652068
-2159.454437,176,10.858463
-1625.728506,134,11.313061
-1999.920866,139,11.535497
-428.792021,118,11.680255
-1992.600508,137,11.836904
-895.904131,158,12.388562
-1324.243868,150,12.574895
-2022.489526,140,12.752079
-206.467748,78,12.838286
-422.365661,116,13.309539
-1960.469448,119,13.457334
-401.126119,47,13.514431
-498.770777,130,13.64438
-943.075274,127,13.778629
-2039.798542,140,14.307703
-1987.137323,148,14.599685
-159.656012,92,14.795413
-455.779907,87,14.985209
-1366.984058,159,16.10087
-2143.973581,178,16.441811
-2013.974222,144,16.64397
-663.943758,114,17.193634
-1330.854936,113,17.420683
-1934.580889,170,17.822001
-1966.152366,124,18.025078
-1940.236626,147,18.646054
-1422.292926,143,19.052829
-897.6754,105,19.266724
-2030.635623,160,19.591164
-365.472414,153,20.294925
-629.549679,119,20.484434
-1011.518589,83,20.616604
-1570.915948,180,20.861879
-2315.766436,138,21.48395
