time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss
1,37.22,-316.57659474,5358,4096,0,,,,,,,,,,,
2,42.27,-325.8965996200001,4317,8192,1,10,0.2,0.084814453125,0.999722957611084,0.008494398,-5.674901932477951,0.0003,8.372284805774688,3.7382447719573975,-0.03338217735290527,-0.010792769392719493
3,48.41,-335.83592451,4081,12288,3,20,0.2,0.069482421875,1.0085511207580566,0.0068806196,-5.692175185680389,0.0003,5.650170379877091,2.1606035232543945,-0.03306138515472412,-0.008942461851984263
4,55.6,-312.9416056,3853,16384,4,30,0.2,0.0713134765625,1.0155208110809326,0.008509435,-5.722736573219299,0.0003,3.5870459586381913,1.5160826444625854,-0.08969354629516602,-0.009789219446247444
5,63.93,-333.70766103999995,3894,20480,5,40,0.2,0.0604736328125,1.0188860893249512,0.00713377,-5.743575346469879,0.0003,2.3138405069708825,0.8347172737121582,-0.23271620273590088,-0.008002884947927669
6,75.64,-345.2546627399999,3951,24576,6,50,0.2,0.065869140625,1.0193928480148315,0.007510074,-5.751525664329529,0.0003,2.089861610531807,0.7739154696464539,-0.43480372428894043,-0.008083712868392467
7,88.52,-448.80875242999997,3900,28672,7,60,0.2,0.047998046875,1.0241658687591553,0.005829945,-5.758857560157776,0.0003,1.8477816417813302,0.7357352375984192,-0.19536662101745605,-0.007769823260605335
8,95.0,-516.0958518300001,3902,32768,8,70,0.2,0.0305908203125,1.027249813079834,0.005140723,-5.775681406259537,0.0003,2.4963159039616585,0.9835284948348999,-0.3734210729598999,-0.006180532321741339
9,103.55,-636.57237521,3912,36864,9,80,0.2,0.051025390625,1.0359410047531128,0.006681524,-5.799565470218658,0.0003,1.8051901638507843,0.6181618571281433,-0.0828016996383667,-0.008207626969669946
10,114.21,-850.72739529,3942,40960,10,90,0.2,0.0392578125,1.0401875972747803,0.0064106556,-5.823666930198669,0.0003,2.2644608825445176,0.8483880758285522,-0.01796746253967285,-0.007617687256424688
11,122.16,-1006.00305341,3961,45056,11,100,0.2,0.02666015625,1.0385081768035889,0.006188026,-5.831723529100418,0.0003,2.703561854362488,1.1211187839508057,-0.027797341346740723,-0.00611892847227864
12,131.38,-1195.79323656,4005,49152,12,110,0.2,0.03427734375,1.0393602848052979,0.0059378943,-5.826804059743881,0.0003,1.6416933819651605,0.5753340721130371,0.20098721981048584,-0.0070852847667993045
13,130.06,-1163.3311625,3914,53248,13,120,0.2,0.0556884765625,1.0400503873825073,0.0067177857,-5.832807183265686,0.0003,1.1164763584733008,0.24111616611480713,0.5483454465866089,-0.006879489379934966
14,128.81,-1193.3507160000001,3758,57344,15,130,0.2,0.0194580078125,1.0465221405029297,0.004768189,-5.841340577602386,0.0003,1.8496104180812836,0.5022315382957458,-0.04848766326904297,-0.005124656565021724
15,131.38,-1219.34881532,3690,61440,16,140,0.2,0.049951171875,1.0499519109725952,0.0070577273,-5.86432454586029,0.0003,1.1156800508499145,0.25230374932289124,0.5155668556690216,-0.007730924035422504
16,128.46,-1206.87343662,3615,65536,18,150,0.2,0.0320556640625,1.0676285028457642,0.0049887896,-5.902115124464035,0.0003,0.8531820993870497,0.18823957443237305,0.6450254321098328,-0.0077415797248249875
17,128.67,-1172.4971968299997,3594,69632,19,160,0.2,0.045263671875,1.0710755586624146,0.006249629,-5.94639567732811,0.0003,0.5302189085632563,0.07057614624500275,0.8251921534538269,-0.007296722932369448
18,130.6,-1264.33293917,3511,73728,20,170,0.2,0.0563720703125,1.0758001804351807,0.0069657983,-5.958332967758179,0.0003,0.3547469969838858,0.07806909084320068,0.8807740211486816,-0.008380652416235534
19,128.87,-1245.6183246800001,3423,77824,22,180,0.2,0.0406494140625,1.084145426750183,0.0064875074,-5.983933007717132,0.0003,0.33287572879344224,0.04847491532564163,0.9303852096199989,-0.00604529490810819
20,132.36,-1327.50588687,3416,81920,23,190,0.2,0.0489013671875,1.0863218307495117,0.006202397,-6.0052935659885405,0.0003,0.20053629521280528,0.008286073803901672,0.9554263316094875,-0.006852819997584447
