#{"t_start": 1784560418.3997192, "env_id": "None"}
r,l,t
-98.725939,21,2.463058
-116.173673,4,2.465078
-104.861951,11,2.470079
-106.421512,7,2.473182
-110.212508,4,2.475158
-108.862683,11,2.480265
-108.426275,8,2.483265
-108.176205,8,2.487265
-110.380168,5,2.48927
-105.831555,9,2.492892
-108.184601,5,2.495957
-108.98259,8,2.498988
-115.256496,10,2.502892
-109.006238,7,2.506923
-109.551466,4,2.507998
-108.434526,5,2.510998
-112.26167,4,2.512995
-93.359595,33,2.528892
-105.957864,8,2.534
-106.693624,6,2.535992
-114.377131,4,2.537992
-109.036537,10,2.541988
-104.277953,10,2.545937
-97.429735,24,2.556
-117.899602,9,2.559995
-101.5127,22,2.568992
-113.246183,5,2.570991
-105.93331,5,2.572999
-106.328994,4,2.574998
-100.401296,14,2.581098
-104.968234,8,2.584097
-114.841601,5,2.586048
-105.149381,6,2.589001
-106.309068,5,2.590001
-102.136024,12,2.597014
-106.573455,5,2.600029
-111.882243,11,2.609423
-108.254423,8,2.613531
-112.170675,4,2.615529
-100.950658,14,2.621425
-109.111364,7,2.624425
-103.877029,11,2.629427
-103.787663,10,2.634465
-114.543536,3,2.635549
-107.377344,5,2.63753
-113.289525,5,2.640535
-107.308989,5,2.642523
-108.029244,10,2.646528
-106.44621,7,2.650544
-115.448782,6,2.652533
-108.966251,5,2.655533
-110.042517,6,2.657548
-104.762857,6,2.660529
-112.821555,6,2.663523
-114.012121,6,2.666531
-111.87798,6,2.669518
-107.377183,5,2.671533
-106.199357,5,2.673532
-107.750725,5,2.675539
-112.734485,3,2.677641
-96.421206,22,2.686636
-108.553392,5,2.689639
-108.295204,5,2.691638
-97.374377,17,2.699371
-102.050775,13,2.705372
-103.377576,21,2.714363
-108.794028,9,2.718379
-107.099211,8,2.722372
-110.860252,3,2.72436
-113.468401,5,2.726314
-114.565887,17,2.736259
-111.016742,5,2.739259
-112.085201,4,2.74026
-107.71874,5,2.743371
-104.745426,9,2.748366
-103.162652,13,2.753371
-110.179006,17,2.761258
-111.19622,5,2.763258
-105.388176,16,2.770258
-101.542449,13,2.775264
-107.848069,4,2.778284
-105.192505,8,2.781281
-109.697588,8,2.78528
-111.646659,16,2.791789
-116.832225,5,2.79382
-119.959076,4,2.795796
-101.156108,10,2.800796
-108.43468,8,2.803812
-108.26601,10,2.807812
-107.023289,5,2.810796
-96.268883,19,2.818802
-112.45763,5,2.820796
-104.298349,12,2.826799
-112.836369,14,2.832811
-107.400208,9,2.836894
-111.38119,8,2.840796
-117.844382,5,2.842795
-105.132698,7,2.845795
-108.729967,6,2.848815
-105.503799,6,2.850796
-103.217265,10,2.855811
-108.892309,13,2.860797
-111.279773,6,2.863812
-106.047073,9,2.867799
-102.636875,14,2.873914
-115.833115,6,2.876905
-110.918834,12,2.882034
-103.682991,11,2.887077
-102.466929,12,2.892626
-105.945796,5,2.894735
-104.168942,7,2.897738
-102.638731,8,2.900733
-109.313055,8,2.904734
-104.269183,13,2.910732
-106.938502,6,2.912737
-110.322645,4,2.914732
-105.939607,7,2.917733
-103.049122,14,2.924736
-108.152034,8,2.927742
-105.310704,7,2.930737
-109.117194,5,2.933737
-103.527028,7,2.93674
-112.588152,5,2.938741
-117.155591,4,2.94073
-99.965123,18,2.948733
-115.021819,6,2.951634
-109.214322,4,2.95375
-103.908914,8,2.957733
-108.111959,6,2.960737
-105.934113,14,2.966741
-103.712166,7,2.969634
-105.801163,7,2.973749
-108.284138,7,2.976737
-105.172076,15,2.982824
-105.755668,10,2.98684
-106.453353,13,2.992463
-112.30246,5,2.995471
-103.531934,10,2.999472
-114.611575,5,3.002575
-102.13482,11,3.007574
-104.738765,7,3.010583
-117.076536,4,3.012471
-116.670563,4,3.013471
-107.542405,7,3.017571
-108.113184,7,3.020484
-108.630583,5,3.02257
-106.662673,6,3.025587
-111.048387,7,3.02847
-113.460406,10,3.033578
-111.851223,10,3.038572
-106.025792,8,3.041583
-100.603586,28,3.053571
-104.646856,9,3.058573
-108.87245,5,3.06057
-98.442085,16,3.070584
-101.679927,13,3.08159
-115.380699,13,3.08959
-109.821874,3,3.091587
-111.89889,4,3.093937
-100.462509,16,3.103937
-106.402282,6,3.105941
-106.843974,7,3.109941
-108.485477,7,3.112945
-110.951577,8,3.115932
-112.546276,6,3.118931
-100.316876,21,3.127934
-111.276507,8,3.130933
-107.864498,4,3.132934
-107.389408,5,3.134938
-109.184539,7,3.137932
-108.061543,5,3.140934
-102.114215,11,3.144933
-105.847559,5,3.147937
-105.362163,10,3.151946
-112.714451,4,3.153935
-110.157285,5,3.155942
-112.646779,4,3.157936
-114.722794,5,3.159879
-104.665352,13,3.165862
-113.986408,5,3.167861
-105.455969,5,3.170854
-105.387773,9,3.173832
-103.123355,11,3.17886
-110.065827,5,3.180964
-111.384735,13,3.186907
-108.265499,8,3.18996
-107.412471,7,3.193718
-106.844656,6,3.19562
-103.433351,13,3.201719
-100.549586,11,3.206644
-109.159474,9,3.210722
-96.123381,31,3.22462
-120.286857,6,3.228618
-111.342569,5,3.232793
-112.746225,5,3.235905
-107.803296,4,3.237915
-110.437969,6,3.240913
-108.625278,10,3.244915
-99.970477,13,3.249911
-108.008415,5,3.252913
-106.953428,4,3.254926
-115.730137,7,3.256926
-102.331105,16,3.263927
-106.4629,9,3.268181
-107.94485,8,3.270926
-113.244729,6,3.273926
-116.445623,4,3.275931
-107.033349,6,3.278941
-104.744614,8,3.28196
-92.691418,37,3.29752
-106.927669,5,3.299519
