#{"t_start": 1784805742.0084069, "env_id": "None"}
r,l,t
-3.559176,153,1.549165
6.401165,109,1.608188
2.242375,145,1.682741
1.371948,72,1.727636
8.067025,144,1.803822
-2.322599,158,1.881728
4.502963,99,1.91652
3.186467,64,1.953284
7.953825,145,2.050205
6.347879,105,2.10226
5.003898,77,2.142991
0.762233,175,2.230981
-0.399862,93,2.279751
5.069517,218,2.383777
6.913704,117,2.45609
1.114259,93,2.511017
6.555041,123,2.834593
4.598562,71,2.866367
1.956855,250,3.010509
4.375322,197,3.10952
1.114675,62,3.133847
3.620733,90,3.182464
3.102048,157,3.268845
11.387583,154,3.332512
-1.296524,117,3.406298
-2.358728,148,3.482167
3.971182,119,3.543588
2.650394,127,3.611198
7.338142,203,3.713593
0.809205,126,3.777196
-3.937818,83,3.816568
5.340364,123,4.249945
6.883209,115,4.313083
3.550106,49,4.336925
8.984063,118,4.412101
2.136512,138,4.488395
4.594259,65,4.523388
8.149879,157,4.598928
7.902681,148,4.685567
8.195452,117,4.748331
4.778696,73,4.783396
0.314116,173,4.877289
4.692129,136,4.952368
7.806152,116,5.019182
-1.196248,148,5.097548
7.670981,105,5.15322
3.347358,47,5.182378
7.743162,158,5.26422
3.547866,149,5.349121
2.113217,56,5.737794
11.945047,173,5.832096
-3.040825,136,5.906382
1.673884,149,5.98329
13.070691,219,6.099374
4.605499,103,6.157975
6.416112,89,6.222009
6.232209,134,6.298583
4.060298,55,6.322311
7.663596,111,6.390378
2.953993,49,6.415628
9.963341,147,6.510078
4.512539,118,6.57882
12.827321,202,6.694644
1.372348,91,6.750808
10.997075,171,6.833089
10.217657,136,7.252923
3.138163,139,7.328484
10.391697,144,7.403634
11.53914,164,7.483074
-0.809168,115,7.551742
4.055513,54,7.585766
7.665689,132,7.661597
6.898266,93,7.710414
-1.969732,107,7.768517
8.956868,123,7.837973
9.080402,122,7.903035
5.098478,72,7.946626
2.620082,131,8.020743
9.020684,129,8.099745
0.548355,190,8.224301
5.843983,94,8.276484
7.730504,178,8.633228
8.017144,171,8.715722
7.14356,133,8.800687
4.420713,152,8.880975
2.532414,48,8.903027
-1.630401,119,8.987447
11.423454,202,9.115815
2.48363,33,9.137973
-0.330625,152,9.251426
6.203318,103,9.315602
5.146738,77,9.353208
7.848732,115,9.423784
1.597307,78,9.464999
2.360898,33,9.483088
7.057924,96,9.53583
1.773797,211,9.653682
9.280632,124,9.720608
5.493106,79,9.749948
3.672935,162,10.107452
11.798965,182,10.198918
-2.570367,205,10.316032
4.436527,61,10.349593
5.49088,90,10.404456
9.716537,190,10.508488
7.195385,125,10.578533
7.281921,111,10.647395
6.902445,122,10.712461
4.973037,81,10.763634
-8.04891,111,10.833259
19.326666,335,11.000044
5.575114,133,11.077562
5.71051,76,11.117782
14.92583,260,11.486798
7.681524,103,11.546183
8.523955,163,11.632604
7.521365,178,11.715863
6.687485,101,11.784468
6.534693,93,11.816477
5.516757,72,11.866409
0.932525,119,11.930657
6.115994,91,11.966696
10.175038,169,12.06386
11.381007,298,12.220095
3.468296,102,12.266685
4.812737,66,12.299627
-6.274952,173,12.399244
9.661063,137,12.469965
12.894244,178,12.848838
10.203173,145,12.92953
3.970515,186,13.016033
9.880829,175,13.116652
4.449668,59,13.137271
11.26036,165,13.232447
5.258515,76,13.281994
6.577407,131,13.35105
6.263038,108,13.406069
13.621924,195,13.499995
6.966642,110,13.564187
8.330782,137,13.653152
5.303042,80,13.691918
8.931233,138,13.770992
8.202687,109,13.829726
5.626638,104,13.884237
11.981684,234,14.275688
9.097681,139,14.351108
10.677741,200,14.448993
7.544783,182,14.556999
5.552219,86,14.608923
5.906101,96,14.663917
6.342968,102,14.718172
4.45522,111,14.777688
8.002788,115,14.836367
3.532662,114,14.899409
5.161488,75,14.94227
5.528756,81,14.983154
7.368208,103,15.057122
6.209346,101,15.110025
5.382834,91,15.161103
12.006796,160,15.248806
4.283351,113,15.662755
4.753596,106,15.725031
9.972353,135,15.801627
6.643067,150,15.88055
6.235414,154,15.949497
8.449721,126,16.021891
7.513395,108,16.077448
7.044495,147,16.162757
5.38822,126,16.246127
9.737988,194,16.332222
6.681922,87,16.393076
7.801329,176,16.482199
1.298762,179,16.582744
8.452048,129,16.648911
3.001236,47,16.683306
8.762434,184,17.036146
6.421972,91,17.08535
5.578682,107,17.14416
8.822566,148,17.225433
10.314874,225,17.341682
6.285225,118,17.410759
5.723675,107,17.477994
3.783285,124,17.556051
4.698832,153,17.627602
7.268287,179,17.722086
6.828485,207,17.833243
10.315693,148,17.915989
5.581564,130,17.995857
7.68585,265,18.132622
8.484469,141,18.46535
8.31754,129,18.541473
6.920565,94,18.596138
6.464033,120,18.66069
7.430448,140,18.731988
4.621242,166,18.815257
6.175016,120,18.903867
7.380129,137,18.991707
0.981338,126,19.063256
9.287689,151,19.132242
5.571628,80,19.184235
8.626309,127,19.255354
16.08911,254,19.391124
6.191193,100,19.456944
5.885654,202,19.817156
8.531914,126,19.887473
5.741744,107,19.950129
8.621537,112,20.01335
5.248487,137,20.08148
6.008582,168,20.17566
5.720559,83,20.234517
2.987084,130,20.331811
10.383939,143,20.411951
8.612055,162,20.514728
7.025297,118,20.57717
11.353926,159,20.666061
11.665827,176,20.769969
8.080735,212,20.882001
8.988635,124,20.946356
8.171347,138,21.337986
6.719209,116,21.399953
11.457326,187,21.498496
9.582924,159,21.582562
8.747234,236,21.719894
6.421446,84,21.768503
6.645486,92,21.824322
7.278723,156,21.915268
11.282105,165,22.015949
6.17006,95,22.07815
8.626033,123,22.143892
2.890364,107,22.201726
5.164729,136,22.270556
8.96442,119,22.332443
11.888599,180,22.416536
8.241635,127,22.731957
9.253069,173,22.832484
7.122657,137,22.923397
9.897557,152,23.001682
21.186723,285,23.132933
7.136171,133,23.21251
10.075564,155,23.290401
12.277897,170,23.384971
7.620399,155,23.465788
10.762633,157,23.557916
9.75705,160,23.648789
13.543609,218,23.765136
8.570981,125,24.181298
8.90129,138,24.255574
10.84419,146,24.333066
8.972156,121,24.40625
11.830477,198,24.51525
6.698713,95,24.567375
8.247279,135,24.636956
10.982283,155,24.715321
11.337446,149,24.795285
15.958016,249,24.932933
9.750956,156,25.015486
10.671736,162,25.094184
7.528456,106,25.149596
7.333137,101,25.201468
5.516234,90,25.504883
7.747132,105,25.567232
8.526074,123,25.633106
9.607642,154,25.715886
8.353217,173,25.798973
15.296152,206,25.898617
7.547321,111,25.966528
8.117046,125,26.029315
12.572145,202,26.115867
6.586406,144,26.202956
7.28022,102,26.255331
9.64397,162,26.343585
10.398027,141,26.416377
7.7568,143,26.493867
5.014571,132,26.560665
4.711091,66,26.848637
9.972948,160,26.933023
8.409971,119,26.999506
7.093654,134,27.068585
8.341784,108,27.124183
7.420347,98,27.174898
10.152233,153,27.25317
11.008312,152,27.332574
8.05038,105,27.404734
10.53004,168,27.48272
10.039845,171,27.565755
10.588114,168,27.666186
7.864779,121,27.731343
10.669883,172,27.831727
11.519555,197,28.180249
10.819362,175,28.286351
12.33571,234,28.39853
