#{"t_start": 1784595021.7149453, "env_id": "None"}
r,l,t
-168.323499,1,1.300261
-103.442555,1,1.300261
-116.024899,1,1.300261
-179.811952,1,1.300261
-119.659217,1,1.300261
-219.939968,1,1.300261
-216.93255,1,1.300261
-200.398217,1,1.300261
-129.793929,1,1.300261
-124.219679,1,1.316074
-134.31419,1,1.31661
-216.631429,1,1.317146
-237.690819,1,1.317937
-275.491934,1,1.317937
-176.199434,1,1.317937
-145.687182,1,1.322038
-122.67347,1,1.322038
-220.228789,1,1.322038
-163.221536,1,1.322038
-136.938733,1,1.322038
-108.042709,1,1.322038
-111.648645,1,1.322038
-275.241022,1,1.322038
-206.514622,1,1.322038
-230.352743,1,1.322038
-277.591921,1,1.322038
-158.794489,1,1.322038
-103.56533,1,1.322038
-153.428587,1,1.322038
-260.391937,1,1.322038
-134.145515,1,1.322038
-106.14726,2,1.322038
-149.941229,1,1.322038
-141.742277,1,1.333007
-220.997238,1,1.333007
-245.791354,1,1.33382
-272.221346,2,1.33382
-114.098519,1,1.33382
-193.691889,1,1.33382
-174.623609,1,1.33382
-104.546194,1,1.33382
-213.158814,1,1.33382
-277.125299,1,1.33382
-120.019651,2,1.33382
-245.143698,1,1.33382
-217.149091,1,1.33382
-160.421524,1,1.33382
-199.827771,1,1.33382
-143.688395,1,1.33382
-155.883476,1,1.33382
-275.753521,1,1.33382
-161.425234,1,1.33382
-124.529207,2,1.33382
-200.481091,1,1.33382
-164.58842,1,1.33382
-213.415583,1,1.33382
-179.613029,1,1.34622
-106.613501,1,1.34622
-202.277537,1,1.34622
-170.222367,1,1.34622
-180.202428,2,1.34622
-115.109048,2,1.349116
-103.051127,1,1.349844
-276.286074,1,1.349844
-162.154444,1,1.351004
-184.00281,1,1.351004
-195.359043,1,1.352005
-110.825222,1,1.352005
-161.776107,1,1.353015
-160.110842,1,1.353015
-184.285664,1,1.354006
-147.63382,1,1.354006
-195.761408,1,1.354006
-161.45207,1,1.355015
-227.65515,1,1.355015
-252.635046,1,1.356003
-155.06773,1,1.356003
-177.656909,1,1.357008
-235.068657,1,1.357008
-218.653319,1,1.358003
-103.392714,1,1.358003
-155.419701,1,1.35901
-237.541737,1,1.35901
-157.985175,1,1.35901
-147.611919,1,1.360011
-158.000857,1,1.360011
-136.753795,2,1.36101
-201.574517,2,1.362005
-117.458555,1,1.362005
-154.769226,1,1.363008
-154.996912,1,1.363008
-195.642067,2,1.364005
-118.599519,1,1.36501
-190.475661,1,1.36501
-191.359646,1,1.366002
-218.990171,1,1.366002
-106.485905,3,1.367004
-130.789142,1,1.368008
-124.222648,1,1.368008
-117.199151,1,1.369005
-157.102114,1,1.369005
-112.659824,1,1.370008
-106.438546,1,1.370008
-175.22736,1,1.370008
-210.642967,1,1.371007
-104.321222,1,1.371007
-172.206965,1,1.372005
-225.303413,1,1.372005
-135.46071,2,1.373004
-108.325829,2,1.374003
-272.537586,1,1.374003
-164.47097,1,1.375004
-195.710622,2,1.376006
-129.129833,1,1.376006
-152.217112,1,1.376918
-198.320963,1,1.376918
-170.193946,1,1.377916
-126.169298,1,1.377916
-244.106672,1,1.378916
-223.350815,1,1.378916
-157.992538,1,1.378916
-175.672562,1,1.379917
-124.975865,1,1.379917
-117.112355,1,1.38092
-158.413355,1,1.38092
-113.611737,1,1.381902
-152.653062,1,1.381902
-116.817643,1,1.382924
-122.104406,1,1.382924
-144.848321,1,1.383919
-159.14478,1,1.383919
-240.590631,1,1.383919
-277.14324,1,1.383919
-234.814594,1,1.383919
-178.992461,1,1.383919
-133.423558,1,1.383919
-188.541291,2,1.383919
-219.596851,2,1.383919
-171.939078,1,1.383919
-133.128665,1,1.383919
-226.754981,2,1.383919
-241.471962,1,1.383919
-187.752464,1,1.383919
-125.49122,1,1.383919
-267.112708,1,1.383919
-113.734588,1,1.383919
-176.482686,1,1.383919
-227.017112,1,1.383919
-154.384201,1,1.383919
-241.144614,1,1.383919
-157.178755,1,1.383919
-115.040647,1,1.383919
-277.618669,1,1.383919
-215.224442,2,1.383919
-277.387724,1,1.383919
-196.678013,1,1.383919
-161.489688,1,1.383919
-212.867101,1,1.383919
-108.622996,1,1.383919
-171.168777,1,1.383919
-228.890343,1,1.383919
-221.442587,1,1.399726
-250.542862,1,1.40023
-198.313106,1,1.40023
-245.495501,4,1.40023
-155.825534,2,1.40023
-112.06213,1,1.40023
-206.104392,1,1.40023
-276.745548,1,1.40023
-120.422375,1,1.40023
-205.502532,1,1.40023
-155.745053,1,1.40023
-202.795456,1,1.40023
-271.093619,1,1.40023
-114.600653,1,1.40023
-126.847441,1,1.40023
-238.821787,1,1.40023
-179.795402,1,1.40023
-214.577576,1,1.40023
-276.70507,1,1.40023
-166.755642,1,1.40023
-181.913641,1,1.40023
-209.339232,1,1.40023
-230.006854,1,1.40023
-151.231973,1,1.40023
-160.906758,1,1.40023
-119.134276,1,1.40023
-277.234176,1,1.40023
-115.027942,1,1.40023
-105.759835,1,1.40023
-249.160519,1,1.40023
-155.771831,1,1.40023
-115.459308,1,1.40023
-164.302035,1,1.415869
-123.151621,1,1.416592
-127.498881,1,1.416592
-104.131046,1,1.416592
-112.685721,1,1.416592
-269.243416,1,1.416592
-155.236129,1,1.416592
-120.344699,2,1.416592
-120.568093,1,1.416592
-163.904146,1,1.416592
-207.442918,1,1.416592
-118.675291,1,1.416592
-225.44669,1,1.416592
-204.050874,1,1.416592
-173.905093,1,1.416592
-220.327848,1,1.416592
-194.671263,1,1.416592
-120.929555,1,1.416592
-170.533812,1,1.416592
-137.754682,1,1.416592
-218.603218,1,1.416592
-249.242485,1,1.416592
-217.238533,1,1.416592
-109.080012,1,1.416592
-174.980407,1,1.416592
-171.996165,1,1.416592
-254.617897,1,1.416592
-199.96089,1,1.416592
-144.352642,1,1.416592
-146.491283,1,1.416592
-104.302267,1,1.416592
-272.223435,1,1.416592
-146.743639,1,1.416592
-137.114606,1,1.416592
-179.815326,1,1.416592
-178.375574,1,1.432396
-138.75889,1,1.432396
-158.764364,1,1.433113
-155.497834,1,1.433113
-221.430475,1,1.433113
-214.760627,1,1.433113
-236.940484,2,1.433113
-133.241448,1,1.433113
-142.052969,1,1.433113
-155.431104,1,1.433113
-185.617632,2,1.433113
-108.030761,1,1.433113
-102.576183,1,1.433113
-126.6201,1,1.433113
-190.03285,1,1.433113
-112.998034,1,1.433113
-223.946174,1,1.433113
-233.875198,1,1.433113
-157.526843,1,1.433113
-277.850257,1,1.433113
-139.17345,1,1.433113
-284.751025,2,1.433113
-155.351898,1,1.433113
-151.447782,1,1.433113
-277.051687,1,1.433113
-105.994076,1,1.433113
-249.819553,1,1.433113
-201.39538,1,1.433113
-243.973421,1,1.446368
-175.752771,1,1.446368
-191.253714,1,1.446368
-276.3037,1,1.446368
-209.669803,1,1.446368
-110.179032,1,1.446368
-103.021658,1,1.448984
-119.671818,1,1.448984
-219.409465,1,1.449917
-171.944821,2,1.449917
-128.265235,1,1.449917
-189.612978,1,1.449917
-154.745547,1,1.449917
-260.912218,1,1.449917
-137.954545,2,1.449917
-185.298264,1,1.449917
-106.65452,1,1.449917
-113.413907,1,1.449917
-196.993009,1,1.449917
-207.26528,1,1.449917
-103.793615,1,1.449917
-154.670941,1,1.449917
-244.194633,1,1.449917
-107.590309,1,1.449917
-133.478848,1,1.449917
-106.189285,1,1.449917
-210.456471,1,1.449917
-211.735339,1,1.449917
-104.004487,1,1.449917
-154.896687,1,1.449917
-247.788298,1,1.449917
-108.470571,1,1.449917
-222.092577,1,1.449917
-115.030528,1,1.449917
-269.061956,1,1.449917
-107.370051,1,1.449917
-256.326316,1,1.449917
-268.215263,1,1.449917
-277.405163,1,1.449917
-157.086877,1,1.449917
-185.637796,1,1.449917
-277.915083,1,1.465985
-152.019289,1,1.466488
-164.963705,1,1.466488
-121.721762,1,1.466488
-147.603618,1,1.466488
-180.501848,1,1.466488
-203.024081,1,1.466488
-206.152795,1,1.466488
-197.623219,1,1.466488
-237.20305,1,1.466488
-138.299781,2,1.466488
-154.632325,1,1.466488
-155.144188,1,1.466488
-187.49379,1,1.466488
