#{"t_start": 1784891571.4520972, "env_id": "None"}
r,l,t
-72.618194,170,3.154463
2.001632,28,3.174448
-30.022907,103,3.246677
8.713777,154,3.368383
-2.511953,115,3.44294
0.819096,83,3.500073
4.121121,82,3.623178
3.092597,67,4.59838
5.92671,97,6.28271
-69.75509,120,8.299815
-1.460813,60,9.317141
-10.135044,158,10.878736
-83.980705,143,10.972749
-4.593124,135,11.07329
3.653784,48,11.106295
-42.161422,112,11.177838
5.67638,99,11.243866
0.180274,117,11.322335
-1.743085,45,11.354912
-62.035796,122,11.795418
3.36966,79,11.846925
-19.20182,125,11.952437
2.977978,38,11.989451
-60.226893,114,12.063983
3.437318,70,12.125615
-16.489063,102,12.227286
1.973448,62,12.269145
3.28682,41,12.294142
1.526191,33,12.314668
-0.198645,101,12.384151
2.927903,63,12.422822
-68.922439,85,12.473149
4.380519,82,12.522983
3.834058,97,12.581559
-7.838464,101,12.64852
-1.584296,40,12.673766
-0.708407,129,12.750614
1.863612,86,12.807626
-1.096963,64,12.844202
-6.472801,140,12.921811
-13.485383,122,12.996857
2.31335,148,13.090082
1.857971,67,13.129116
-0.240343,59,13.475205
5.16737,72,13.536718
-32.422279,119,13.619722
1.98402,76,13.683229
-1.437993,27,13.699229
-3.159005,96,13.750752
0.407451,38,13.774752
2.628706,89,13.823759
-35.492432,89,13.873311
-1.682651,22,13.887751
-4.170786,54,13.922149
4.544823,60,13.958233
-0.446036,58,13.99245
1.137475,83,14.041681
2.428341,44,14.067752
4.488341,82,14.115761
2.631224,41,14.139277
3.096364,43,14.164276
2.572956,37,14.189279
-57.076854,115,14.259847
6.050824,92,14.315855
-21.59988,83,14.363387
0.537705,40,14.389387
7.769909,108,14.485919
3.046713,40,14.509918
6.158758,76,14.55347
-1.836595,120,14.620954
4.033864,54,14.653415
0.072992,35,14.676865
-25.186476,95,14.737925
2.841473,40,14.761779
11.450714,154,15.13673
1.165806,95,15.194731
5.385362,100,15.273259
0.165607,94,15.339219
3.57978,57,15.379044
3.889538,58,15.422839
-21.799654,156,15.537007
1.055424,34,15.561012
-12.594866,120,15.65999
-37.375785,148,15.769646
-30.705705,141,15.87196
-2.197208,69,15.923059
0.382696,68,15.974249
3.014706,43,16.004264
-0.106343,45,16.041797
4.12288,82,16.110435
2.505473,61,16.162084
5.019778,80,16.259995
5.902285,89,16.340682
1.31923,48,16.374682
-0.026398,123,16.461461
2.408805,95,16.525465
2.712514,42,16.555574
2.3203,30,16.580596
5.65976,148,17.130526
-2.519202,118,17.237036
3.786554,53,17.276045
-12.167605,104,17.348571
0.276403,70,17.427438
1.5463,31,17.47679
2.230542,37,17.532925
1.06936,33,17.572438
-30.301163,100,17.648117
4.250961,65,17.714118
-0.309166,36,17.740644
2.695057,79,17.795642
-9.63673,87,17.860065
1.718231,29,17.883551
2.166585,32,17.914699
-40.474781,142,18.086376
6.209156,97,18.156408
-3.109194,31,18.178415
3.103215,86,18.241055
2.834564,47,18.276307
-0.243855,34,18.301311
5.136088,64,18.350863
1.216939,107,18.43087
7.560239,106,18.504544
0.738091,41,18.535067
-2.966287,65,18.582814
2.068337,26,18.60218
