#{"t_start": 1786566495.516931, "env_id": "None"}
r,l,t
-119.925079,31,2.40693
-96.315121,41,2.579144
-109.515876,31,2.648005
-122.906806,31,2.691762
-118.160525,31,2.757702
-116.164856,31,2.844898
-122.346393,31,2.92461
-119.687072,27,2.97492
-108.686737,31,3.047035
-102.771341,35,3.119648
-106.049651,41,3.183479
-69.886436,70,3.326964
-97.420433,44,3.413911
-100.67315,31,3.49139
-114.493401,31,3.563249
-116.904417,31,3.640025
-103.716182,31,3.691263
-92.668983,59,3.791404
-70.089036,58,3.874616
-88.616249,46,3.925224
-106.839686,31,3.969574
-126.725679,31,4.009189
-78.10616,74,4.108028
-109.025558,33,4.158102
-114.343822,31,4.201266
-74.77069,59,4.275536
-107.391343,31,4.308297
-121.572912,31,4.357876
-110.346807,36,4.424472
-101.031884,45,4.49139
-117.098802,31,4.551007
-97.920733,54,4.641748
-108.538426,31,4.691551
-112.138379,31,4.741477
-91.239776,45,4.807877
-99.849448,50,4.875939
-88.892247,44,4.941634
-114.001857,31,4.975307
-123.715073,31,5.024962
-111.625288,29,5.058775
-129.410756,31,5.108382
-91.210159,38,5.158579
-114.664778,31,5.207984
-110.139801,36,5.258413
-126.726558,31,5.308708
-118.54275,31,5.358463
-89.386797,43,5.408801
-100.605845,45,5.466578
-110.685773,31,5.5083
-115.91237,31,5.552145
-103.368311,44,5.608401
-87.473971,55,5.683729
-121.162162,31,5.724768
-117.849174,31,8.120493
-115.43303,31,8.190066
-107.767943,32,8.257675
-104.724386,31,8.315871
-111.233838,31,8.364276
-108.524047,31,8.424669
-106.428627,32,8.475224
-112.560898,31,8.524431
-120.308789,31,8.574424
-101.29861,31,8.607788
-108.1001,40,8.674363
-110.554739,31,8.70838
-117.39257,31,8.757715
-75.78567,70,8.856653
-113.801612,31,8.891145
-116.30481,31,8.941385
-111.867159,31,8.974484
-76.004653,59,9.073233
-71.269947,94,9.206794
-106.648974,34,9.241315
-116.521463,31,9.291235
-103.459644,45,9.358574
-119.636587,31,9.391775
-104.37726,35,9.441195
-100.295391,42,9.507963
-105.29957,39,9.559373
-113.459921,31,9.607797
-113.11233,29,9.641675
-100.810908,31,9.691805
-123.684785,31,9.741148
-78.74295,46,9.790695
-108.066085,34,9.841183
-111.859089,31,9.891284
-90.141682,53,9.960538
-115.144898,31,10.008372
-110.172951,35,10.06095
-93.988626,48,10.124344
-118.878317,31,10.174693
-102.575767,41,10.224316
-117.185749,31,10.274306
-112.480671,31,10.307627
