#{"t_start": 1786561510.3967907, "env_id": "None"}
r,l,t
-110.488148,33,0.075755
-119.681296,31,0.141432
-106.554191,31,0.204449
-107.717925,34,0.254443
-118.795284,31,0.321475
-121.838498,31,0.369769
-111.950626,31,0.404596
-81.628776,73,0.516264
-100.413944,40,0.571467
-100.439823,34,0.620049
-80.431483,64,0.704517
-109.310595,34,0.764162
-104.779625,42,0.821304
-116.471388,31,0.872115
-117.938985,31,0.91722
-86.535799,38,0.971308
-86.441276,41,1.02152
-90.258759,66,1.121281
-95.960827,53,1.204998
-115.783025,31,1.254904
-113.186627,31,1.309325
-117.369208,31,1.354722
-104.161065,31,1.421126
-122.167027,31,1.471736
-99.173182,31,1.521721
-110.39811,33,1.572088
-107.713007,39,1.638343
-110.331798,31,1.688114
-104.802922,35,1.754848
-118.701843,31,1.811857
-109.396643,32,1.854586
-76.472012,62,1.971629
-113.569354,31,2.038344
-98.856317,39,2.142403
-112.27336,31,2.234265
-111.889689,31,2.325927
-115.239164,31,2.411145
-113.167835,31,2.505266
-107.122197,39,2.621797
-107.801772,31,2.710016
-108.756108,32,2.789032
-122.610744,31,2.89889
-99.527615,42,2.987958
-109.675437,34,3.03784
-117.316336,31,3.087969
-113.001138,31,3.122343
-112.158336,31,3.171505
-104.697056,38,3.222569
-123.23383,31,3.271509
-98.388153,31,3.304616
-101.253231,45,3.380487
-115.367673,31,3.422913
-115.730442,31,3.471282
-122.328106,31,3.523008
-106.514522,36,3.571077
-116.564009,31,3.621426
-95.174501,46,5.771193
-117.756857,31,5.831577
-113.194669,31,5.871077
-111.426614,31,5.933658
-116.284566,31,5.971217
-86.433913,46,6.046199
-104.822745,35,6.08775
-102.894652,48,6.15386
-112.701497,31,6.187878
-38.482796,126,6.354376
-100.958055,46,6.421607
-104.168239,31,6.455195
-109.383678,34,6.505219
-127.102955,31,6.538253
-102.856504,43,6.588226
-109.713588,31,6.637633
-105.081793,43,6.687958
-107.308081,31,6.729158
-107.768791,31,6.754899
-119.391049,31,6.804579
-101.346909,48,6.871494
-121.080141,31,6.921964
-106.482811,39,6.988286
-104.002103,41,7.054828
-94.580721,61,7.137726
-112.501684,31,7.171065
-109.64745,31,7.221023
-101.814952,39,7.271178
-62.464448,81,7.387592
-116.009656,31,7.429987
-110.600865,31,7.471547
-118.316217,31,7.520708
-87.133872,63,7.606662
-101.900807,31,7.650488
-110.402657,31,7.688114
-111.393317,31,7.737931
-103.522149,34,7.788156
-109.359597,31,7.830461
-111.708494,31,7.870894
-108.463484,38,7.930732
-113.337506,31,7.971601
-111.092743,36,8.004535
-108.413541,39,8.054269
-111.328858,31,8.104298
-57.677338,86,8.204799
-110.984497,31,8.25481
-114.262086,31,8.288843
-115.209839,31,8.338531
-122.183548,31,8.371268
-101.749851,41,8.431019
-94.652203,60,8.504464
-102.114441,41,10.977541
-102.138545,43,11.061486
-114.835296,31,11.135955
-114.02456,31,11.187515
-119.606233,31,11.25856
-108.419492,32,11.305129
-117.104456,31,11.346296
-98.970887,31,11.371525
-105.401241,31,11.421343
-116.562153,31,11.454916
-102.768463,39,11.504686
-103.077772,33,11.555155
-105.277974,44,11.604563
-119.263346,31,11.638085
-106.935342,31,11.687794
-111.939932,33,11.721064
-115.010907,31,11.771929
-115.742469,31,11.804561
-83.505637,49,11.874599
-117.763353,31,11.904804
-113.162514,31,11.954236
-80.541762,62,12.0375
-106.324362,31,12.087912
-103.943355,35,12.120999
-114.540928,31,12.170866
-117.221779,31,12.220881
-71.596068,59,12.304235
-89.915464,50,12.371555
-90.638993,46,12.437434
-114.903708,31,12.470932
-75.653505,73,12.571065
-113.953015,31,12.620993
-90.197422,36,12.67134
-83.661462,61,12.754266
-110.084769,31,12.804621
-95.729979,55,12.870914
-88.530435,63,12.971044
-116.158758,31,13.00451
-126.922418,31,13.054164
-72.281742,88,13.171321
-119.244712,31,13.2206
-115.640022,31,13.254703
-115.274914,31,13.304378
-106.692571,37,13.354347
-115.567584,31,13.40436
-78.498603,81,13.521019
-98.866333,42,13.570724
-111.203833,31,13.620764
-100.195662,31,13.671098
-98.100212,39,13.720947
-104.946855,37,13.770918
-119.968867,31,13.821138
-116.538072,31,13.870975
-61.996772,68,15.962187
-115.62073,33,16.013165
-101.884241,50,16.087682
-85.541784,51,16.228981
-103.485136,31,16.304518
-94.934263,54,16.454762
-100.898525,31,16.554899
-69.683983,110,16.837394
-86.216733,49,16.935138
-108.657329,38,16.987423
-77.700354,59,17.124386
-41.166962,111,17.31232
-63.595092,72,17.5187
-116.019043,31,17.570779
-111.695621,31,17.620595
-88.407871,54,17.700067
-84.013894,56,17.772223
-96.180894,40,17.847822
-20.662556,154,18.054332
-102.951217,31,18.0882
-75.094912,72,18.187829
-94.985656,31,18.240907
-86.122897,71,18.390429
-75.654096,91,18.663073
-88.17591,48,18.80495
-76.269626,51,18.93738
-116.534706,31,18.987298
-111.636388,31,19.038023
-58.192331,82,19.188392
-94.293723,59,19.371686
-31.630476,118,19.73735
-75.105017,62,19.926722
-74.839025,64,20.121558
-110.392806,31,20.204475
-109.239313,34,20.253885
-89.566262,39,22.679132
-103.739401,36,22.748482
-93.568076,31,22.812853
-91.517692,65,22.973966
-96.777824,49,23.104518
-64.343826,71,23.303665
-98.586099,31,23.353691
-101.070465,31,23.387246
