#{"t_start": 1786558654.9643779, "env_id": "None"}
r,l,t
-102.852719,40,18.255286
-120.648847,31,18.380443
-121.551506,31,18.503035
-121.315298,31,18.625533
-78.470965,71,18.919937
-108.783709,31,19.045281
-104.811425,28,19.159364
-109.730949,32,19.295077
-107.230161,31,19.421729
-87.849071,38,19.647112
-121.421877,31,19.85366
-102.605901,31,20.060289
-108.892781,34,20.277673
-115.369056,31,20.490816
-114.605446,31,20.685464
-116.457607,31,20.891674
-121.839863,31,21.091002
-119.576925,31,21.288941
-112.390414,31,21.49283
-99.04738,53,21.791008
-113.704907,31,21.957663
-111.47656,31,22.166411
-115.93235,31,22.35134
-122.634519,30,22.47965
-81.078866,58,22.798064
-101.857514,42,22.968759
-109.352285,31,23.037929
-117.216952,23,23.084939
-87.778657,44,23.180554
-119.306023,31,23.261247
-103.009258,42,23.359098
-114.581895,31,23.446423
-116.993432,31,23.518965
-112.909641,31,23.588081
-105.558252,37,23.673925
-84.679372,69,23.88054
-83.905571,44,24.003785
-103.327746,28,24.109522
-112.642272,31,24.209555
-119.103928,31,24.301268
-119.397924,31,24.389515
-118.475184,31,24.531412
-109.607246,38,24.698357
-114.113193,31,24.841778
-122.721581,31,25.006453
-108.928762,31,25.164102
-101.310483,31,25.342671
-104.870934,31,25.500217
-112.623329,31,25.682351
-113.438731,31,25.883757
-86.434576,39,26.089819
-119.938886,31,26.238736
-111.492716,31,26.406211
-102.470577,40,26.628379
-111.567948,31,26.827787
-115.557589,31,27.017599
-89.927447,40,27.229511
-117.914838,31,27.370532
-112.497685,31,27.541679
-101.071897,37,34.132053
-117.328955,31,34.25163
-103.738571,40,34.417112
-94.860696,31,34.549688
-108.788036,32,34.683967
-114.870738,31,34.819051
-108.171425,32,34.954057
-93.593926,31,35.082447
-100.446108,42,35.254126
-70.604178,72,35.549357
-101.044886,41,35.712619
-116.363453,31,35.841681
-91.986901,67,36.228549
-104.595005,46,36.484647
-120.103886,31,36.666268
-100.437214,42,36.911166
-105.885932,40,37.117547
-113.094686,31,37.308978
-117.102079,31,37.492889
-124.865314,31,37.689081
-100.732306,32,37.882275
-69.281828,90,38.441175
-99.158564,32,38.628006
-116.501394,31,38.801665
-97.805854,42,39.056782
-97.468923,31,39.249895
-111.733651,31,39.432452
-80.942065,56,39.763954
-99.325596,50,40.053664
-106.96907,31,40.244781
-89.256006,40,40.485692
-97.747164,48,40.759186
-108.574298,37,40.980838
-100.043316,35,41.233426
-90.934381,43,41.524989
-60.228751,68,41.880285
-111.987822,31,42.05988
-114.158038,31,42.238908
-118.745722,31,42.406743
-113.020542,31,42.607355
-102.851852,42,42.900882
-92.691923,60,43.208114
-107.430859,38,43.366866
-93.350938,43,43.542329
-91.956285,38,43.701466
-118.40814,31,43.829676
-96.337805,50,44.065291
-117.603979,31,44.191574
-70.963688,89,44.571733
-119.421818,31,44.745966
-80.464093,50,51.395892
-77.627725,54,51.701152
-86.179588,53,52.037235
-75.51542,77,52.493045
-115.518659,31,52.667201
-118.99724,31,52.870391
-92.562948,58,53.261199
-106.836219,35,53.473465
-115.176741,31,53.66691
-110.731709,31,53.86046
-107.602855,38,54.052373
-98.554486,45,54.203441
-107.583812,31,54.328485
-74.93809,82,54.700382
-102.232059,47,54.954048
-88.974558,40,55.176909
-107.00183,31,55.364335
-119.980867,31,55.560762
-114.294606,31,55.742102
-96.32347,40,55.987409
-121.588611,31,56.184303
-67.703437,73,56.621702
-127.623427,31,56.813776
-85.46936,51,57.1398
-113.135629,31,57.32908
-112.683819,34,57.523774
-116.635192,31,57.71382
-114.015248,31,57.900792
-106.851533,31,58.088974
-115.749699,31,58.27323
-111.819376,31,58.455427
-92.728621,59,58.810031
-88.988714,46,59.087215
-113.673777,31,59.255512
-114.706391,31,59.45365
-106.708404,38,59.671175
-112.588792,31,59.871793
-104.324551,42,60.127619
-104.367657,37,60.346012
-87.711838,44,60.615088
-93.542967,51,60.915137
-105.399389,31,61.103116
-115.06446,31,61.2881
-101.51097,37,61.491313
-108.71147,31,61.684083
-104.256437,45,61.907639
-114.680772,31,62.053592
-89.87277,53,62.266088
-106.849304,33,62.405049
-118.576945,31,62.531068
-119.379014,29,62.659774
-61.41641,81,69.629414
-84.538898,43,69.815543
-99.264974,31,70.018716
-105.038755,41,70.267702
-108.389128,38,70.508225
-91.826696,31,70.69468
-50.945366,93,71.257865
-108.204612,31,71.439595
-89.573048,31,71.617985
-113.627993,31,71.809273
-83.637742,53,72.126773
-108.600153,32,72.32273
-74.699318,63,72.618999
-73.150639,54,72.84422
-102.302975,33,72.979582
-89.071678,43,73.157618
-88.839444,58,73.443767
-111.314977,32,73.628342
-81.775972,50,73.853852
-100.884152,41,74.027845
-88.745154,50,74.254019
-112.830848,31,74.383854
-95.237569,56,74.629157
-110.632166,31,74.7566
-93.283665,50,74.96014
-51.308218,79,75.274146
-71.538716,79,75.594277
-115.521972,31,75.719588
-96.033598,64,75.973796
-69.773038,78,76.290159
-78.724412,75,76.594681
-68.858579,74,76.891953
-111.63845,31,77.015106
-66.175171,76,77.337134
-62.081361,64,77.594812
-88.361612,50,77.799003
-109.221906,34,77.963277
-118.506032,31,78.136631
-66.126268,80,78.617536
-80.331896,59,78.965766
-111.196762,23,79.099532
-39.71647,96,86.081927
-28.486488,119,86.791883
-79.843412,54,87.110377
-68.585522,66,87.486756
-96.955073,52,87.78256
-87.243714,53,88.095239
-110.162863,32,88.280614
-48.243209,92,88.834309
-83.244917,46,89.09159
36.666795,227,90.425482
-96.118864,56,90.76337
-17.123785,141,91.58699
-93.277076,51,91.880222
-69.971806,72,92.310745
-87.983945,38,92.524073
-105.167217,43,92.793867
-96.752819,33,92.999673
-85.720052,48,93.287769
-62.138684,74,93.729357
-55.033231,78,94.259483
-101.172618,53,94.581355
-66.524042,80,95.06175
-110.099093,31,95.24213
-70.348012,62,95.600931
-48.497021,121,96.323811
-78.091806,70,96.707629
-88.924972,71,97.129236
-85.670582,44,97.382141
-87.095391,40,97.621093
-90.103798,52,104.388271
-108.262475,31,104.521387
-41.837145,133,105.318615
-76.22995,83,105.792756
-68.73332,66,106.193489
-35.438504,118,106.909384
-51.307391,97,107.493278
-14.651189,179,108.558183
-81.367769,44,108.825677
-29.222572,142,109.666343
122.869353,223,110.98198
-73.173346,62,111.347964
-32.611546,112,112.007041
-87.999211,46,112.277448
-99.770169,41,112.51729
-46.081525,99,113.099001
-28.90098,134,113.8793
-9.482168,181,114.99087
-58.708882,85,115.451274
139.72828,390,124.097376
-53.549443,87,124.65194
4.860016,193,125.804439
25.054876,223,127.129146
-95.933639,53,127.471745
-18.164136,149,128.363178
-50.112539,103,128.964281
-48.606604,86,129.483169
-62.773446,85,129.977596
-72.051666,73,130.413177
183.16863,384,132.672286
-64.932651,63,133.042653
-45.460622,103,133.653234
-110.391619,33,133.853201
-100.550466,36,134.071061
58.428395,265,140.856143
-35.806259,122,141.242063
143.940284,393,143.165471
88.759408,305,144.915743
88.234432,300,146.759356
-65.400615,90,147.276872
42.927173,263,148.531573
110.870546,344,149.528551
102.907629,345,154.112071
-61.901199,89,154.248075
621.763843,1000,155.927616
-90.248587,46,156.048838
27.425333,237,156.915397
345.857896,658,160.285681
600.834121,1000,161.632152
370.498136,765,162.548923
480.500682,923,167.080395
616.666524,1000,169.770449
758.327992,1000,173.836608
615.432442,1000,175.233676
264.475212,598,178.373928
259.085233,591,179.937712
108.835948,341,180.716882
607.379169,1000,184.77053
130.822713,374,185.574751
229.942669,554,186.625552
619.345639,1000,190.281503
632.056925,1000,191.800194
628.616176,1000,195.505867
630.526812,1000,197.776225
627.520798,1000,202.169626
193.920999,507,202.720415
395.919727,783,203.590827
640.526397,1000,207.836732
623.823863,1000,209.773621
640.219408,1000,214.107325
631.407245,1000,216.052678
661.51872,1000,220.681885
459.385658,886,222.600071
643.080316,1000,227.141763
628.212015,1000,229.241988
623.275447,1000,231.401883
631.119541,1000,235.533494
188.400245,452,236.401541
638.492682,1000,240.332355
225.865501,456,241.734415
648.311347,1000,244.418641
640.032068,1000,249.132688
641.317894,1000,251.166072
744.673268,1000,255.135492
629.569459,1000,257.276878
953.404363,1000,261.962544
678.66704,737,263.568075
629.744004,1000,267.870949
620.061362,1000,270.255654
617.158471,1000,274.966429
849.139985,1000,277.416705
919.484002,998,282.239532
626.867074,1000,284.267612
624.455643,1000,289.036838
1249.493721,1000,291.898338
630.929704,1000,296.930933
1229.954384,1000,299.400074
621.90546,1000,304.109869
1694.139643,1000,305.792018
361.221819,340,306.351884
1266.003703,1000,311.008732
628.715979,1000,313.024749
623.781693,1000,317.119379
-1.123278,154,317.429021
1645.301449,1000,319.542046
627.643901,1000,323.871414
1819.55221,1000,325.839486
1762.966833,1000,330.464746
2046.252995,1000,332.75129
628.989056,1000,337.199699
632.613001,1000,338.849016
2090.611838,1000,343.04405
634.366114,1000,345.950633
2254.458945,1000,349.36914
2023.551296,1000,351.260231
2385.999156,1000,355.68987
2461.916307,1000,357.976745
630.370509,1000,362.198055
632.627542,1000,363.46707
632.674287,1000,367.258666
632.152003,1000,368.505171
