#{"t_start": 1786605230.8265216, "env_id": "None"}
r,l,t
-95.335041,59,7.192931
-113.587291,54,7.429039
-116.620668,48,7.673772
-116.020668,60,7.956587
-133.998075,31,8.162571
-121.241013,35,8.356646
-79.838154,74,8.790079
-124.345162,37,9.023531
-106.768943,37,9.271509
-137.93271,31,9.45576
-127.783501,31,9.64023
-127.112324,35,9.850984
-119.553613,31,10.023849
-125.279069,31,10.223764
-124.27616,36,10.440101
-123.127075,38,10.656953
-118.833557,36,10.873175
-121.823981,39,11.123614
-118.711592,58,11.473575
-124.980462,39,11.706603
-127.83133,36,11.920328
-115.627334,64,12.240518
-130.269842,31,12.358428
-113.603122,60,12.607149
-123.839049,31,12.724454
-115.516728,53,12.94965
-124.20241,31,13.074254
-123.367293,43,13.257208
-103.335732,66,13.671462
-118.869986,51,13.890318
-117.774367,49,14.166169
-115.604747,31,14.306856
-97.809772,45,14.498363
-123.504533,36,14.657705
-114.781434,57,14.900859
-75.133189,82,15.360588
-137.17922,31,15.57108
-128.64776,31,15.774827
-104.349891,70,16.276042
-127.875447,31,16.487636
-127.157576,44,16.760394
-128.043882,31,16.939892
-120.702344,42,17.139894
-127.927124,31,17.307352
-128.539366,31,17.445502
-124.943951,32,17.627534
-136.527654,31,17.796318
-110.89801,48,24.677965
-117.17418,42,24.836953
-132.028559,31,24.98564
-113.350902,42,25.175515
-115.134329,51,25.407057
-113.842737,53,25.706607
-116.227925,31,25.873289
-110.906274,54,26.190941
-122.374378,36,26.340309
-128.573107,31,26.473535
-121.995539,46,26.656612
-119.42626,31,26.789713
-125.988976,31,26.906702
-125.594494,33,27.039896
-116.499952,32,27.173372
-113.540233,57,27.424753
-130.509557,31,27.595326
-115.661578,53,27.856211
-128.924206,38,28.107742
-118.344974,34,28.273532
-105.337238,54,28.571709
-126.102945,36,28.789984
-120.739775,42,29.040655
-124.900801,31,29.206353
-111.693039,58,29.539529
-117.938168,35,29.756229
-90.217698,86,30.286546
-115.785451,52,30.606257
-71.102901,78,31.047895
-112.619099,68,31.448668
-95.189579,58,31.806935
-130.832962,31,31.996544
-81.274344,52,32.323923
-121.288898,31,32.473573
-129.719384,31,32.623248
-122.001482,31,32.823287
-124.957759,31,33.009421
-98.88349,67,33.307127
-70.163535,74,33.62782
-115.29687,32,33.774302
-131.679025,31,33.924821
-125.495153,41,34.227573
-100.888487,53,34.472859
-102.210853,47,34.722947
-116.206759,71,35.073436
-107.661012,95,42.111948
-122.383638,32,42.23973
-105.440995,56,42.556144
-78.304523,86,43.123157
-109.332161,48,43.439546
-81.443942,93,44.039864
-97.328806,81,44.539647
-96.202369,47,44.839535
-105.39525,91,45.489603
-122.214532,50,45.789301
-129.328514,33,46.006215
-99.701041,72,46.456836
-98.794178,57,46.789961
-112.813309,31,46.983761
-117.805677,63,47.407239
-109.742766,61,47.824258
-113.857641,31,48.124803
-97.721788,50,48.457619
-98.57639,54,48.855864
-95.752957,71,49.32243
-93.931092,57,49.674216
-101.251954,64,50.140968
-107.340124,44,50.424
-100.987026,60,50.840853
-82.281418,59,51.239152
-113.174428,48,51.523019
-93.039866,49,51.87292
-112.847524,52,52.22556
-88.291422,82,52.772855
-124.791708,31,52.924273
-47.93987,115,53.589578
-87.76194,60,53.955786
-115.059068,62,54.263217
-115.951353,49,54.472837
-110.304005,105,61.489314
-119.050532,34,61.630641
-128.666766,31,61.773099
-48.580936,137,62.4233
-120.182059,20,62.556849
49.54815,203,63.623608
-39.688924,108,64.322106
-85.393196,92,64.890687
-56.800341,93,65.523861
-106.612666,68,66.008132
-40.241648,143,66.986639
-97.381448,101,67.641641
-79.619635,92,68.17348
-110.707123,38,68.454786
-101.743286,51,68.878508
-104.300838,39,69.139315
-54.883597,152,70.22339
-65.222094,63,70.657006
-126.242084,34,70.905354
-100.529806,62,71.305449
15.456767,203,72.69013
-64.415567,137,73.605835
-91.233453,90,74.174375
13.206351,207,81.973042
40.537366,293,83.837692
-69.324702,62,84.224019
-30.345905,137,84.988464
-62.987999,81,85.540011
-48.031952,96,86.160068
-91.207001,84,86.570936
-101.670752,74,86.965428
-96.260979,74,87.472467
-31.144382,126,88.234444
-115.105116,59,88.505181
28.179152,336,90.609067
-74.50453,62,90.905035
-76.075256,148,91.621087
-106.195962,44,91.870812
71.60211,333,99.861374
110.446106,422,102.386507
-47.656458,160,103.37727
-96.808565,74,103.787895
-39.351758,165,104.77081
-8.964112,180,105.820904
-22.513696,188,106.937628
-85.377475,65,107.278409
-86.370906,74,107.688412
22.989509,245,108.805473
-106.147222,60,109.071555
176.183375,413,117.58769
21.857648,305,119.170477
11.980287,215,120.604942
134.430629,450,123.320933
43.881043,257,124.825401
-26.049196,150,125.728104
-46.332688,164,126.684875
254.194193,633,136.786367
658.756645,1000,142.786888
153.665358,442,145.058929
113.893361,355,153.438679
108.206875,296,154.536746
70.546558,312,155.603155
661.463672,1000,160.469896
151.327625,524,169.457133
309.667017,678,172.396641
573.998777,1000,174.438033
595.010689,1000,177.119333
766.043597,1000,179.719752
565.330395,1000,182.819379
579.529219,1000,184.102081
538.079982,1000,187.285689
842.059316,1000,188.685888
599.483089,908,191.768729
616.703052,1000,193.118786
658.480869,1000,196.237461
624.849761,1000,197.535796
707.299936,1000,200.951905
855.608794,1000,202.464763
860.675086,1000,205.769097
1296.995478,1000,207.085022
949.637778,1000,210.267984
789.403667,1000,211.554991
917.620204,1000,214.834713
976.723559,1000,216.118273
934.492137,1000,219.251322
1160.258016,1000,220.535028
1293.08893,1000,223.756044
1242.544194,1000,225.018748
1232.017343,1000,228.205548
1787.267655,1000,229.484243
1377.407322,1000,232.740666
1498.181335,1000,234.317664
1715.635348,1000,237.578185
1794.401223,1000,238.868848
1974.432179,1000,240.166609
1943.430355,1000,243.400954
1768.729272,1000,244.68408
2020.294218,1000,247.884104
2131.433307,1000,249.151153
2152.298103,1000,252.400379
2208.155648,1000,253.683531
2152.198936,1000,256.902062
2553.25327,1000,258.166998
2442.566008,1000,261.410101
2549.045724,1000,262.733854
2552.075221,1000,265.916689
2668.396113,1000,267.183343
2883.076545,1000,270.33263
2701.428449,1000,271.650186
2681.989901,1000,274.947463
2723.200583,1000,276.216368
2944.26267,1000,279.389385
2887.562041,1000,280.667129
3090.817614,1000,283.932923
3264.660587,1000,285.193508
3301.958201,1000,288.449436
3197.601307,1000,289.807753
3397.583602,1000,293.226686
3408.52669,1000,294.484171
3582.787061,1000,297.750679
3662.461371,1000,299.067687
3808.836104,1000,302.19935
3774.216111,1000,303.499086
4026.626247,1000,306.699067
3930.767837,1000,307.982656
4047.31534,1000,311.165587
4062.870402,1000,312.38309
4134.947227,1000,315.650139
4298.483761,1000,316.949775
4309.105373,1000,320.148559
4303.60623,1000,321.415139
4165.692749,1000,324.557849
4287.389379,1000,325.782261
4394.505768,1000,328.924429
4390.489817,1000,330.231953
4507.199763,1000,333.398201
4590.609817,1000,334.715828
4636.465683,1000,336.031543
4545.763752,1000,339.282051
4778.934647,1000,340.548377
4900.849945,1000,343.732307
4743.143788,1000,345.048321
4886.632849,1000,348.248024
4953.326473,1000,349.565633
4886.546513,1000,352.815136
4875.309831,1000,354.131178
4949.107292,1000,357.331107
4935.637408,1000,358.614629
4919.69855,1000,361.798011
5073.021279,1000,363.11427
4979.022407,1000,366.314681
5036.751502,1000,367.614477
5001.819763,1000,370.79741
5075.725212,1000,372.080579
5103.370267,1000,375.247994
5106.736965,1000,376.56495
5163.261036,1000,379.780526
5105.865931,1000,381.097347
5198.191555,1000,384.280945
5117.415773,1000,385.537844
5144.657612,1000,388.863999
5146.526185,1000,390.213578
5127.470045,1000,393.263182
5155.799591,1000,394.56399
