#{"t_start": 1785412680.9498632, "env_id": "None"}
r,l,t
-204.778733,133,1.69706
-295.314458,102,1.746961
-472.751033,103,1.794046
-215.535956,93,1.837984
-131.451829,43,1.857601
-533.252617,56,1.884263
-414.338476,103,1.932317
-546.81159,54,1.956638
-531.616039,65,1.988113
-545.734771,69,2.021447
-525.79333,66,2.05425
-437.681651,39,2.073154
-584.118938,120,2.129561
-156.277306,159,2.200726
-279.037815,29,2.212956
-521.790779,50,2.235731
-550.17595,56,2.264537
-263.920867,46,2.286058
-538.862735,100,2.333402
-510.2121,60,2.360677
-564.585829,85,2.397842
-512.029783,72,2.431117
-340.99467,53,2.45562
-195.141366,44,2.474102
-119.739149,31,2.488999
-278.645085,17,2.498006
-503.605018,93,2.540922
-526.866209,108,2.858399
-111.41685,64,2.89196
-246.852079,78,2.931377
-541.993929,83,2.970395
-526.375006,59,3.009218
-345.594294,33,3.029416
-329.443651,138,3.103138
-475.866569,105,3.150655
-563.62284,75,3.184718
-326.55848,20,3.193973
-606.435797,125,3.254494
-503.286231,43,3.274999
-140.363176,66,3.304362
-174.551734,73,3.337967
-172.811306,82,3.37428
-113.615082,145,3.444014
-541.097429,107,3.490875
-188.793024,186,3.595931
-310.183297,114,3.661371
-162.276562,153,3.746718
-227.230466,133,3.821395
-317.940415,70,3.859954
-414.89192,59,3.895952
-119.120258,78,4.238799
-516.444936,236,4.393424
-359.230796,73,4.438693
-129.071585,376,4.66182
-120.097189,77,4.711913
-558.817865,66,4.762114
1.248253,183,4.902447
-447.393735,49,4.929317
-491.383253,110,4.999422
-557.687677,76,5.041943
-515.750542,53,5.075343
-320.123571,108,5.137583
-150.453963,70,5.180223
-314.093892,84,5.23201
-172.212061,99,5.291176
-436.601107,195,5.417974
-515.260843,135,5.501331
-371.535544,60,5.792031
-435.116866,77,5.842653
-51.430283,86,5.897095
-410.493086,51,5.930349
-350.350003,186,6.041163
-536.453093,72,6.085196
-414.325762,588,6.429446
-380.076512,74,6.470653
-199.187846,61,6.510277
-48.837004,126,6.587873
-496.394712,255,6.734488
-194.848055,48,6.763485
-175.092157,25,6.780348
-331.226982,126,6.856446
-198.696696,101,6.918127
-140.813856,101,6.992093
-136.487377,64,7.376229
-154.907485,135,7.46103
-53.547507,73,7.50747
138.266464,1000,8.146528
-122.73284,29,8.170708
-160.501752,71,8.218941
-328.078463,119,8.288648
-247.992264,75,8.339041
-364.741689,410,8.570867
-269.214812,59,8.610877
383.28336,1000,9.504031
-169.527198,116,9.56739
-543.874668,235,9.70458
-291.152103,93,9.762753
-205.123667,100,9.824293
-167.214335,54,9.859909
-254.149617,82,9.90639
-462.718318,97,9.959849
-480.832463,320,10.379085
-437.024694,25,10.395056
-222.677075,42,10.421217
-222.947554,346,10.634736
-55.615858,102,10.69446
-607.92391,339,10.908043
-119.414379,974,11.420408
-350.187137,21,11.430401
-331.532283,114,11.487441
-302.041887,162,11.857478
-68.468759,393,12.087347
-334.562958,107,12.149764
-521.102638,131,12.221817
-46.521098,463,12.47357
-282.105159,164,12.563416
-42.832985,144,12.690207
-208.390083,153,12.839404
-348.605263,51,12.870739
-228.118952,743,13.72827
-233.328461,262,13.898118
-127.069151,196,14.007612
-185.645716,28,14.025963
-119.836866,60,14.087602
-91.407777,207,14.239256
-11.465752,209,14.368182
-118.856061,180,14.47983
-114.81598,292,14.806177
444.666505,1000,16.246236
301.983429,1000,17.101052
629.189858,1000,18.153901
-109.45913,272,18.440336
-185.399614,55,18.476398
-296.952746,70,18.520589
382.550016,1000,20.057478
-203.236085,350,20.316055
-65.263459,557,20.765472
22.557878,581,21.501159
473.484589,1000,22.755863
142.633804,631,23.246243
296.041361,1000,24.21735
467.735474,1000,24.913156
-183.023316,36,24.935621
-163.899915,38,24.95714
-403.401667,27,24.972898
308.122424,1000,25.913478
629.914552,1000,26.545018
279.658867,1000,27.597156
9.614015,1000,28.246353
52.271016,641,28.645256
190.056953,1000,29.731417
-225.115209,24,29.746662
584.459137,1000,30.599441
602.944484,1000,31.57185
691.082501,1000,32.092782
718.028375,1000,32.85599
-243.144498,35,32.87299
77.829753,863,33.303802
731.857905,1000,34.48429
-164.659728,32,34.538377
759.594062,1000,35.350554
653.225435,1000,36.364588
297.623044,1000,37.024415
437.656215,1000,38.071095
-1.19617,667,38.509819
583.347529,1000,39.560391
208.877783,1000,40.484371
442.221306,1000,41.341539
645.790531,1000,42.620613
667.22123,1000,43.485046
558.347642,1000,44.561105
-279.219763,21,44.573347
635.605832,1000,45.214474
684.647846,1000,46.413754
289.267268,1000,47.168372
550.719982,1000,48.063621
669.015095,1000,48.813539
873.476496,1000,49.887228
724.336296,1000,50.660408
805.316723,1000,51.752089
798.246997,1000,52.402611
10.690382,304,52.961216
899.131209,1000,53.73785
784.837541,1000,54.735109
929.870895,1000,55.77941
353.027435,969,56.573525
862.076,1000,57.711411
846.072315,1000,58.683953
597.675829,1000,60.005426
960.732843,1000,60.67526
1026.384482,1000,61.829164
487.70728,1000,62.326755
879.534523,1000,63.325786
-249.905422,21,63.336356
-289.125145,17,63.344361
929.827822,1000,63.886974
984.813055,1000,64.64383
894.518755,1000,65.251077
942.614119,1000,66.875035
944.539913,1000,67.717747
1030.738503,1000,68.438328
-257.546392,25,68.450242
-173.550632,20,68.460519
1054.29001,1000,68.972938
984.843373,1000,69.983038
996.289515,1000,70.478915
1099.446527,1000,71.412271
-218.101534,23,71.424702
1018.031588,1000,71.914876
-228.405653,17,71.92353
1031.28968,1000,72.720573
1011.928677,1000,73.213858
-224.089758,23,73.22422
1111.048566,1000,74.107213
-279.703089,17,74.123111
996.711199,1000,74.839996
1035.067409,1000,76.032845
-303.147945,16,76.033942
901.088205,1000,76.557221
881.641151,1000,77.272449
1045.967599,1000,77.793959
1053.831677,1000,78.503557
1000.615401,1000,78.98796
1035.052275,1000,79.670471
1092.380804,1000,80.181925
1045.163837,1000,81.009244
1077.410696,1000,81.620519
1026.174725,1000,82.584717
1094.226993,1000,83.078497
-257.647805,16,83.090975
-199.975204,23,83.110608
-288.803831,14,83.129982
1055.593506,1000,84.019062
1099.316245,1000,85.069698
1110.161183,1000,86.758077
616.335812,1000,87.506214
1087.199573,1000,88.640035
-247.636465,17,88.648822
1180.439571,1000,89.158354
1022.868841,1000,89.874032
-180.658772,18,89.88274
1189.359741,1000,90.358469
1099.707618,1000,91.044478
1109.22828,1000,91.54806
1085.906246,1000,92.301457
1073.813356,1000,92.788069
1115.355168,1000,93.487769
500.940075,1000,94.054358
1191.959569,1000,94.815489
1116.011452,1000,95.309762
1155.050935,1000,95.791089
-195.513161,16,95.799117
-243.959614,13,95.80459
1219.225306,1000,96.509701
1216.886808,1000,96.988895
-299.38999,16,96.995981
1215.265682,1000,97.694864
1235.79426,1000,98.184769
-260.318561,16,98.191769
534.438494,1000,98.900394
1192.85406,1000,99.372748
597.369457,1000,100.051025
513.335177,1000,100.535832
-313.903811,16,100.543239
1169.36328,1000,101.244601
1150.64148,1000,101.745066
1182.680248,1000,102.433759
-322.417344,17,102.441466
-179.466334,18,102.450217
1224.79592,1000,102.932195
637.890447,1000,103.622181
-304.13038,16,103.630188
628.799351,1000,104.207469
1259.462771,1000,105.179456
-302.227024,14,105.190526
1250.829821,1000,105.801159
1246.911015,1000,106.678537
