#{"t_start": 1785434678.4589078, "env_id": "None"}
r,l,t
-521.700975,60,1.668603
-359.09041,44,1.711369
-590.670686,104,1.824631
-573.256257,84,1.941257
-334.337113,113,2.241102
-377.846341,168,2.57913
-537.373939,71,2.702771
-252.995855,76,2.822721
-194.203455,36,2.873459
-610.388535,126,3.050279
-139.258475,76,3.167021
-101.443732,44,3.228445
-538.16335,45,3.290893
-522.572056,92,3.415122
-538.704978,59,3.492635
-292.509151,55,3.572131
-145.685045,123,3.732608
-536.613336,92,3.844487
-556.176811,135,4.008488
-537.5568,52,4.075263
-569.78618,80,4.175514
-384.265115,46,4.23221
-190.207675,124,4.386274
-338.839331,81,4.488372
-61.65641,187,6.908506
-376.890128,55,6.978467
-551.418255,87,7.09265
-277.351701,125,7.245207
-496.349186,111,7.374548
-152.076408,98,7.485281
-217.416302,147,7.663193
-152.030742,99,7.781731
-471.046708,92,7.892271
-343.450458,41,7.949997
-472.278902,78,8.124531
-588.062677,100,8.248745
-239.571079,58,8.317626
-585.642919,105,8.444779
-116.930114,62,8.525167
-289.780785,88,8.63226
-333.822151,137,8.79649
-489.846775,77,8.888057
-181.713682,53,8.950296
-236.232584,87,9.057373
-303.002319,65,9.139472
-138.2268,162,11.422577
-491.302038,79,11.549195
-556.505739,181,11.839728
-184.863885,83,11.954865
-379.605396,124,12.118764
-177.28447,52,12.192247
-504.180426,156,12.471465
-352.17794,123,12.626141
-595.240843,151,12.794562
-95.130995,99,12.90927
-679.704959,229,13.179697
-97.198958,124,13.320714
-399.881753,154,13.501144
-377.457134,166,13.704708
-100.954589,48,13.765058
-524.351141,103,13.889097
-209.672383,51,13.949651
-229.332496,57,14.018862
-299.892032,58,14.090367
-544.001689,197,16.440953
-423.905681,163,16.686958
-153.624967,159,16.919858
-529.516791,125,17.090067
-409.960367,113,17.239072
-139.507564,77,17.340913
-191.852424,231,17.711011
-96.477257,155,18.067859
-276.125851,46,18.139858
-71.236134,130,18.313569
-363.804998,202,18.535523
-85.942704,267,18.9759
-465.637337,109,19.167405
-168.560263,42,19.240532
-117.855179,160,21.4671
-129.328841,187,21.691076
-226.839951,130,21.825991
-138.879269,154,22.070658
-175.566724,175,22.680719
-481.139457,140,23.203861
-329.633468,219,23.637213
-333.713216,146,23.995368
-478.895563,120,24.172913
-241.080928,125,24.34579
-368.782761,225,24.75413
-201.946165,67,24.970935
-41.359337,163,25.335193
-384.968211,139,28.199842
-232.83762,92,28.369609
-268.589774,21,28.408074
-38.08954,138,28.619669
-349.892964,324,29.377192
-253.197955,160,29.594631
-65.746657,207,29.885348
-7.027512,146,30.082098
-365.681674,158,30.367987
-369.526994,121,30.670644
-142.708614,144,30.933462
-263.587217,208,31.296357
-378.870639,140,31.581692
-214.333133,93,31.752076
-133.235519,48,34.114872
-57.691696,172,34.452538
-112.153508,139,34.642076
-66.160856,175,34.881752
-251.656397,164,35.110905
-64.018387,167,35.344766
-245.482026,223,35.681632
-510.6736,157,35.912944
-252.322541,26,35.984096
29.141863,189,36.404135
-250.544989,160,36.758887
-108.383377,181,37.354383
-348.609415,192,37.874345
-47.437286,227,41.12879
-327.031088,184,41.411129
-255.601799,149,41.621482
-34.433065,226,42.124431
-270.815921,167,42.416902
-229.555543,260,42.853082
-206.117234,156,43.145891
-296.987875,175,43.446955
-188.478426,150,43.751703
-20.500327,155,44.083691
-20.096399,161,44.454163
18.144966,208,47.588577
-19.935331,146,47.878201
-49.288201,252,48.330793
-22.50841,183,48.820577
-81.980983,195,49.15038
-8.029147,155,49.38624
-154.516713,218,49.781111
-124.004317,200,50.185206
-110.663328,120,50.57511
1.225678,284,51.530399
-177.910747,184,51.863017
-60.678992,161,54.779587
-6.072455,177,55.160938
29.28943,211,55.576421
200.079955,407,56.095835
112.449329,287,56.459007
-209.049873,32,56.498513
-43.097693,181,56.728957
20.592946,239,57.15762
-80.0964,133,57.490934
-174.722442,35,57.5626
73.064372,277,60.416425
17.06999,210,60.713386
113.154988,316,61.110542
-55.173368,177,61.382007
60.384249,183,61.63091
-29.19085,212,61.892989
91.951415,264,62.268072
-2.361744,166,62.570133
114.809763,273,63.089103
59.559651,187,65.801696
59.311042,259,66.219853
88.323744,316,66.668009
135.469459,370,67.134886
12.220585,247,67.443273
57.397664,269,67.876012
33.320752,176,68.238238
266.153052,396,69.25267
126.665046,314,72.201519
205.9237,411,73.106256
165.365774,280,73.462893
507.52449,685,75.019828
210.050171,471,78.722033
412.377688,767,80.298141
881.40917,1000,82.505565
903.959437,1000,86.128062
982.573239,1000,87.831621
1064.157611,1000,91.285321
1029.471517,1000,92.563183
1087.703895,1000,96.299785
1106.284155,1000,97.320643
1110.385568,1000,100.839551
1141.728609,1000,101.806515
1138.095288,1000,104.81762
1167.580364,1000,105.954563
1157.382991,1000,109.220865
1227.583211,1000,110.525511
1147.776736,1000,113.741911
1210.847995,1000,114.966891
1261.084401,1000,118.650894
1277.170965,1000,120.021364
1230.402662,1000,123.917379
1300.176819,1000,125.854904
1277.979921,1000,129.778259
1301.994341,1000,131.229652
1314.575226,1000,134.929745
1322.458397,1000,136.24974
1389.93747,1000,139.688239
1361.72885,1000,140.986287
1383.741217,1000,144.981816
1386.954358,1000,146.401815
1420.210516,1000,150.212861
1430.994409,1000,151.646024
1374.725079,1000,155.394832
1366.446879,1000,156.934782
1422.411578,1000,160.79657
1419.559327,1000,162.342227
1460.195556,1000,166.056189
1440.52321,1000,168.216762
1445.900817,1000,172.871821
1481.022848,1000,174.720372
1435.551018,1000,176.387351
1468.180698,1000,180.948339
-325.667299,14,180.966686
1557.992565,1000,182.374378
1500.729021,1000,186.47502
1510.658251,1000,187.745981
1519.287596,1000,191.612632
1530.495955,1000,193.196889
1543.744802,1000,197.230455
1576.884994,1000,198.620783
1602.874616,1000,203.423841
1578.164428,1000,205.221241
1531.501553,1000,209.123989
-298.160384,15,209.144032
1547.850211,1000,211.145469
1602.720703,1000,215.916486
1629.964196,1000,217.489806
1636.705221,1000,221.296113
1555.967693,1000,222.649795
1624.448506,1000,226.558494
1611.196742,1000,227.974549
1593.951303,1000,231.906627
1601.963264,1000,233.239648
1666.387968,1000,237.743644
1637.127356,1000,239.516923
1714.374295,1000,243.335862
1685.993076,1000,245.172806
1722.901975,1000,249.642536
1714.688166,1000,250.998905
1645.137852,1000,257.38961
1745.005961,1000,258.728873
1693.33209,1000,262.803174
1671.61725,1000,264.20372
1712.162843,1000,268.221181
1715.364938,1000,270.370084
1681.37397,1000,275.033962
1772.418811,1000,276.472034
1739.829003,1000,280.752543
1713.232041,1000,282.418832
1767.884784,1000,286.659498
1750.212342,1000,288.502141
1795.068282,1000,294.129625
1764.150525,1000,295.465536
1790.210887,1000,300.187927
1837.542695,1000,302.019655
1769.081197,1000,304.332858
1806.056997,1000,308.098058
1771.310271,1000,310.284892
1824.392786,1000,313.734823
1846.923803,1000,315.987616
1894.462408,1000,320.618672
1830.140307,1000,322.703346
1907.947103,1000,327.550907
1809.389864,1000,329.034897
1879.024991,1000,333.071914
1893.419444,1000,336.364371
1861.53266,1000,341.810288
1867.213442,1000,343.978063
1876.166999,1000,350.060467
1843.474397,1000,352.017956
1895.359789,1000,356.603033
1899.059505,1000,357.841048
1845.664323,1000,361.401388
1868.933634,1000,362.717351
