#{"t_start": 1785490504.967729, "env_id": "None"}
r,l,t
-172.599184,84,3.64353
-120.507313,41,3.691528
-344.953933,68,3.824384
-479.804116,86,3.935282
-269.794841,42,3.991618
-307.21105,17,4.011312
-513.350944,95,4.171065
-64.249502,99,4.297275
-370.546665,47,4.366192
-250.202584,64,4.46974
-314.901459,59,4.564064
-323.509706,108,4.701229
-387.299308,25,4.753326
-233.53253,95,4.873342
-515.126064,134,5.041787
-173.717244,51,5.126453
-506.715129,65,5.211527
-522.804277,28,5.24678
-342.416374,169,5.463864
-564.989063,88,5.574078
-215.421919,133,5.744799
-242.181185,109,5.875682
-226.377456,63,5.953821
-296.444521,98,6.110401
-593.202974,107,6.241156
-214.913375,37,6.286003
-547.520503,74,8.399647
-249.145822,38,8.456295
-106.916583,90,8.582588
-110.784283,104,8.725321
-216.363044,166,8.939166
-225.136926,99,9.070754
-432.235796,94,9.183437
-154.156526,104,9.301089
-438.532203,169,9.493414
-124.383539,81,9.585332
-142.606743,78,9.674736
-647.401051,171,9.867697
-241.386686,121,10.002086
-235.818777,123,10.138543
-175.084689,120,10.27672
-308.561368,130,10.444481
-277.873764,38,10.492694
-500.717251,130,10.655947
-481.78361,69,10.743767
-223.972229,119,12.885864
-125.695995,72,13.004663
-450.781187,131,13.166603
-341.66951,177,13.381209
-527.493072,72,13.471265
-223.334253,138,13.701623
-502.115451,172,13.961779
-261.25939,147,14.144367
-344.748587,92,14.261033
-390.226465,89,14.373446
-100.186186,60,14.442243
-341.538679,137,14.600203
-419.968289,175,14.803919
-318.837047,208,15.051884
-391.695103,76,15.141568
-123.576637,74,15.229844
-101.424486,193,15.460227
-463.69955,174,17.633546
-231.052606,296,18.091887
-314.466112,172,18.305986
-117.943987,80,18.39794
-418.991074,150,18.583388
-409.810364,214,18.907638
-245.71109,185,19.133282
-103.580917,110,19.258755
-248.271775,131,19.403864
-118.646638,45,19.455777
-224.222329,69,19.532146
-582.086868,161,19.716576
-534.104665,202,19.955682
-411.490122,153,22.180716
-184.363085,231,22.508568
-123.906001,83,22.630384
-334.508202,160,22.84127
-87.714901,195,23.110247
-51.618996,191,23.362649
-401.972881,152,23.569849
-188.160102,48,23.632496
-401.110734,236,23.974752
-136.359047,175,24.232194
-148.997067,156,24.448869
-141.807304,163,24.656934
26.671835,272,27.133044
-99.997596,200,27.417429
-467.488963,146,27.630069
