#{"t_start": 1785441372.0438662, "env_id": "None"}
r,l,t
-562.654448,79,2.232507
-536.640073,42,2.282925
-593.204037,105,2.452663
-536.515113,55,2.531414
-538.0759,68,2.612593
-580.291473,90,2.740148
-539.249846,45,2.799527
-530.192587,114,2.945071
-619.296865,133,3.112657
-544.697894,65,3.199771
-567.086141,75,3.291644
-545.366834,51,3.353453
-581.715944,98,3.462438
-525.092699,29,3.507702
-530.391398,60,3.580852
-531.505833,45,3.63261
-573.444782,84,3.734555
-522.451363,26,3.762577
-573.790853,83,3.862753
-595.063053,106,3.993597
-544.590818,73,4.088286
-531.083296,46,4.14604
-222.384025,76,4.239007
-441.112443,56,4.30873
-547.816906,54,4.378967
-540.025326,46,4.435589
-515.158762,87,4.543368
-574.501904,100,4.662717
-601.633595,133,6.857756
-526.641794,146,7.052665
-565.910363,74,7.145142
-575.110147,99,7.262662
-673.365188,192,7.505903
-570.41225,79,7.601014
-566.797425,87,7.703886
-550.426742,76,7.796523
-588.276042,99,7.91271
-494.639274,27,7.949336
-575.363751,92,8.067719
-552.554811,105,8.203547
-572.551152,142,8.383929
-585.070616,96,8.507854
-530.218647,76,8.610998
-567.288011,76,8.711309
-517.812839,87,8.836582
-595.845196,107,8.985068
-238.359331,145,9.199365
-679.455034,200,11.710309
-679.260269,275,12.084721
-678.02603,200,12.344221
-559.010505,66,12.426648
-623.700666,137,12.602312
-631.408477,147,12.786336
-599.467631,134,12.951239
-650.437176,174,13.157407
-599.686212,121,13.336484
-595.203408,144,13.49653
-586.633631,105,13.612649
-577.517013,87,13.717411
-540.248785,58,13.790655
-554.42609,79,13.88959
-544.093634,61,13.962346
-561.734532,121,14.107487
-634.540882,218,16.340465
-570.617498,165,16.550407
-684.646701,205,16.807486
-523.001136,68,16.892888
-666.248117,185,17.122757
-591.91664,103,17.248027
-673.304649,193,17.476938
-687.22592,208,17.717747
-563.937027,72,17.79874
-564.811291,90,17.901543
-662.509594,179,18.112352
-562.749697,70,18.199911
-621.516498,136,18.367419
-606.666208,127,18.527043
-545.71473,146,20.747487
-652.691888,168,20.981142
-669.919943,188,21.21754
-353.047218,130,21.383487
-590.908595,121,21.662306
-617.943484,131,21.917835
-585.550441,175,22.152764
-658.341378,184,22.417456
-560.686152,162,22.633675
-591.174898,115,22.779983
-837.710783,374,23.357334
-642.882345,159,23.553881
-599.035933,118,23.695645
-671.103781,190,25.962688
-579.755562,122,26.117705
-164.851786,178,26.340807
-634.719495,150,26.532506
-594.521629,105,26.689772
-654.552134,172,26.912602
-624.690315,139,27.087313
-721.555968,247,27.390533
-579.343107,153,27.58022
-575.492737,84,27.682388
-746.782071,275,28.012765
-643.457439,158,28.231224
-600.331948,162,30.475522
-316.612993,201,30.743298
-628.685953,143,30.922568
-624.994136,138,31.097475
-643.124069,159,31.300106
-700.150542,266,31.642494
-615.83177,129,31.79832
-683.26866,242,32.273607
-281.409028,150,32.462474
-636.890703,162,32.662759
-156.547793,150,32.85016
-633.916667,173,33.068471
-578.259666,155,35.277584
-661.955263,206,35.551169
-582.345159,204,35.812598
-591.329241,240,36.112531
-649.163398,205,36.35703
-595.340209,146,36.525731
-724.439701,250,36.803476
-381.48447,165,36.995103
-770.591837,326,37.373961
-668.256135,201,37.616975
-314.221567,160,39.799735
-600.605347,198,40.052317
-671.606797,190,40.286448
-652.699167,180,40.506856
-684.210024,204,40.762584
-202.272735,147,40.944955
-670.746322,190,41.177904
-710.281059,234,41.456973
-535.455717,160,41.662528
-165.215411,195,41.906671
-623.580272,176,42.130254
-662.154703,181,44.443156
-625.320443,168,44.646912
-569.613464,146,44.832899
-593.902,208,45.094365
-689.598405,210,45.357139
-632.409774,146,45.542807
-652.923431,170,45.756555
-661.484983,210,46.012552
-641.851218,190,46.256927
-644.164189,160,46.456873
-616.21486,189,46.694184
-692.074062,212,48.957207
-260.316507,125,49.117351
-706.542815,229,49.406905
-670.522215,209,49.674867
-641.873685,158,49.879545
-564.245816,181,50.112612
-294.987072,136,50.290595
-600.837794,163,50.498463
-446.400435,306,50.882895
-345.820095,161,51.085851
-473.803565,165,51.298007
-267.189084,155,53.553763
-171.594759,185,53.791633
-721.099159,244,54.082285
-580.361099,194,54.317751
-606.850499,119,54.462606
-230.200256,203,54.700477
-653.67648,170,54.891594
-559.831963,204,55.117779
-723.462394,308,55.474505
-117.397074,231,55.751436
-662.862976,181,57.931047
-214.15867,250,58.253515
-640.971396,156,58.450196
-740.398653,264,58.778173
-171.54803,218,59.046936
-277.216869,220,59.312352
-308.301531,212,59.58345
-680.725104,284,59.944806
-496.191113,229,60.223859
-571.211743,198,62.368341
-226.692416,242,62.68354
-738.435011,322,63.167535
-576.436905,336,63.581195
-471.285527,413,64.082677
-741.219152,266,64.403894
-264.007333,234,64.683611
-722.722855,246,66.966823
-817.278174,351,67.429944
-817.652765,458,68.006361
-728.971772,252,68.299188
-690.253796,270,68.631535
-691.892203,322,69.03492
-955.222076,502,71.895336
-972.529425,523,73.016212
-221.18209,408,73.95225
-501.722159,350,74.468342
-401.002714,441,75.110513
-1038.608037,619,78.851545
-504.738909,1000,81.526418
-820.700434,1000,85.999596
-905.675774,1000,87.905522
-491.186785,1000,92.69639
-489.629901,814,94.15391
