#{"t_start": 1785491152.7925098, "env_id": "None"}
r,l,t
-480.917056,73,1.977238
-450.19072,79,2.066397
-343.274419,153,2.244755
-144.769909,31,2.283244
-250.84329,52,2.338914
-157.983092,49,2.392862
-526.625293,42,2.424926
-124.677969,34,2.47456
-541.776494,56,2.536644
-255.065956,46,2.586047
-173.852993,44,2.631469
-474.828947,40,2.670715
-557.027241,68,2.741418
-504.062603,71,2.822127
-489.808628,53,2.873746
-343.954477,44,2.934477
-297.583672,83,3.022746
-222.324092,63,3.085694
-382.37573,120,3.264361
-418.718373,39,3.310139
-480.765236,71,3.401402
-248.642404,30,3.436686
-564.447884,74,3.529858
-293.691413,28,3.573238
-310.240848,44,3.646127
-287.057571,149,3.849025
-546.247591,55,3.910267
-547.197056,93,4.038014
-532.6621,101,4.180928
-495.946744,45,4.224711
-290.881755,99,4.329727
-326.159811,179,6.578843
-560.205833,68,6.67512
-321.276583,60,6.791675
-478.323577,62,6.954456
-546.483923,59,7.148992
-503.214213,39,7.316368
-134.038336,115,7.604688
-652.993528,205,8.140916
-148.454503,70,8.347018
-310.871887,22,8.414049
-181.934035,83,8.596144
-489.954605,75,8.763479
-168.065452,111,8.984811
-169.560851,87,9.161449
-120.675253,51,9.255312
-278.096053,49,9.336551
-538.539738,47,9.549836
-612.045093,136,9.846179
-367.835665,62,9.931874
-177.604614,100,10.104022
-541.420288,182,10.422627
-274.906997,50,10.509943
-485.430979,46,10.581836
-72.296361,146,13.014741
-438.103305,191,13.324373
-156.724218,92,13.427271
-254.776758,145,13.586447
-110.679889,165,13.776488
-68.212103,134,13.941005
-411.529567,127,14.105642
-442.573943,91,14.235557
-238.794694,178,14.537613
-306.278447,135,14.706742
-160.160315,56,14.795043
-192.217629,122,14.956311
-484.855501,171,15.183575
-235.5912,63,15.266265
-213.840055,171,15.480615
-311.432255,51,15.549083
-186.265109,182,18.10929
-485.431325,267,18.483269
-539.68555,267,18.802979
-446.74682,137,18.962043
-433.931668,161,19.229408
-185.604782,148,19.399737
-179.841605,156,19.577938
-157.583657,81,19.674239
-196.37611,243,19.975358
-387.184682,159,20.250306
-114.372508,196,20.550945
-14.042181,158,20.7816
-242.367024,193,23.391977
-404.375384,138,23.592896
-172.570054,353,24.302745
-200.455116,125,24.564833
-56.191996,130,24.85942
-114.751948,81,24.977071
-188.613705,145,25.20538
-209.069363,138,25.401569
-164.550907,137,25.592618
-166.491331,215,25.884178
-377.458579,137,26.109057
-379.645119,129,26.308421
-283.012854,179,29.279569
-8.753283,203,29.749169
-124.081723,154,30.025254
-54.796315,157,30.424276
-237.72395,165,30.94475
-134.762022,170,31.613907
-195.040046,177,32.322832
-97.993568,231,32.757235
-322.886413,110,32.910952
-151.033739,114,33.036778
-298.385188,220,33.29408
-107.926887,146,33.46371
-115.981462,166,35.743406
-139.416767,186,36.046006
-192.064848,50,36.095535
-410.982601,216,36.313946
-167.981906,143,36.472535
161.156167,482,36.960023
-73.537522,171,37.123608
-148.876347,191,37.313079
-267.315293,187,37.526165
