#{"t_start": 1785441490.5709386, "env_id": "None"}
r,l,t
-517.841107,73,2.252804
-538.870311,44,2.351526
-479.920844,89,2.621818
-548.941405,64,2.786922
-543.861297,50,2.898862
-562.079292,97,3.07436
-585.371616,95,3.294624
-504.86874,36,3.349474
-611.864868,125,3.591431
-531.437527,44,3.675803
-482.124307,133,3.975167
-630.193723,145,4.221618
-464.288577,65,4.32012
-533.677556,57,4.392653
-640.235279,166,4.605194
-533.121935,61,4.67763
-568.828983,77,4.774956
-537.176046,55,4.844624
-532.473966,37,4.891318
-582.822361,93,5.012259
-521.729865,107,5.147879
-524.675222,76,5.243738
-558.787754,73,5.341667
-554.911969,62,5.432568
-536.29645,82,5.553757
-565.906288,74,7.643436
-557.588147,65,7.738903
-587.653788,98,7.868008
-99.133293,52,7.964073
-613.026991,148,8.188765
-567.071508,75,8.284009
-626.14754,140,8.462963
-613.204919,126,8.636557
-706.714125,230,8.987499
-516.147594,48,9.055168
-607.245158,119,9.231302
-615.284048,128,9.514063
-247.104635,111,9.70391
-555.179266,71,9.800423
-545.338552,51,9.864633
-552.952827,59,9.943494
-546.370237,52,10.040323
-562.420297,70,10.155899
-600.133384,155,10.410676
-591.195347,116,10.554501
-541.648252,123,12.842352
-500.708173,103,12.995367
-632.839623,148,13.248866
-654.245222,171,13.49446
-587.52757,98,13.617771
-576.818274,116,13.758543
-546.593916,81,13.860678
-441.916913,76,13.950362
-586.874315,97,14.06576
-619.925006,134,14.212231
-628.919506,144,14.386229
-641.299205,157,14.634232
-564.940047,73,14.72621
-521.24131,146,14.906305
-689.18384,211,15.159893
-650.11455,167,15.361022
-641.691688,157,17.472574
-616.061585,210,17.738309
-626.093863,140,17.917048
-288.668256,194,18.15382
-647.265235,163,18.34479
-623.801798,138,18.507901
-566.646004,93,18.623038
-643.736818,160,18.823395
-650.305452,167,19.038565
-528.026614,83,19.145662
-646.136813,161,19.351033
-667.29107,186,19.583583
-702.78437,225,19.850671
-654.98716,183,21.973313
-645.008469,161,22.164566
-607.354025,124,22.313431
-340.085706,158,22.496728
-330.319605,75,22.57787
-623.163403,137,22.74323
-586.923007,105,22.864947
-643.673,160,23.038885
-645.632687,176,23.244301
-647.738264,165,23.427905
-394.096505,190,23.627098
-613.492328,134,23.777199
-610.330558,128,23.934106
-627.706873,205,24.173384
-668.805511,200,26.505284
-606.591481,145,26.715534
-678.542546,282,27.143089
-559.968383,133,27.300978
-624.534892,139,27.481787
-666.031295,184,27.763086
-681.716341,202,28.022131
-508.546942,116,28.169396
-576.633874,98,28.294143
-633.409714,148,28.484973
-624.941425,139,28.678164
-691.150205,308,30.963991
-616.893898,163,31.176582
-652.39228,187,31.417022
-621.771821,284,31.818659
-656.365265,173,32.067917
-646.742692,163,32.258948
-622.362523,136,32.411161
-678.303463,198,32.630676
-647.215081,201,32.869319
-450.248133,242,33.216676
-684.298915,205,33.474247
-482.536342,141,35.60958
-709.847715,233,35.930643
-656.670062,186,36.153449
-628.761911,185,36.40397
-357.96819,283,36.816011
-635.325482,218,37.076863
-538.762501,230,37.494429
-638.031815,190,37.738982
-607.239541,164,37.96387
-623.313972,136,38.198935
-694.544108,379,40.870547
-632.827105,147,41.075544
-246.687193,152,41.305925
-729.438722,276,41.732757
-708.67493,243,42.035913
-663.575494,241,42.35259
-664.821377,183,42.603785
-61.118347,224,42.876928
-604.983999,141,43.054388
-643.481998,159,43.297715
-641.592779,191,45.708381
-645.484556,160,45.946218
-667.885957,187,46.263391
-652.810556,227,46.566246
-556.396746,164,46.769921
-688.043216,209,47.05216
-678.165813,197,47.301439
-341.105792,171,47.627126
-708.448989,247,47.983804
-633.646321,166,48.202885
-618.630204,210,50.584351
-518.393204,218,50.876389
-717.297009,242,51.184486
-796.617072,329,51.575117
-753.944651,309,51.986111
-665.648236,257,52.276808
-277.474489,172,52.476402
-577.526751,186,52.698914
-665.692568,184,52.924884
-486.853304,373,55.477181
-433.761808,33,55.526381
-833.081959,412,56.058957
-554.585729,182,56.276672
-23.351207,413,56.788601
-688.028488,284,57.18101
-678.703041,284,57.568635
-825.483854,358,60.100988
-499.154539,414,60.801148
-774.525253,304,61.215984
-150.05315,242,61.537123
-551.040064,463,62.178802
-636.664566,411,62.691129
-617.892067,546,65.464224
-725.745756,602,66.488683
-904.190542,1000,70.242052
-904.388048,1000,72.391239
-1243.70392,821,74.616294
-1046.556627,607,79.407767
147.256128,1000,81.643074
295.574827,1000,86.594137
-679.327287,1000,89.526051
380.666199,1000,94.040543
201.522992,1000,95.808629
504.515283,1000,99.654873
-640.52478,243,100.012545
454.011932,1000,101.851959
