#{"t_start": 1785446225.442856, "env_id": "None"}
r,l,t
-228.921175,57,1.87956
-372.726966,47,1.93279
-295.048106,49,1.987968
-592.229514,104,2.105767
-381.419477,112,2.228374
-156.42613,71,2.309432
-552.700392,64,2.386041
-479.141472,118,2.526345
-512.125034,106,2.65682
-227.954397,74,2.765229
-490.066775,31,2.804401
-327.904033,45,2.861199
-185.631811,63,2.954904
-266.084897,87,3.078053
-139.295023,68,3.165503
-609.693055,122,3.318799
-549.90165,69,3.42179
-238.474734,136,3.5926
-183.662558,52,3.657787
-226.381433,61,3.735979
-138.861375,63,3.815966
-174.204159,129,3.982805
-208.549033,116,4.129093
-129.711097,69,4.215075
-450.767944,161,6.490329
-557.365287,74,6.593913
-662.508057,195,6.828021
-264.004496,97,6.945071
-355.797978,88,7.053619
-71.865758,137,7.226306
-284.471279,38,7.274228
-508.725303,114,7.417647
-129.58316,104,7.539942
-528.512588,147,7.696818
-238.725324,119,7.822221
-528.552947,48,7.874066
-111.810206,78,7.956416
-350.656902,114,8.077728
-251.058206,77,8.160501
-160.200013,86,8.258485
-573.334029,84,8.354543
-562.730076,79,8.445908
-461.232987,74,8.532451
-556.299695,89,8.637541
-374.127144,62,8.710642
-230.493624,37,8.754454
-472.783994,87,10.843865
-512.792862,243,11.16373
-289.982769,155,11.351543
-227.860912,55,11.416554
-131.151592,132,11.574654
-359.171661,96,11.694131
-471.144938,174,11.905643
-533.908971,72,11.985751
-520.291936,228,12.240702
-589.344162,158,12.41725
-118.721639,113,12.541675
-530.633662,61,12.60945
-397.447348,127,12.762413
-135.173891,138,12.922068
-285.437301,155,13.104434
-441.514104,63,13.179053
-135.210883,212,15.243924
-208.377794,174,15.454578
-500.643535,93,15.567863
-381.97896,167,15.765454
-208.151727,143,15.934687
-42.885755,120,16.063676
-402.188607,143,16.213232
-428.237735,119,16.341632
-450.488547,118,16.474866
-152.43796,139,16.633477
-302.933458,124,16.772827
-124.950712,81,16.865201
-188.992529,280,17.18736
-256.405025,121,17.329862
-78.247179,106,19.276016
-79.8253,150,19.478042
-72.027209,151,19.656587
-306.173308,196,19.888261
-156.342045,167,20.086837
-220.290239,141,20.259291
60.124992,233,20.5227
-254.558708,186,20.734426
-48.367684,156,20.957321
-82.677581,134,21.111157
-48.920921,370,21.545774
-60.098781,163,23.640594
-153.151069,222,23.924889
-195.971984,128,24.082803
-287.014927,172,24.295512
-186.594545,187,24.528815
-127.504375,195,24.751147
37.490687,244,25.012213
-423.981514,162,25.188057
-6.513463,168,25.365681
-494.736856,217,25.604409
-125.891022,184,25.833932
-88.10965,181,27.905873
-140.261208,167,28.12184
52.106292,197,28.373011
-266.327009,213,28.639361
-0.389526,205,28.878554
-289.929678,196,29.097331
-95.787522,147,29.262933
-144.597565,143,29.412798
-279.32318,193,29.616886
-67.859234,157,29.785267
-149.382011,290,30.122796
-86.419948,265,32.454066
-104.159145,119,32.594682
-121.56081,161,32.782911
-48.225153,159,32.972458
193.621291,395,33.436298
57.565013,199,33.652727
-39.640266,189,33.859762
-151.60419,160,34.034999
0.310817,226,34.283226
0.720233,234,34.564097
-153.952736,168,36.705957
-15.880544,179,36.916955
43.524916,228,37.188675
-151.528733,40,37.236141
62.482492,167,37.432181
-144.8318,169,37.62885
-5.785042,160,37.795383
-32.157977,210,38.020358
-104.552465,53,38.07628
-129.322595,175,38.265586
9.084943,140,38.420157
116.437513,273,38.735341
-79.544091,236,40.851597
5.734999,209,41.106671
49.253277,188,41.372592
51.10259,255,41.738195
104.844217,271,42.059299
308.93082,543,42.704745
-46.400427,213,42.956707
44.551585,247,43.252953
205.918158,391,45.583343
47.214019,250,45.880141
57.431875,209,46.128047
163.220452,340,46.521102
150.720679,356,46.900402
87.899301,319,47.27516
419.775148,556,49.770099
804.291161,986,50.898581
281.566591,468,51.421173
298.65834,459,53.827976
997.236715,1000,55.003281
1027.407457,1000,58.06533
1001.935,1000,59.289388
993.887016,1000,62.37081
1055.358432,1000,63.552223
1082.416223,1000,66.732836
40.249834,174,66.947969
1089.516384,1000,68.103032
1101.425219,1000,71.222575
1118.8436,1000,72.442812
1154.719508,1000,75.568389
1119.470402,1000,76.751885
1202.975521,1000,79.80811
1189.088986,1000,80.968321
1109.43555,1000,84.006485
1138.092661,1000,85.217117
1200.255477,1000,88.291743
1187.877448,1000,89.50429
1250.117491,1000,90.603416
1245.596267,1000,93.74276
1288.865467,1000,94.878272
1244.105699,1000,98.516547
1272.178305,1000,99.910266
1247.898349,1000,103.023931
1276.937527,1000,104.257133
1326.133471,1000,107.319986
1196.001794,1000,108.364028
1358.761197,1000,111.404516
1343.096829,1000,112.512581
1371.803691,1000,115.608138
1284.882875,1000,116.67931
1353.351295,1000,119.770433
1406.863926,1000,120.933996
1341.289119,1000,124.189907
1407.865643,1000,125.365047
1367.456303,1000,128.428334
1367.152796,1000,129.510299
1394.784731,1000,132.542742
1390.281393,1000,133.726005
1360.948076,1000,136.964865
1414.95586,1000,138.046598
1421.307488,1000,141.193707
1393.586238,1000,142.312873
1443.016717,1000,145.48377
1508.937591,1000,146.684353
1486.199199,1000,149.860185
1478.179074,1000,150.960836
1440.456124,1000,154.068348
1538.10228,1000,155.344671
1492.868527,1000,158.519676
1530.268803,1000,159.665541
1578.094262,1000,162.689763
