#{"t_start": 1785762303.5232437, "env_id": "None"}
r,l,t
-503.130803,90,2.115704
-310.87646,72,2.217263
-491.284404,91,2.352806
-370.405013,77,2.456385
-493.386046,95,2.615462
-361.564623,82,2.762739
-484.138696,74,2.860573
-145.455506,108,2.994118
-404.118118,60,3.069744
-393.812844,110,3.208407
-428.290989,75,3.303828
-275.873028,131,3.463459
-345.035275,98,3.582619
-196.986008,88,3.690752
-98.285269,43,3.744726
-504.26677,54,3.826365
-127.652944,108,4.001497
-482.848509,75,4.09875
-506.399303,85,4.205274
-223.975339,74,4.297293
-256.930093,71,4.388869
-114.208337,59,4.470147
-477.190537,84,4.597593
-462.7495,124,4.756161
-129.138101,158,6.884713
-282.484948,45,6.93957
-469.680071,56,7.009494
-508.22684,113,7.150073
-125.800121,136,7.31426
-487.426707,53,7.378756
-112.503201,56,7.443757
-503.45524,51,7.505118
-97.13644,58,7.574333
-137.500112,140,7.731476
-122.637261,91,7.835938
-503.492101,64,7.9095
-365.214694,61,7.979069
-240.170514,165,8.169181
-506.994897,135,8.320754
-211.084146,108,8.444282
-500.83004,31,8.478836
-380.869845,68,8.556849
-373.011343,142,8.723806
-248.437079,50,8.783336
-259.067873,69,8.867954
-481.382685,148,9.045256
-297.931804,177,11.106051
-410.455308,166,11.312198
-91.100046,108,11.44563
-213.233828,55,11.513193
-184.969663,130,11.670271
-195.318528,183,11.895351
-321.087559,115,12.027875
-452.544192,131,12.169355
-471.409028,103,12.281199
-287.89025,146,12.441063
-123.525064,92,12.539631
-241.02615,35,12.579229
-342.424138,131,12.722791
-305.791867,178,12.917881
-185.30187,46,12.972403
-318.60113,188,13.199447
-198.295245,88,13.305885
-147.247052,126,15.30414
-36.326422,144,15.52825
-87.404723,187,15.767407
-288.77155,80,15.865989
-190.522281,242,16.159631
-79.372669,126,16.29976
-425.183882,221,16.541899
-136.340149,202,16.760942
-173.269423,89,16.861894
-302.768582,172,17.051769
-165.420373,132,17.202888
-212.686556,133,17.364473
-90.636558,41,17.414988
-491.718177,77,17.508547
-277.151617,303,19.701007
-104.159578,179,19.92586
-55.03912,135,20.092906
-151.539276,148,20.27099
-234.756227,151,20.449193
-198.875247,251,20.724202
-89.709013,165,20.90529
-137.45909,207,21.131148
-108.570846,203,21.35063
-170.241491,168,21.538826
-201.094095,164,21.731649
-34.649788,230,23.991505
-219.461133,143,24.161037
-354.885792,142,24.330074
-293.235898,160,24.524186
-226.242395,159,24.714672
-306.967059,136,24.876386
-431.105171,204,25.09881
-34.668123,154,25.266449
-305.475807,201,25.48412
-221.067425,66,25.561131
-264.799306,122,25.816289
-92.784161,256,26.133495
-95.805002,138,26.301577
-148.878856,204,28.443049
-95.946905,141,28.614957
