#{"t_start": 1785834034.990642, "env_id": "None"}
r,l,t
-255.946158,54,12.88853
-256.728204,62,12.996637
-256.141332,63,13.097369
-256.591059,62,13.197259
-256.692689,64,13.297501
-256.033307,62,13.39953
-258.063301,77,13.514265
-256.208098,60,13.614266
-255.972381,63,13.714136
-256.732158,60,13.814249
-256.366209,63,13.914078
-255.813911,62,14.014973
-253.84573,39,14.080729
-257.105892,70,14.199129
-255.575289,56,14.284889
-256.093846,62,14.398689
-256.01662,56,14.496569
-256.492184,64,14.598761
-257.709253,71,14.714083
-257.528588,71,14.914592
-256.133405,60,15.064235
-256.326275,59,15.199263
-255.653578,56,15.347484
-256.891075,61,15.501013
-256.174885,58,15.614098
-257.385754,67,15.781505
-256.08052,58,15.897417
-256.287545,63,16.079973
-255.914675,55,16.274512
-255.5204,55,16.420784
-256.628954,60,16.548867
-256.851606,65,16.670619
-255.239326,52,16.780025
-256.556169,64,19.770681
-256.749269,62,19.907354
-256.500802,57,20.026726
-255.474264,55,20.169877
-255.945821,60,20.322294
-256.654193,67,20.503046
-256.216845,63,20.602014
-257.461601,67,20.702295
-256.699888,61,20.802684
-256.584101,65,20.903082
-256.047058,64,21.003203
-257.373786,66,21.103169
-256.48307,59,21.203411
-257.066136,68,21.303649
-257.575225,67,21.413984
-256.292565,62,21.503599
-257.347436,64,21.603737
-256.821174,63,21.710381
-256.721214,60,21.810808
-256.867991,63,21.965151
-253.096709,30,22.056196
-256.562885,61,22.283484
-256.962473,64,22.503468
-256.205135,57,22.681982
-256.552961,61,22.815317
-257.269552,70,23.016131
-256.742112,66,23.165617
-255.291837,51,23.299171
-257.15222,67,23.476839
-255.486586,52,23.585419
-257.981615,72,23.715789
-256.210602,59,23.826501
-255.653071,58,23.958852
-256.871557,64,27.131194
-257.798021,76,27.363513
-256.836204,68,27.597014
-258.960487,83,27.836844
-258.677739,75,28.021412
-258.13423,76,28.138487
-255.922759,58,28.226491
-256.518973,63,28.349758
-257.459834,69,28.515584
-258.596065,79,28.632987
-256.846128,66,28.762866
-257.065689,65,28.91775
-255.069403,44,29.014909
-256.932878,67,29.115888
-256.831393,69,29.231369
-257.995735,76,29.364577
-257.83174,66,29.582226
-257.436391,75,29.716598
-256.521212,65,29.829556
-257.792837,75,29.944628
-256.87735,72,30.046951
-256.285285,65,30.148925
-258.172639,80,30.280632
-256.416814,65,30.396741
-256.538797,66,30.496711
-256.837298,70,30.597158
-257.223059,65,30.696986
-258.238566,73,30.819061
-257.53465,66,30.919409
-256.563674,68,31.027281
-258.550773,83,33.469011
-259.289537,86,33.630462
