episode,total_reward,steps,target_x,final_com_x,final_h,failed,final_error
1,1819.5276878853329,1000,0.026440532410366924,0.022413137752880518,0.9919452106850272,False,-0.004027394657486406
2,1829.5085718594491,1000,0.071710053121631,0.06772803896312084,0.9920359716829796,False,-0.003982014158510169
3,1824.8495962652378,1000,0.05197029701647474,0.04796474239838549,0.9919888907638215,False,-0.004005554618089248
4,1819.2204696261324,1000,0.02442534841946309,0.020397368482491504,0.9919440401260569,False,-0.004027979936971585
5,1822.9430725765415,1000,0.045648449559749615,0.041635671859352616,0.991974444599206,False,-0.0040127777003969994
6,1796.8144295921084,1000,-0.06309181729233151,-0.06684160598638902,0.992500422611885,False,-0.00374978869405751
7,1802.2785456313286,1000,-0.04116799139571495,-0.04504970728405543,0.9922365682233191,False,-0.0038817158883404854
8,1801.5180386095308,1000,-0.0465479915749073,-0.05040124517882524,0.9922934927921642,False,-0.0038532536039179374
9,1806.2215455097612,1000,-0.03017842447604946,-0.03411023522620955,0.9921363784996798,False,-0.003931810750160088
10,1812.6980480864295,1000,0.0007031821403303551,-0.0033121665587340504,0.9919693026018712,False,-0.0040153486990644055
11,1789.4615191430785,1000,-0.08342349186747905,-0.08701410840242305,0.9928187669301121,False,-0.0035906165349439967
12,1834.4987205415964,1000,0.09675306600995384,0.09278592361681204,0.9920657152137164,False,-0.003967142393141804
13,1827.5077947173268,1000,0.06466582548971503,0.060675749571927576,0.9920198481644251,False,-0.003990075917787453
14,1829.8978735618293,1000,0.07522172214912759,0.07124332841980158,0.992043212541348,False,-0.003978393729326013
15,1782.669131315546,1000,-0.0996124894105739,-0.10305191854534695,0.993121141730454,False,-0.0034394291347730477
16,1804.3633629842661,1000,-0.03457009636737533,-0.038483188203239996,0.9921738163282707,False,-0.003913091835864663
17,1822.5302690239623,1000,0.042109629445404945,0.03809318144828441,0.9919671040057589,False,-0.004016447997120531
18,1816.7625123783946,1000,0.014210624021587431,0.010183355820839473,0.9919454635985041,False,-0.004027268200747959
19,1819.6052653016523,1000,0.027387749483396673,0.023360704065737915,0.9919459091646825,False,-0.004027045417658758
20,1811.4145097220317,1000,-0.009382869645105082,-0.01337998134207187,0.9920057766060664,False,-0.0039971116969667875
