#{"t_start": 1786071967.9701452, "env_id": "None"}
r,l,t
-231.774461,124,4.818989
-668.106286,146,5.017511
-171.336439,95,5.186226
-208.179964,158,5.415452
-173.385811,107,5.570815
-73.703957,51,5.657741
-219.766187,134,5.917855
-593.396475,175,6.361573
-208.807764,213,6.761947
-133.473716,74,6.945075
-427.031209,145,7.232142
-191.998921,109,7.438544
-230.835238,121,7.664236
-224.73318,139,7.918165
-230.48704,166,8.187905
-106.982658,51,8.250446
-150.515668,51,11.027891
-424.930853,196,11.376612
-289.636074,129,11.595402
-227.289576,114,11.87207
-219.384897,137,12.07649
-282.848974,125,12.248755
-79.012305,45,12.312279
-221.007192,131,12.498806
-201.243115,145,12.709418
-274.471766,124,12.886948
-627.66683,143,13.095531
-231.56473,119,13.26256
-425.58776,124,13.43846
-117.86695,39,13.497487
-235.11034,117,13.667577
-360.42593,153,13.888627
-364.113576,134,14.078626
-426.737262,164,16.693169
-240.36807,133,16.873597
-343.455412,216,17.163008
-200.68605,177,17.42285
-251.188,132,17.597593
-421.899331,176,17.823228
-253.031571,165,18.033279
-491.290558,149,18.221346
-225.323954,143,18.399906
-454.274911,186,18.634866
-255.402278,147,18.829617
-401.939289,151,19.030377
-352.896009,153,19.231691
-212.389626,110,21.447883
-238.890316,125,21.662187
-236.364707,125,21.903727
-588.080402,166,22.202046
-445.685387,156,22.486773
-450.824154,166,22.733145
-240.298079,110,22.880463
-205.482274,136,23.047856
-221.073961,158,23.317578
-485.96155,121,23.475157
-405.596976,279,23.831783
-102.773984,26,23.866781
-542.691793,132,24.041425
-668.771422,118,24.195714
-485.895177,132,24.371644
-217.638619,133,26.664481
-232.893263,127,26.850322
-484.711742,189,27.09133
-560.795346,143,27.277542
-382.325543,138,27.458332
-202.500727,163,27.671638
-504.129233,126,27.831156
-324.442132,145,28.014383
-198.619727,76,28.109545
-205.510162,166,28.320105
-410.582353,141,28.508841
-53.67638,96,28.650651
-476.377136,126,28.844805
-293.596132,183,29.091887
-365.421056,134,31.480218
-458.378326,160,31.788875
-521.23336,126,31.968964
-155.801859,84,32.086511
-609.023461,148,32.40034
-267.613449,130,32.64308
-463.952557,135,32.854295
-410.86766,181,33.119925
-302.698292,109,33.260573
-421.054974,147,33.455622
-551.186694,143,33.685313
-94.681847,16,33.722862
-394.1848,172,33.990905
-441.782387,188,34.240284
-420.191374,148,34.435334
-246.198188,123,34.596892
-359.91027,193,37.199849
-458.004428,142,37.407126
-503.551782,167,37.634706
-245.077835,152,37.838943
-360.486578,147,38.033916
-370.155175,128,38.204823
-349.126066,172,38.436418
-357.63719,151,38.639135
-463.513717,151,38.854946
-179.034142,211,39.145827
-425.173838,159,39.357742
-157.54414,66,39.446449
-359.181835,218,42.259193
-603.358572,174,42.549732
-318.063292,191,42.851393
-489.717115,163,43.103517
-544.602694,183,43.375037
-114.016998,72,43.466519
-429.838917,177,43.69757
-402.279884,164,43.913572
-136.67278,322,44.335244
-113.751064,36,44.382213
-69.562831,161,44.593257
-457.277638,236,44.899858
-194.859377,108,45.085313
-189.458015,100,47.294486
-397.679456,212,47.609879
-395.204447,164,47.824187
-91.650379,81,47.929359
10.685322,202,48.190578
-247.041997,230,48.490379
-194.951303,176,48.718492
-253.557585,136,48.897564
-49.167259,139,49.074727
-482.022788,205,49.332328
-362.637267,150,49.520537
-60.320974,121,49.671606
-417.536431,246,52.273031
-180.677988,216,52.705357
-74.305702,109,52.860313
-122.623583,200,53.203964
-80.868641,90,53.324495
-92.367566,104,53.473079
-64.88257,117,53.725543
-70.562566,67,53.887759
-95.760193,25,53.931767
-299.695519,170,54.290699
-35.561521,153,54.638068
-300.558345,303,55.045974
-163.028353,152,55.234508
12.106772,202,55.489699
-81.379799,52,55.557183
-103.895996,30,55.598176
-55.099666,155,58.133942
-14.284905,148,58.352016
-48.4967,214,58.627111
-104.72806,120,58.781946
-66.781945,61,58.85716
-86.673882,26,58.890966
-31.474509,160,59.093703
-67.119145,141,59.277815
59.750305,405,59.782339
-41.411299,136,59.948537
-96.002996,87,60.059883
-45.869931,97,60.177229
-87.117246,154,60.367965
-301.047625,208,62.738181
-52.01598,122,62.932384
-105.933941,204,63.208641
15.397104,237,63.611676
-48.235218,104,63.759057
-148.706978,189,64.013222
-47.119992,131,64.192879
74.121613,337,64.636613
-32.38563,164,64.846932
-75.070529,330,65.265108
23.576771,300,67.880038
280.710247,612,68.840029
-99.51177,199,69.130682
-53.559342,81,69.248744
110.488255,356,69.770287
-99.539439,505,70.506135
-41.283934,197,73.291538
590.278901,1000,74.947161
116.105466,480,75.811451
23.637458,403,76.38654
664.903841,1000,79.874365
648.485415,1000,81.39021
669.391773,1000,84.836017
623.636143,1000,86.626323
703.745793,1000,90.561779
691.436714,1000,91.940332
634.711496,1000,95.730078
681.455409,1000,97.493936
730.066431,1000,101.96187
706.10927,1000,103.363652
681.071386,1000,106.847699
677.796719,1000,108.366174
675.089114,1000,112.685219
660.665174,1000,113.997923
693.50797,1000,117.587071
646.804517,1000,118.756685
736.299126,1000,122.658896
649.321331,1000,124.915325
732.14719,1000,129.078264
657.174253,1000,130.81902
784.48455,1000,134.835005
759.835226,1000,136.453334
831.748607,1000,140.127118
751.400808,1000,141.712979
832.05226,1000,146.001719
770.309743,1000,147.465856
812.251242,1000,151.181135
826.845243,1000,152.82346
838.339203,1000,156.875489
831.159155,1000,158.285863
875.974187,1000,164.338007
925.278026,1000,165.827569
961.157733,1000,170.257879
944.830815,1000,171.773362
958.79258,1000,175.334345
1017.384214,1000,177.165915
976.405251,1000,182.072115
998.305232,1000,183.989086
1028.909291,1000,185.483546
1051.633932,1000,189.200964
1075.247406,1000,191.137757
1090.917109,1000,195.181314
1100.550506,1000,196.865155
1125.991149,1000,200.996772
1044.10055,1000,203.309197
1126.095241,1000,207.39885
1064.405871,1000,209.55259
1146.225766,1000,213.788607
1215.832962,1000,215.767995
1194.25454,1000,220.057163
1176.190072,1000,221.827525
1286.808224,1000,226.307872
1160.930257,1000,228.144965
1221.13161,1000,232.623076
1265.798159,1000,233.866456
1204.168281,1000,237.413389
1253.55636,1000,239.241436
1236.262583,1000,243.377369
1238.618975,1000,244.848442
1259.507187,1000,249.157486
1240.608521,1000,251.20121
1298.656217,1000,255.673562
1327.534959,1000,257.427279
1381.015489,1000,263.132912
1346.962417,1000,265.317255
1299.386256,1000,269.31708
1341.817538,1000,270.661772
1407.073397,1000,275.408223
1426.094209,1000,277.318216
1358.046793,1000,281.309211
1420.881931,1000,282.919821
1431.732447,1000,286.896865
1517.422274,1000,288.233195
1453.321693,1000,291.842757
1455.590118,1000,293.342533
1466.3513,1000,296.839028
1455.510431,1000,298.455827
1487.808051,1000,302.077542
1459.5511,1000,303.392132
1381.64833,1000,304.798884
1469.891488,1000,308.636625
1490.935078,1000,310.160441
1551.404042,1000,313.960494
1577.978959,1000,315.62479
1519.396333,1000,320.128618
1508.656187,1000,322.385602
1512.403033,1000,326.079865
1548.553242,1000,327.318474
1478.786002,1000,331.06081
1570.243349,1000,332.539949
1496.265594,1000,336.265041
1502.673978,1000,337.905386
1488.884701,1000,341.712617
1559.847634,1000,343.260895
1586.021211,1000,347.480756
1448.116103,1000,348.88431
1487.167854,1000,352.783873
1486.142679,1000,354.712706
1460.605657,1000,359.135597
1432.98096,1000,361.719536
1470.894525,1000,366.636011
1469.012283,1000,368.047927
1604.607401,1000,372.80066
1520.471137,1000,373.807146
1544.90986,1000,377.242563
1492.689364,1000,379.321799
1512.257495,1000,383.657881
1497.15378,1000,385.859046
1478.353738,1000,389.865208
1520.945646,1000,391.997381
1508.700206,1000,397.618175
1470.089508,1000,399.316573
