#{"t_start": 1786269994.4750261, "env_id": "None"}
r,l,t
-183.992794,113,15.615821
-197.288235,146,15.775269
-705.930937,146,15.957061
-416.505838,147,16.150214
-378.328818,166,16.49887
-717.807254,129,16.716715
-176.537589,136,16.919448
-533.180198,130,17.106541
-128.198722,25,17.156113
-151.349727,73,17.300609
-300.281864,127,17.504339
-554.55758,121,17.688426
-113.787153,65,17.784704
-268.375573,74,17.87174
-368.90725,127,18.08296
-380.029731,123,18.298035
-804.213423,173,18.588392
-298.558547,128,20.866106
-477.836252,134,21.086467
-580.555706,207,21.356709
-307.202931,149,21.532703
-802.215249,180,21.728728
-319.10447,129,21.886532
-749.444603,151,22.052946
-340.745554,138,22.202164
-411.522765,144,22.34515
-208.32755,88,22.432236
-609.463324,153,22.584248
-174.983934,89,22.674936
-123.829396,59,22.742091
-381.419919,140,22.914082
-301.074196,140,23.073447
-317.701565,165,25.420822
-634.355798,218,25.756504
-298.588744,112,25.894841
-306.18287,117,26.03554
-135.950276,46,26.090837
-345.07148,126,26.25361
-372.211037,138,26.415569
-437.029209,136,26.600235
-601.780486,165,26.799416
-403.099328,151,26.966538
-364.073247,134,27.118099
-314.841267,123,27.275796
-492.163682,207,27.538759
-349.969876,178,27.749906
-300.39948,117,29.989047
-391.513122,118,30.228289
-143.179599,65,30.415261
-137.682726,59,30.583179
-199.733907,77,30.8115
-393.412044,188,31.398161
-321.995511,106,31.723661
-404.310708,137,32.106911
-304.703023,131,32.396533
-304.130981,127,32.635114
-315.756006,116,32.927365
-317.915511,167,33.234678
-601.568057,186,33.598647
-307.296197,158,33.889878
-491.153135,152,34.170862
-609.510652,172,34.49159
-698.822097,164,38.161791
-576.377901,146,38.431796
-537.451766,179,38.783485
-393.234075,144,39.202323
-282.484149,95,39.451185
-351.751395,127,39.817715
-368.416159,218,40.279154
-609.403041,135,40.608437
-334.240014,141,41.03039
-389.219079,139,41.408288
-566.254694,111,41.752855
-317.952633,117,41.995456
-462.771263,146,42.258118
-294.057807,128,42.505066
-334.458889,126,45.211044
-298.625889,141,45.500262
-412.524408,126,45.694009
