#{"t_start": 1786291251.6374893, "env_id": "None"}
r,l,t
-145.706357,73,6.409823
-388.178976,128,6.575612
-114.168619,37,6.626322
-420.413395,115,6.775848
-139.365342,68,6.876058
-711.025493,138,7.059374
-678.718834,124,7.241156
-630.101792,157,7.442396
-362.03874,128,7.632997
-135.10081,67,7.726186
-144.46411,44,7.775866
-304.147405,111,7.941244
-307.263678,160,8.159104
-333.861177,118,8.310415
-124.935423,72,8.424583
-298.433267,116,8.575854
-136.214059,13,8.592398
-136.268192,64,8.691596
-275.739604,88,8.809125
-496.383914,170,9.042053
-503.560464,164,11.063834
-308.925718,133,11.226252
-514.373545,146,11.46014
-359.702182,137,11.642409
-124.548266,39,11.692523
-413.776862,128,11.860359
-314.629114,126,12.025737
-684.36925,169,12.241967
-293.631913,119,12.392881
-665.168791,133,12.575671
-117.535911,44,12.625691
-794.470545,197,12.885169
-719.550012,154,13.075617
-543.43154,167,13.292671
-630.689329,141,13.490653
-457.559105,145,15.436067
-587.968095,162,15.659157
-709.772241,132,15.842155
-147.15751,67,15.926001
-448.817641,147,16.114352
-302.256433,110,16.259568
-483.29187,164,16.475868
-791.662051,143,16.65981
-600.571054,128,16.842194
-305.700145,144,17.042222
-163.003186,62,17.125524
-473.332023,113,17.275612
-351.308083,135,17.458774
-413.15955,171,17.692196
-367.193479,124,17.858847
-172.062189,104,17.992116
-308.243512,146,19.992599
-482.918233,136,20.191425
-314.93686,149,20.392314
-711.086847,131,20.558893
-361.995372,131,20.742117
-297.844864,101,20.875678
-370.499037,137,21.058983
-588.800517,176,21.275933
-361.750828,151,21.458239
-576.562372,245,21.775856
-324.448654,104,21.908898
-383.607639,156,22.12588
-746.170417,181,22.358837
-589.722183,135,22.52557
-335.171705,191,24.592316
-538.221946,150,24.79189
-488.457371,153,24.992222
-673.39005,157,25.208735
-313.775252,125,25.359052
-339.021528,140,25.565684
-280.132902,77,25.675423
-498.8646,170,25.875655
-669.176726,213,26.141944
-333.574154,154,26.328311
-650.512754,253,26.658626
-351.28445,166,26.859294
-735.550242,156,27.058735
-358.924825,203,29.124749
-660.011857,145,29.291467
-142.786548,75,29.393324
-469.227045,185,29.641815
-589.583772,172,29.869076
-709.920184,280,30.225569
-734.672207,205,30.491926
-737.485571,136,30.658641
-364.935289,152,30.858831
-322.370215,131,31.025714
-209.582894,65,31.108514
-340.369556,233,31.409032
-345.569391,142,33.400218
-612.212446,147,33.591925
-315.793888,171,33.825112
-359.772852,132,34.000104
-694.51697,130,34.175008
-474.832905,139,34.35789
-811.958354,197,34.592185
-215.928206,136,34.741651
-327.989847,164,34.975701
-572.569051,169,35.194165
-313.495476,145,35.375055
-306.376806,131,35.55886
-667.047552,134,35.748348
-318.63947,140,35.933778
-415.428689,144,37.936862
-552.209885,142,38.124732
-328.144192,137,38.291449
-300.590037,124,38.458613
-511.183559,151,38.658815
-609.283479,147,38.85702
-438.000763,128,39.023767
-315.591734,121,39.175556
-482.624785,142,39.358402
-327.231995,126,39.525203
-716.554777,180,39.758239
-369.253957,231,40.075195
-325.918941,203,40.340532
-383.476285,150,42.350461
-439.987722,116,42.52446
-702.585592,219,42.806952
-401.333443,117,42.958301
-564.81178,152,43.158475
-320.579433,147,43.351881
-520.477063,162,43.558448
-325.642329,150,43.741604
-172.107034,114,43.874913
-309.826868,151,44.074476
-582.754782,175,44.292261
-597.786818,155,44.475509
-320.80101,154,44.675621
-524.65428,165,44.892658
-783.55371,145,47.015419
-503.418606,178,47.257203
-537.442963,137,47.461478
-328.467403,114,47.608565
-339.370656,148,47.791427
-337.044034,187,48.041751
-357.327168,136,48.211497
-612.719982,155,48.390911
-320.280108,143,48.573357
-422.323411,143,48.74134
-304.380588,116,48.89141
-342.539492,134,49.058288
-302.097611,116,49.208865
-399.656672,130,49.37561
-295.015897,99,49.512625
-535.01574,168,51.608037
-361.041477,233,51.908172
-434.442088,204,52.175021
-629.335621,165,52.395627
-304.03873,105,52.558197
-319.206836,207,52.82456
-352.537032,132,52.990934
-640.907705,169,53.211137
-445.041407,169,53.424998
-322.18149,130,53.591538
-332.636929,177,53.825196
-338.55212,148,54.008083
-320.509552,159,56.036433
-346.014957,110,56.174515
-532.955514,149,56.374863
-581.938427,145,56.569187
-318.719128,133,56.744764
-338.457355,171,56.957343
-359.397095,152,57.124033
-535.105778,218,57.407897
-504.914387,147,57.59129
-334.700278,110,57.775392
-513.418634,137,57.974808
-412.95496,131,58.141991
-585.695983,157,58.341615
-281.894483,121,58.491987
-162.092088,83,60.393792
-457.991533,142,60.591142
-485.655529,172,60.824632
-285.847342,98,60.941788
-767.243818,194,61.191626
-520.630607,141,61.375042
-361.465977,217,61.702595
