#{"t_start": 1786003917.081669, "env_id": "None"}
r,l,t
-202.984505,161,2.67973
-201.154911,152,2.878297
-180.779822,177,3.108635
-219.317814,145,3.289408
-216.922546,109,3.425767
-128.989229,243,3.779393
-193.876798,171,4.015936
-114.240462,53,4.091058
-136.528713,76,4.203325
-119.731466,61,4.287872
-117.427722,91,4.40839
-91.506867,41,4.458716
-161.166691,206,4.727482
-96.026732,87,4.846278
-219.315258,135,5.033832
-120.689781,28,5.087383
-97.316926,130,7.420827
-103.399503,69,7.523663
-193.813987,171,7.831685
-113.33067,41,7.891088
-200.947307,125,8.103086
-187.33437,143,8.388655
-210.197919,136,8.640864
-216.337951,91,8.796889
-68.218089,182,9.150695
-223.189523,134,9.32429
-187.054713,157,9.549253
-52.743174,173,9.909389
-209.371286,135,10.148897
-225.436478,118,10.332638
-86.073417,171,10.546776
-31.734143,144,10.762477
-196.052293,132,12.90448
-201.062233,151,13.109834
-215.03425,147,13.303401
-201.806314,120,13.458761
-183.169633,179,13.704448
-195.444971,206,13.975473
-211.100236,127,14.134953
-188.196046,140,14.302469
-72.783775,189,14.530994
-225.032499,108,14.656372
-14.870827,262,14.990638
-198.328383,145,15.230113
-196.854127,157,15.464181
-155.946657,231,17.701171
-22.21702,161,17.968215
-159.625354,214,18.269182
-84.530801,154,18.463726
-179.300584,168,18.674724
-196.538013,146,18.860315
-177.278707,195,19.100976
-216.851081,145,19.281412
-225.224131,101,19.404545
-21.679151,126,19.55862
-217.053458,128,19.721323
-93.365368,144,19.898791
-198.385303,122,20.079103
-130.877456,174,22.354491
-127.526935,202,22.652339
-86.227333,163,22.856025
-230.589549,117,23.011943
-213.637604,172,23.225937
-233.490357,111,23.36539
-28.550352,154,23.544484
-32.309123,184,23.875534
-29.495225,181,24.117043
-191.464688,191,24.441704
-192.11775,176,24.690501
-185.404352,196,24.955175
-47.15995,193,27.172055
-2.136831,172,27.388516
21.896819,242,27.685819
5.500635,174,27.912687
-205.648704,187,28.140427
-13.677229,216,28.455753
-144.775702,152,28.663896
43.684037,258,28.98721
-74.001136,213,29.270243
-96.877388,125,29.426738
-202.946955,147,29.61114
-30.034282,142,31.904199
-77.852037,122,32.064512
