#{"t_start": 1785956554.8936877, "env_id": "None"}
r,l,t
-258.93686,60,5.736923
-259.61723,71,5.841435
-260.743336,71,5.948957
-259.746429,76,6.074542
-262.262583,61,6.153066
-262.369463,67,6.247577
-259.91216,61,6.338094
-262.22012,61,6.442801
-259.029052,56,6.562328
-258.156155,53,6.668848
-261.941026,62,6.793367
-262.797302,64,6.922183
-258.393641,60,7.024767
-260.76881,61,7.121324
-262.008868,60,7.227838
-263.053616,62,7.316844
-258.082317,58,7.413366
-262.615122,65,7.532463
-259.626955,65,7.641961
-260.294064,62,7.744473
-255.99831,67,7.848986
-261.582914,69,7.95451
-260.373535,57,8.073033
-260.012648,75,8.197555
-262.371692,56,8.315103
-261.220506,71,8.446225
-258.399398,54,8.566301
-262.248839,62,8.893432
-262.123523,62,9.201606
-261.823983,61,9.465287
-261.395874,57,9.614791
-261.602023,59,9.711302
-259.854272,75,12.761579
-257.356072,60,12.880091
-260.297438,64,12.974468
-257.782279,71,13.073121
-262.66174,64,13.16562
-259.263028,77,13.289147
-258.578468,62,13.373035
-261.081411,64,13.463673
-256.7737,64,13.553353
-256.845981,79,13.662063
-259.698575,66,13.771582
-261.768684,58,13.864101
-261.890503,55,13.942682
-260.492881,62,14.072612
-260.767465,65,14.173162
-261.355831,64,14.255678
-262.475886,68,14.348845
-260.846095,59,14.436323
-261.028551,65,14.523119
-259.549088,76,14.657259
-261.714775,56,14.844876
-262.18791,59,14.957223
-260.626495,65,15.046994
-258.842317,68,15.131439
-262.003012,60,15.214479
-261.800763,62,15.297002
-260.518343,62,15.383514
-261.371104,63,15.465499
-261.99413,63,15.555614
-259.270432,61,15.641169
-262.985948,64,15.733726
-263.125236,64,15.832191
-259.782321,69,18.142775
-260.894726,70,18.304809
-260.042274,67,18.418483
-260.203348,69,18.527068
-260.878379,66,18.631175
-259.766422,67,18.737732
-260.440905,62,18.832342
-260.21441,67,18.939848
-263.55393,70,19.050395
-259.044534,68,19.167981
-261.563147,62,19.277582
-263.149991,71,19.396119
-261.83502,54,19.482665
-262.809129,64,19.584201
-260.67881,63,19.677742
-258.447557,59,19.77228
-264.065087,75,19.892813
-263.108283,73,20.009936
-260.222453,70,20.10668
-260.035353,62,20.204311
-256.807253,69,20.3183
-262.319225,61,20.441436
-262.88602,67,20.541992
-260.142785,55,20.619137
-262.127728,65,20.71169
-261.457365,61,20.795763
-257.781806,64,20.883261
-257.696658,66,20.972826
-262.010484,58,21.054397
-262.508782,63,21.145423
-262.475748,61,21.241027
-261.093949,51,21.312059
-264.548397,72,23.583049
-262.994014,63,23.717106
-257.134328,71,23.956838
-261.435599,60,24.109405
-263.84441,71,24.232228
-258.828612,63,24.321272
-260.065044,64,24.4119
-259.598907,55,24.487589
-259.711987,76,24.600331
-258.566973,60,24.695882
