#{"t_start": 1786495137.2982824, "env_id": "None"}
r,l,t
-144.016739,79,2.008605
-130.122468,31,2.051613
-114.263566,33,2.094131
-113.554207,43,2.147924
-109.21639,42,2.203443
-115.93136,47,2.26752
-127.941966,36,2.312555
-144.953346,31,2.353528
-133.575355,31,2.394691
-142.427974,36,2.44268
-180.900936,31,2.484208
-117.964624,31,2.523209
-118.319826,43,2.579726
-162.219812,31,2.618726
-142.292047,31,2.657738
-145.499994,62,2.743181
-138.001279,115,2.890292
-125.307367,83,3.003807
-140.118907,76,3.123532
-128.374848,31,3.168191
-131.113457,28,3.208046
-123.934585,31,3.249486
-137.898311,52,3.318536
-530.008581,134,3.493594
-149.527086,72,3.597112
-156.18009,62,3.684338
-111.514726,31,3.723338
-142.998319,31,3.76138
-158.297602,31,3.802679
-109.845384,24,3.835678
-120.437298,50,3.898271
-147.29109,83,4.001455
-132.761914,31,4.043481
-153.860655,67,4.132697
-129.170192,32,4.174224
-129.9647,104,4.308748
-115.564181,31,4.35044
-136.138126,89,4.467377
-164.798025,31,4.508502
-164.682848,92,6.505276
-645.372766,142,6.7183
-123.734933,51,6.782827
-319.522749,139,6.957183
-164.298278,41,7.009701
-152.72644,35,7.054434
-249.535423,158,7.256274
-139.316261,77,7.352758
-125.021831,60,7.428275
-126.988574,22,7.455315
-161.094315,105,7.590321
-180.348989,31,7.631291
-109.077475,32,7.67285
-135.748249,43,7.730854
-147.956366,83,7.839372
-118.58301,31,7.877894
-148.179955,47,7.937892
-163.568595,31,7.978424
-108.726889,56,8.047424
-124.555876,79,8.149953
-134.484425,43,8.206473
-138.670464,76,8.304028
-295.816559,154,8.497057
-120.990528,38,8.545056
-111.952942,36,8.588582
-115.86204,40,8.641581
-155.317213,32,8.683151
-660.112795,206,8.946939
-109.988267,32,8.98746
-127.890905,31,9.026459
-181.537604,84,9.133015
-128.904157,82,11.024566
-131.250918,82,11.14708
-123.995815,64,11.226672
-164.375418,81,11.335459
-159.012819,117,11.485534
-158.19865,115,11.628093
