episode,total_reward,steps,target_x,final_com_x,final_h,failed,final_error
1,1835.1812266111374,1000,-0.09448817735138633,-0.09481290867016734,0.999350537362438,False,-0.00032473131878101025
2,1856.1198546886444,1000,0.031486602975118516,0.030445381531844947,0.9979175571134529,False,-0.001041221443273569
3,1824.1405581235886,1000,-0.07726559601571932,-0.07766063752539355,0.9992099169806515,False,-0.00039504150967423213
4,1862.078040778637,1000,0.00878828015269964,0.007907526243789655,0.9982384921821801,False,-0.0008807539089099852
5,1795.666997462511,1000,0.09983522301301428,0.09824770326791812,0.9968249605098076,False,-0.001587519745096161
6,1831.2867955565453,1000,-0.075405525022562,-0.0758087431333364,0.9991935637784513,False,-0.0004032181107744004
7,1862.0838370323181,1000,-0.006413009431255848,-0.007193177843937638,0.9984396631746364,False,-0.0007801684126817901
8,1857.6626408100128,1000,-0.004206909167456613,-0.005001315972498158,0.9984111863899169,False,-0.0007944068050415448
9,1850.985062301159,1000,-0.012550399974098264,-0.01329161747912252,0.9985175649899515,False,-0.0007412175050242557
10,1834.6525287032127,1000,0.09138520069067324,0.08986963568286273,0.996968869984379,False,-0.0015155650078105126
11,1862.018853366375,1000,0.02437671855927656,0.023387027651542755,0.9980206181845324,False,-0.0009896909077338062
12,1999.138166308403,1000,0.07162609781678178,0.07027431191933602,0.9972964282051084,False,-0.0013517858974457647
13,1919.3377701044083,1000,0.09696069504751109,0.09539777447668264,0.9968741588583431,False,-0.0015629205708284494
14,1932.813521683216,1000,0.014491787636529405,0.013571835710058227,0.9981600961470577,False,-0.000919951926471178
15,1834.7724856734276,1000,0.09518757747803505,0.09363976788121613,0.9969043808063621,False,-0.0015478095968189248
16,1814.3795730173588,1000,0.06048419257318083,0.059221759171056695,0.9974751331957518,False,-0.001262433402124133
17,1816.023701429367,1000,-0.09694206868065769,-0.09725759088426025,0.9993689555927949,False,-0.000315522203602564
18,1849.5441218614578,1000,-0.07551960203042861,-0.0759223140557446,0.999194575949368,False,-0.00040271202531598493
19,1827.5585642755032,1000,0.08326994587782993,0.08182243101050334,0.9971049702653468,False,-0.0014475148673265964
20,1877.8455972075462,1000,-0.010262307947376259,-0.011017932137005916,0.9984887516207407,False,-0.0007556241896296573
