#{"t_start": 1786119542.9879317, "env_id": "None"}
r,l,t
-325.011238,107,11.133234
-177.856184,67,11.218748
-680.379855,115,11.361793
-171.732532,63,11.444797
-145.676406,67,11.536958
-697.594218,145,11.728643
-129.734306,22,11.758169
-378.481114,134,11.937696
-130.099104,91,12.058284
-137.307576,87,12.182681
-717.174102,163,12.401448
-539.875308,125,12.569207
-377.778146,201,12.836374
-407.995312,188,13.081145
-670.136811,127,13.253213
-131.13823,64,13.339229
-286.826228,105,13.472284
-160.797765,102,13.602862
-365.879697,136,15.741128
-318.34677,121,15.910158
-106.798643,40,15.963463
-599.212922,115,16.114981
-834.72561,221,16.402105
-421.71064,133,16.573537
-159.746761,175,16.777304
-663.831393,121,16.917169
-313.503911,132,17.073874
-318.162698,120,17.214363
-619.148699,178,17.429738
-623.177249,131,17.590336
-124.210749,15,17.608335
-325.665444,113,17.74291
-328.74801,160,17.942989
-177.549726,82,18.045569
-576.177734,150,20.099086
-451.311955,155,20.319862
-684.229262,156,20.52128
-604.82021,138,20.694336
-689.63961,154,20.887455
-321.981578,137,21.060036
-798.704333,174,21.27071
-322.705106,187,21.489496
-701.08509,138,21.651142
-292.26785,106,21.779565
-494.24726,118,21.918055
-318.353298,125,22.074132
-331.200958,171,22.285729
-579.033636,155,22.483066
-733.25739,189,24.609586
-161.91049,66,24.705106
-325.600992,164,24.910805
-320.535505,124,25.063538
-336.28673,156,25.261228
-372.74146,154,25.455397
-344.719871,184,25.691792
-569.52048,222,25.951663
-171.843633,93,26.065339
-533.878486,161,26.261505
-539.524814,126,26.417938
-564.550467,142,26.596628
-480.493307,189,26.834308
-598.758289,138,27.010353
-329.884408,175,29.052691
-317.993034,133,29.225723
-124.374663,48,29.287563
-444.205642,109,29.42362
-330.066334,138,29.594331
-407.450817,153,29.795769
-474.559671,148,30.077402
-328.66298,157,30.303436
-488.88105,119,30.446764
-594.59885,148,30.623352
-413.211553,119,30.767382
-619.138872,142,30.944938
-535.623386,119,31.094348
-481.080956,127,31.251844
-581.01649,180,31.4732
-345.438767,153,33.487536
-758.944111,157,33.695584
-222.539334,91,33.810706
-395.826336,164,34.015853
-578.883244,150,34.202272
-600.244896,139,34.371357
-325.114545,127,34.51743
-599.950913,155,34.701375
-154.77668,60,34.778803
-597.803062,149,34.947839
-362.089022,163,35.135088
-574.25297,153,35.313501
-598.067462,157,35.520617
-656.500974,150,35.726973
-496.728133,141,35.905172
-559.954438,156,37.97498
-155.161532,48,38.032985
-505.576149,141,38.206917
-761.74085,145,38.387916
-331.344965,147,38.574961
-546.00835,166,38.795012
-475.495797,120,38.953608
-324.374649,120,39.109376
-142.039397,57,39.185895
-620.239131,210,39.463735
-180.355788,77,39.56526
-423.550521,109,39.709974
-335.729789,169,39.934014
-668.015386,155,40.141355
-331.849261,139,40.344402
-642.665421,146,42.414163
-177.956101,106,42.56671
-773.907118,125,42.733599
-386.647933,149,42.927482
-697.692455,192,43.178007
-478.626323,197,43.430547
-313.709971,118,43.565087
-372.226755,115,43.699125
-316.577763,147,43.872209
-703.868534,165,44.065775
-631.622298,151,44.244807
-326.986085,153,44.446892
-514.150771,210,44.718524
