#{"t_start": 1786140317.982086, "env_id": "None"}
r,l,t
-177.412463,120,13.273003
-148.634016,112,13.516846
-328.281218,187,13.914643
-366.934374,118,14.141612
-119.267308,28,14.185112
-392.898983,108,14.511869
-110.498854,49,14.629652
-345.846727,142,14.850377
-405.26799,130,15.064677
-347.88984,114,15.342066
-219.966814,136,15.61161
-856.180877,159,15.859646
-205.282632,97,16.009769
-391.494377,201,16.358991
-347.106452,113,16.530356
-699.892053,136,16.729003
-188.918794,57,16.821072
-681.333631,225,19.571995
-374.264101,178,19.867929
-431.831318,132,20.06489
-374.52479,116,20.238823
-400.89681,108,20.404727
-709.306206,136,20.613126
-117.615417,66,20.713666
-633.028058,185,21.150761
-149.178732,56,21.23077
-327.468277,94,21.371884
-776.914739,225,21.737689
-151.854486,120,21.925747
-532.68737,142,22.133808
-276.649887,79,22.251832
-339.850347,140,22.456922
-381.48951,194,24.897272
-232.56203,110,25.060416
-128.488863,56,25.146448
-795.266089,181,25.431016
-409.350075,136,25.71669
-363.209605,158,25.959351
-356.581799,140,26.190625
-579.512098,138,26.469712
-639.46381,137,26.697886
-368.229062,154,26.900079
-649.932266,148,27.132615
-568.153713,194,27.465991
-445.717803,156,27.784246
-818.050346,149,28.196818
-853.168767,174,31.025298
-354.925363,132,31.335217
-470.70571,117,31.570443
-446.115621,170,31.956154
-740.084139,209,32.400569
-583.139963,174,32.76029
-677.370393,157,33.05037
-392.162534,131,33.301999
-536.176652,142,33.551017
-126.164199,45,33.616558
-268.487295,92,33.755085
-634.542929,169,34.014308
-485.961949,147,34.25036
-362.717858,136,34.462589
-275.311882,95,34.606682
-144.288737,39,34.668103
-603.03775,135,36.983848
-423.32771,137,37.249655
-359.076528,121,37.426322
-379.362869,140,37.631004
-484.163732,132,37.863597
-381.347177,203,38.388072
-570.89319,141,38.657727
-522.15015,123,38.910388
-581.057539,155,39.259581
-363.231664,147,39.560757
-238.217609,78,39.759642
-608.027852,148,40.031282
-154.063063,72,40.240714
-475.717085,159,40.605982
-136.369677,42,40.686524
-134.542981,63,40.804042
-625.385423,157,43.567226
-538.219234,129,43.788448
-366.322305,108,43.944974
-547.766895,146,44.216136
-570.522481,126,44.442182
-361.758876,143,44.654797
-199.782851,103,44.799791
-628.069699,169,45.088027
-887.77702,287,45.530894
-368.125325,117,45.683918
-356.198504,115,45.862112
-408.537084,179,46.115402
-363.205096,126,46.361516
-523.593232,121,46.541557
-356.387449,124,48.924769
