#{"t_start": 1786165455.1701922, "env_id": "None"}
r,l,t
-118.007817,91,15.812835
-379.419023,222,16.057665
-123.879689,23,16.095252
-392.982206,107,16.231826
-619.050283,165,16.409121
-135.942059,59,16.472125
-634.656882,175,16.65919
-368.674203,107,16.770711
-595.987396,169,16.946744
-642.514662,133,17.094816
-359.961373,117,17.239403
-375.184921,155,17.473565
-357.239299,120,17.659199
-748.45355,206,17.939384
-397.661354,131,18.117535
-131.04893,34,18.161512
-378.672374,133,20.903961
-367.601515,140,21.163387
-362.437607,104,21.32039
-387.69602,133,21.519695
-641.797547,189,21.770396
-492.842337,186,22.000022
-557.747275,128,22.158758
-363.806371,135,22.32296
-386.623183,109,22.472106
-624.592975,254,22.82287
-695.62879,203,23.078195
-500.482484,121,23.232565
-234.331478,71,23.319139
-609.197994,123,23.471697
-209.231815,92,26.02803
-655.357956,172,26.42822
-250.997277,114,26.617626
-769.417212,119,26.781153
-189.041465,122,26.954101
-575.576281,140,27.150141
-128.567798,67,27.246659
-792.72102,201,27.52933
-343.680855,111,27.688857
-602.114667,170,27.925608
-124.376114,57,28.008131
-687.500863,126,28.1847
-379.47143,146,28.391254
-352.682242,126,28.571443
-667.374337,140,28.771487
-597.948544,152,28.98721
-769.167071,140,31.464579
-568.011263,132,31.672567
-135.046499,72,31.782369
-386.217785,167,31.993993
-710.534575,155,32.19788
-573.045445,145,32.38345
-794.131265,169,32.589177
-379.384292,133,32.823367
-742.317844,156,33.029058
-678.819762,138,33.2047
-356.791905,117,33.353737
-696.076801,157,33.559778
-387.454197,184,33.80183
-378.864578,133,33.973445
-668.308471,159,36.364592
-701.205203,177,36.773916
-477.59038,171,37.228077
-340.535525,96,37.476284
-698.458683,152,37.858329
-773.261971,166,38.098975
-707.836472,150,38.317064
-604.511945,188,38.592907
-681.988441,153,38.830261
-585.397407,174,39.121216
-313.92778,105,39.280631
-388.045564,135,39.488099
-360.286205,111,39.651636
-626.886788,169,39.899356
-335.44656,150,42.529221
-360.634133,131,42.734649
-144.521798,96,42.87617
-742.49388,154,43.096113
-127.573657,44,43.162642
-383.202913,135,43.362242
-371.260924,151,43.581289
-417.170784,182,43.852151
-608.626948,135,44.043186
-701.88798,167,44.287431
-699.793565,147,44.514682
-354.347887,125,44.702239
-352.289728,107,44.869926
-391.684921,111,45.043226
-319.680232,138,45.241455
-434.267873,134,47.749213
-376.631838,195,48.076285
-684.814623,146,48.269368
-420.092635,144,48.456414
-717.321095,163,48.671062
-347.2695,116,48.830106
-451.562901,146,49.029397
-356.242313,130,49.208768
-696.556031,145,49.401837
-723.760109,212,49.744978
-372.036289,112,49.902138
-490.215286,170,50.146709
-502.52951,146,50.356756
-561.056275,145,50.561388
-511.389985,195,53.019912
-382.250354,138,53.249036
-418.965661,116,53.417938
-346.405735,90,53.575454
-699.996932,173,53.884152
-358.397034,142,54.214505
-109.28848,35,54.32539
-550.511429,161,54.613747
-614.629599,170,55.065973
-728.487511,137,55.348132
-320.584039,95,55.483667
-372.950936,160,55.710481
-457.274259,121,55.868846
-754.688769,144,56.049907
-223.693771,156,56.243951
-763.459436,137,58.430245
-654.357522,130,58.628228
-569.755244,154,58.828683
-594.122571,170,59.048632
-638.829928,128,59.209501
-371.18073,118,59.358824
-728.326785,171,59.578834
-347.162567,115,59.721956
-520.557544,143,59.90148
-527.188885,126,60.058457
-358.98994,125,60.215517
-581.433917,168,60.425693
-703.674988,136,60.599224
