episode,total_reward,steps,target_x,final_com_x,final_h,failed,final_error
1,-6.543657419762894,1000,-0.09448817735138633,0.014771140956248563,0.7814813633847302,False,0.1092593183076349
2,-16.79031477443641,1000,0.031486602975118516,-0.07077680056603185,0.7954731929176992,False,-0.10226340354115036
3,-11.837902641127585,1000,-0.07726559601571932,0.058602300427654935,0.7282642071132515,False,0.13586789644337427
4,-5.8122267258004285,1000,0.00878828015269964,0.07289479934490267,0.871786961615594,False,0.06410651919220303
5,-35.974631153512746,1000,0.09983522301301428,-0.14319434340587725,0.513940867162217,False,-0.24302956641889153
6,-9.272498048885609,1000,-0.075405525022562,0.044109872765838075,0.7609692044231999,False,0.11951539778840006
7,-4.574288541916758,1000,-0.006413009431255848,0.05730874381967009,0.8725564934981481,False,0.06372175325092594
8,-17.637959483428858,1000,-0.004206909167456613,-0.10481234452701878,0.7987891292808756,False,-0.10060543535956216
9,-19.38573725207243,1000,-0.012550399974098264,-0.12316109622385767,0.7787786075004812,False,-0.1106106962497594
10,-19.826688901986927,1000,0.09138520069067324,-0.046244717950748054,0.7247401627171575,False,-0.1376299186414213
11,-7.0006147614330985,1000,0.02437671855927656,0.08874789726121307,0.8712576425961269,False,0.06437117870193651
12,-9.28241277358029,1000,0.07162609781678178,0.06450366228853097,0.9857551289434984,False,-0.0071224355282508145
13,-11.791596967726946,1000,0.09696069504751109,0.06264414342165106,0.93136689674828,False,-0.03431655162586003
14,-9.773632956872461,1000,0.014491787636529405,-0.018796613414770607,0.9334231978973999,False,-0.033288401051300015
15,-19.521547194570303,1000,0.09518757747803505,-0.03924588692635923,0.7311330711912114,False,-0.1344334644043943
16,-29.22063546453137,1000,0.06048419257318083,-0.13498089196458063,0.6090698309244771,False,-0.19546508453776146
17,-14.969366451841779,1000,-0.09694206868065769,0.0641351403346222,0.6778455819694402,False,0.1610772090152799
18,-3.0598106670659035,1000,-0.07551960203042861,0.003794745135260167,0.8413713056686225,False,0.07931434716568878
19,-22.008161060046405,1000,0.08326994587782993,-0.07294992894245678,0.6875602503594266,False,-0.1562198748202867
20,-3.2708749601151794,1000,-0.010262307947376259,0.03207077457325493,0.9153338349587377,False,0.04233308252063119
