#{"t_start": 1786007691.091199, "env_id": "None"}
r,l,t
-262.313864,71,16.513895
-257.524035,64,16.623976
-254.382652,70,16.728088
-260.986106,59,16.822871
-259.485478,55,16.936764
-261.589955,57,17.039088
-262.707923,76,17.220105
-260.278493,66,17.374381
-262.369571,67,17.593967
-261.963899,61,17.718521
-261.871075,59,17.846175
-258.246308,72,17.957403
-261.162251,58,18.059145
-260.372412,70,18.185062
-262.169794,58,18.267491
-261.467237,61,18.361935
-260.852506,54,18.429513
-261.036282,62,18.512157
-260.917488,58,18.602774
-259.857505,60,18.698315
-262.162424,68,18.857452
-262.448512,64,18.971425
-262.132529,62,19.06916
-262.510509,61,19.177572
-258.170842,55,19.287302
-256.273114,52,19.423025
-259.221559,74,19.608853
-260.941025,53,19.760652
-260.81195,56,19.897964
-260.428459,55,19.995811
-263.788578,75,20.130361
-259.661334,63,20.248348
-259.2493,67,22.948725
-257.298265,53,23.07813
-263.87917,73,23.202219
-262.628595,62,23.29195
-263.052638,66,23.388313
-263.630187,71,23.486577
-263.447381,73,23.586017
-261.999449,68,23.695927
-261.904554,61,23.797648
-262.499993,62,23.897364
-262.660723,64,24.0014
-263.262847,62,24.101411
-262.199006,64,24.193039
-263.765069,73,24.294076
-263.137669,72,24.411129
-260.210973,57,24.522729
-263.382515,67,24.685137
-261.787142,67,24.801876
-262.368988,68,24.915756
-262.059632,58,25.005803
-259.411271,64,25.106701
-261.388447,55,25.224415
-261.561632,59,25.41719
-261.665908,64,25.600816
-260.412648,69,25.716566
-263.926687,68,25.851217
-258.808001,66,25.986132
-261.98996,72,26.134856
-257.360127,70,26.286153
-258.357868,71,26.453616
-260.097895,66,26.573708
-260.666712,62,26.68024
-258.046917,68,29.25758
-259.929134,67,29.399618
-260.963333,62,29.529414
-262.166194,56,29.648801
-263.197777,67,29.759194
-262.788727,69,29.864275
-260.287837,68,29.976948
-261.18428,67,30.086479
-260.819178,66,30.187985
-259.418214,59,30.283957
-257.740127,62,30.382884
-260.051062,76,30.503773
-262.931936,71,30.620717
-263.000552,74,30.738915
-262.601847,65,30.840378
-263.544817,68,30.950459
-261.30422,67,31.059444
-260.942793,57,31.146384
-263.242402,75,31.261922
-261.960415,65,31.367113
-262.009043,62,31.465137
-262.089089,72,31.576959
-258.211944,76,31.711404
-260.861345,61,31.806782
-264.23569,74,31.962177
-258.91567,68,32.079712
-259.410008,61,32.176193
-263.400905,75,32.326422
-263.288303,72,32.498789
-260.29226,75,32.618154
-258.43163,68,34.98721
-263.025769,70,35.142829
-258.2307,66,35.253606
-262.737472,75,35.372432
-260.801867,69,35.501513
-264.28494,78,35.637156
-258.62958,63,35.774452
-263.25711,67,35.900655
-264.789858,80,36.028825
-258.292696,73,36.143318
