episode,total_reward,steps,target_x,final_com_x,final_h,failed,final_error
1,1659.871459390968,1000,0.009918737534611893,0.008294449758343717,0.9967514244474637,False,-0.0016242877762681768
2,1656.9593421458267,1000,-0.04500612641879238,-0.04663520989394029,0.9967418330497042,False,-0.0016290834751479036
3,1672.9266388714314,1000,0.04691543028184292,0.045924890663072045,0.9980189207624582,False,-0.0009905396187708734
4,1681.1690322086215,1000,0.0743270548375313,0.07399675591322293,0.9993394021513833,False,-0.0003302989243083726
5,1641.5275685621891,1000,-0.0902484578545664,-0.09356682892333505,0.9933632578624627,False,-0.003318371068768658
6,1664.103753272444,1000,0.035983532232804455,0.035123275878150985,0.998279487290693,False,-0.00086025635465347
7,1679.9960248321295,1000,0.05941388575040926,0.058593416069660474,0.9983590606385024,False,-0.000820469680748788
8,1656.3431413047947,1000,-0.07860928070544514,-0.08226965031580502,0.9926792607792803,False,-0.0036603696103598843
9,1665.2572321123444,1000,-0.09468245310648056,-0.09852195813142244,0.9923209899501162,False,-0.003839505024941875
10,1649.656305535318,1000,-0.014898200519004673,-0.016547455602488936,0.9967014898330315,False,-0.0016492550834842634
11,1674.6404380649328,1000,0.08966569065835503,0.08916239797827356,0.998993414639837,False,-0.0005032926800814658
12,1667.3026546537876,1000,0.0792618747409361,0.0787476637839045,0.9989715780859368,False,-0.0005142109570315939
13,1663.3837709873915,1000,0.08208143561316758,0.08177004144860041,0.9993772116708657,False,-0.00031139416456717195
14,1672.3543117132504,1000,-0.006566249217829598,-0.00829027714623698,0.9965519441431853,False,-0.0017240279284073817
15,1661.0716297312829,1000,-0.008598064878225745,-0.010456577094763803,0.9962829755669239,False,-0.001858512216538058
16,1650.6027885859367,1000,-0.09113915684234304,-0.09410098453405101,0.9940763446165841,False,-0.002961827691707969
17,1677.007120937109,1000,0.047277174102657304,0.04625012614611418,0.9979459040869137,False,-0.0010270479565431256
18,1654.0994227576884,1000,-0.004927806054012801,-0.006759755527203913,0.9963361010536178,False,-0.0018319494731911115
19,1659.3841563697788,1000,-0.0376669164352359,-0.039757953042968315,0.9958179267845352,False,-0.0020910366077324175
20,1649.1532474979758,1000,0.03881357647151734,0.03751217671191533,0.9973972004807959,False,-0.001301399759602015
