#{"t_start": 1786305998.812133, "env_id": "None"}
r,l,t
-113.024928,31,6.463806
-114.382132,51,6.536819
-170.144537,31,6.584322
-130.131946,31,6.629314
-118.891229,46,6.695954
-142.842473,39,6.752296
-142.563447,20,6.782659
-117.092097,50,6.855905
-116.13386,61,6.946307
-110.627858,52,7.018651
-141.669088,37,7.071498
-115.24604,62,7.160715
-125.055242,36,7.211655
-120.046847,40,7.267568
-111.111489,51,7.345063
-114.237445,48,7.415895
-119.763805,58,7.531528
-142.115394,45,7.619574
-124.870897,31,7.663672
-116.318563,34,7.713823
-153.134099,76,7.834772
-145.561216,56,7.916793
-168.575757,31,7.963728
-157.001681,31,8.007805
-134.845096,38,8.064029
-159.242167,159,8.292233
-155.096882,86,8.412686
-104.653991,34,8.459527
-130.932156,43,8.518788
-183.380217,31,8.562262
-156.242718,31,8.604661
-138.831955,39,8.658911
-143.666463,52,8.730518
-154.288776,19,8.757897
-159.881856,31,8.800995
-150.339414,31,8.845099
-132.830856,52,8.918188
-139.048573,68,9.010594
-145.174997,31,9.050696
-132.755878,31,9.095885
-142.924054,31,9.137835
-149.457888,106,9.281516
-156.138359,35,9.328702
-161.209217,31,9.373785
-106.477876,36,11.314731
-145.254069,31,11.362524
-160.46956,147,11.581129
-107.1212,31,11.625542
-111.32242,31,11.668961
-331.379341,180,11.91451
-120.365402,85,12.032975
-141.325968,41,12.092756
-118.307289,32,12.139195
-345.080708,159,12.358838
-154.837683,48,12.423085
-667.538286,195,12.684874
-162.396171,84,12.802465
-136.894725,118,12.962202
-171.322237,64,13.048084
-375.483835,210,13.329015
-115.660915,36,13.380105
-146.862452,31,13.421398
-146.786873,52,13.492279
-771.13652,117,13.710377
-220.066611,110,13.884465
-117.496815,61,13.968589
-711.820801,240,16.235883
-185.545364,105,16.387331
-107.24095,42,16.446437
-128.35394,78,16.554481
-127.65542,104,16.700773
-110.87781,40,16.757435
-113.835861,62,16.842985
-130.321395,38,16.895755
-127.719506,104,17.040694
-120.561007,66,17.132071
-122.936399,63,17.215461
-105.672957,36,17.261299
-147.867924,69,17.349104
-122.765099,77,17.442691
-472.354605,129,17.597597
-121.172286,88,17.705174
-141.156664,24,17.737095
-116.41504,31,17.801371
-132.876733,69,17.906264
-108.524574,50,17.978428
-111.378704,45,18.038259
-134.131774,73,18.13451
-106.793504,38,18.189409
-411.196955,218,18.478842
-129.905734,39,18.532047
-151.446744,31,18.57259
-130.493504,56,18.649824
-110.368216,31,18.691952
-138.742395,51,18.760325
-606.104903,184,20.943772
-128.985881,46,21.019155
-109.482065,31,21.062259
-115.861157,48,21.122512
-154.866027,32,21.167131
-571.581579,314,21.596105
-122.059041,77,21.702717
-180.770766,127,21.877896
-124.488443,31,21.917358
-125.309682,31,21.956975
-262.502148,120,22.101044
-250.978799,111,22.232673
-151.325524,46,22.288798
-217.485151,155,22.480993
-293.239117,139,22.673438
-114.978832,107,22.816865
-114.899517,31,22.859753
-145.626235,97,22.990857
-143.921235,81,23.095627
-110.302892,40,23.14873
-552.192134,195,23.404149
-117.435131,31,23.444559
-659.337665,140,25.538351
-522.77909,120,25.713091
-104.842492,37,25.761168
-706.794278,186,26.014661
-710.221031,200,26.287066
-107.522773,47,26.3514
-490.372672,139,26.541795
-137.843099,32,26.586003
-123.726467,74,26.684609
-136.92028,183,26.920094
-508.943251,167,27.136673
-477.544976,140,27.32114
-138.74436,31,27.361195
-126.722557,90,27.480011
-498.129649,139,27.667878
-657.235418,159,27.873496
-475.073274,126,28.04853
-568.152076,160,30.128594
-583.686626,171,30.369444
-122.201137,80,30.476725
-152.936918,39,30.529566
-540.811642,186,30.782666
-164.67289,108,30.932852
-245.471057,190,31.189816
-578.194009,155,31.375069
-321.3781,142,31.542139
-587.810095,165,31.732542
-618.667046,150,31.908478
-170.102585,89,32.021954
-109.345325,35,32.070707
-122.536908,63,32.158404
-131.376389,65,32.245338
-116.864519,111,32.388553
-731.819045,148,32.58568
-301.872735,125,34.582335
-221.824776,142,34.800318
-616.265278,129,34.972918
-444.275994,113,35.118972
-478.838741,178,35.349986
-529.346366,135,35.528803
-114.71305,54,35.601789
-126.564115,66,35.686655
-148.158841,119,35.848325
-124.798526,31,35.887482
-162.632559,172,36.109722
-160.529153,152,36.314968
-555.488256,133,36.499329
-697.328997,195,36.767612
-170.49378,113,36.916962
-122.246919,61,36.994412
-618.295578,208,37.279768
-146.209456,78,39.230568
-432.393442,208,39.522197
-134.01455,89,39.64034
-508.850289,225,39.937365
-113.163302,60,40.014651
-120.628279,63,40.098132
-119.735643,39,40.15233
-154.38544,80,40.258788
-130.513007,101,40.389348
-129.925059,150,40.583576
-468.860885,156,40.785472
-138.572194,31,40.828707
-108.316395,38,40.876428
-108.980266,32,40.918797
-197.439047,178,41.149034
-523.565247,146,41.343257
-149.497964,52,41.411846
-244.407073,290,41.788182
-164.461248,169,43.873849
-321.177612,141,44.063273
-137.033349,82,44.173879
-113.177796,47,44.237502
-438.148697,145,44.43162
-476.520948,148,44.627356
-145.845668,85,44.73716
-120.42502,39,44.789067
-144.737916,115,44.939868
-123.071334,72,45.031363
-326.505035,147,45.220707
-468.771439,141,45.404645
-562.385939,144,45.598058
-186.951608,102,45.733332
-211.920698,128,45.901969
-153.511676,167,46.116769
-181.600766,101,46.24911
-136.737416,73,46.346543
-115.879689,44,46.404096
-139.133668,74,48.37925
-242.284777,106,48.538396
-229.86943,116,48.751623
-144.610859,103,48.899043
-775.836718,177,49.135265
-168.417769,111,49.283384
-120.478999,97,49.414742
-492.916162,152,49.619019
-210.032714,95,49.735653
-146.948354,91,49.847251
-610.511708,235,50.135313
-553.450856,185,50.380551
-318.830505,138,50.560495
-440.194883,141,50.744769
-256.602873,122,50.906665
-142.938925,97,51.033355
-108.098079,57,53.014643
-213.569027,175,53.261361
-104.348904,21,53.287966
-621.193452,174,53.517407
-117.925168,109,53.659527
-185.16036,128,53.829765
-115.84183,60,53.908669
-119.454718,44,53.96838
-131.95272,65,54.054675
-115.719913,41,54.110978
-122.095164,134,54.284985
-373.295101,136,54.462402
-109.802029,47,54.524397
-660.001562,149,54.718442
-170.054201,146,54.90946
-137.890102,165,55.123971
-120.53456,61,55.20588
-109.294119,57,55.280128
-110.019292,31,55.320988
-195.974695,161,55.532067
-159.509243,76,55.631269
-117.175192,32,55.672546
-222.533201,112,57.72892
-114.105633,56,57.810667
-166.406958,112,57.959341
-124.855994,71,58.050776
-153.390138,70,58.141238
-234.260292,132,58.310863
-367.474601,143,58.502138
-176.457993,133,58.675508
-512.57077,133,58.845178
-391.556662,105,58.987527
-222.730485,101,59.140939
-201.294067,121,59.296175
-147.5242,28,59.33284
-139.226633,84,59.445207
-120.503196,31,59.483994
-392.439642,155,59.689086
-121.212766,68,59.777924
-162.02213,114,59.928655
-205.066504,133,60.101578
-125.587468,94,60.239398
-124.995291,76,62.335947
-125.909041,71,62.448989
-153.246256,149,62.65455
-123.056937,64,62.739921
-447.796555,130,62.910962
-155.975328,67,62.998507
-237.579876,121,63.197977
-117.996197,66,63.293619
-109.270913,42,63.349451
-159.105399,88,63.470819
-131.832849,54,63.542651
-152.375699,132,63.722856
-208.397413,138,63.908116
-120.212111,106,64.046498
-135.830935,65,64.129698
-217.558008,111,64.276786
-195.03821,111,64.424209
-111.972094,73,64.523578
-148.271603,105,64.661158
-134.298843,89,64.779889
-117.025435,64,64.869374
-123.945572,72,64.964147
-187.59154,122,65.128901
-116.46465,63,67.059005
-113.50042,37,67.117664
-109.370427,35,67.168008
-119.431928,34,67.209253
-353.420466,147,67.404715
-176.398842,158,67.618768
-123.747717,112,67.767191
-113.14616,34,67.811521
-533.006158,195,68.067026
-113.332242,45,68.130274
-113.885621,63,68.211036
-141.749829,48,68.278659
-358.304073,260,68.628772
-203.594415,250,68.964502
-113.17242,44,69.02201
-128.236303,96,69.148379
