#{"t_start": 1786519915.7360764, "env_id": "None"}
r,l,t
-166.562735,31,5.087282
-128.282812,31,5.282639
-112.921908,48,5.569485
-154.946388,31,5.737612
-128.777692,118,6.416842
-160.624475,58,6.753668
-125.745574,31,6.945471
-123.337769,96,7.536664
-118.847668,54,7.836822
-152.707154,44,8.11664
-158.650323,49,8.402214
-148.904107,39,8.61724
-144.410447,40,8.877997
-136.010951,48,9.169962
-123.261501,35,9.382161
-140.561242,31,9.567143
-153.695344,110,10.166905
-122.894349,79,10.593014
-163.335802,31,10.753328
-118.450276,41,10.972187
-110.378416,37,11.15231
-145.715584,105,11.661544
-112.257553,33,11.82768
-117.807902,37,12.043951
-120.137939,92,12.60082
-163.800236,105,13.287411
-119.278297,25,13.446464
-158.010624,31,13.631999
-162.657944,31,13.826568
-161.108981,31,14.025785
-120.576128,74,14.463222
-131.693887,81,14.899442
-139.271245,31,15.092179
-238.729109,134,15.828268
-186.657329,121,16.336528
-172.029759,69,23.386373
-146.82839,161,24.28428
-151.42013,31,24.48802
-231.767728,113,25.210982
-125.48109,54,25.56094
-116.414045,62,25.979714
-119.107684,26,26.127355
-168.21056,31,26.313541
-156.818076,31,26.508351
-155.243764,31,26.698587
-117.295919,58,27.073842
-146.549808,43,27.358276
-119.183041,41,27.621003
-130.571482,51,27.923408
-150.766794,44,28.178728
-113.538619,31,28.33652
-116.852961,39,28.637495
-144.643201,59,29.014887
-165.786862,109,29.633943
-170.703541,31,29.793857
-157.69944,31,29.977622
-120.465811,47,30.297316
-160.842401,31,30.466919
-133.76354,43,30.710149
-145.534428,43,30.970944
-308.371925,180,32.036088
-131.03489,49,32.303986
-370.453182,111,33.014261
-114.748961,28,33.190623
-161.813855,31,33.41958
-127.499193,31,33.586063
-125.658861,98,34.065269
-138.025843,43,34.315262
-135.724049,66,34.625998
-148.081698,81,35.091281
-195.404877,123,42.287117
-115.348003,36,42.437971
-126.322964,25,42.555406
-137.056848,32,42.698477
-258.546258,157,43.200776
-114.805202,74,43.310318
-143.641293,37,43.364288
-135.527147,105,43.523127
-119.82944,49,43.597363
-162.960735,32,43.639366
-140.109847,77,43.731422
-128.544098,51,43.791478
-130.170645,157,43.970192
-129.253205,37,44.015458
-139.097924,63,44.107366
-120.421127,63,44.177034
-125.913399,51,44.235356
-121.988736,33,44.276232
-171.653836,108,44.405831
-149.565984,32,44.4426
-178.266063,126,44.584668
-109.423698,39,44.643808
-142.604982,37,44.684727
-138.263225,107,44.802317
-141.778422,90,44.902643
-162.051158,31,44.943397
-122.104769,55,45.001518
-199.903429,104,45.113202
-116.353829,31,45.149209
-123.676461,43,45.200333
-425.935432,141,47.312446
-131.364253,31,47.385667
-136.608401,39,47.496011
-289.007194,163,47.901546
-164.852555,149,48.185699
-578.305066,161,48.632987
-692.70785,207,49.272686
-140.523593,58,49.459159
-134.602916,121,49.67261
-135.914279,53,49.735904
-161.611902,100,49.852416
-120.492801,73,49.953863
-147.631619,168,50.224369
-725.783603,251,50.571687
-154.128329,121,50.739661
-121.599731,70,50.839021
-172.763037,67,50.933515
-290.865368,167,51.152456
