#{"t_start": 1786525393.297994, "env_id": "None"}
r,l,t
-135.858386,55,4.837369
-143.434573,31,4.889097
-142.49645,44,4.953421
-125.195722,42,5.013115
-126.404134,50,5.08909
-151.401911,31,5.133428
-111.081933,32,5.182712
-114.744652,31,5.220321
-129.590154,57,5.307293
-126.20467,35,5.363132
-121.107076,31,5.405243
-124.549281,31,5.452447
-146.257257,43,5.507305
-162.383382,57,5.607007
-634.816808,145,5.973142
-144.993904,80,6.202722
-131.89857,46,6.297326
-124.04089,48,6.362518
-200.026233,115,6.532509
-137.382477,31,6.597291
-160.848492,31,6.677334
-108.267885,35,6.771964
-114.56783,32,6.856438
-132.856519,23,6.908383
-165.694713,31,7.014603
-268.868958,150,7.445478
-177.061454,31,7.503248
-151.182967,31,7.557371
-175.388527,106,7.748868
-167.029901,31,7.817049
-152.159464,81,8.027334
-127.869325,31,8.099012
-138.013655,31,8.170605
-148.100555,35,8.25036
-135.525628,31,8.314721
-161.054064,31,8.375248
-146.855612,37,8.460713
-111.021379,31,8.524059
-236.505646,129,8.821923
-115.492925,56,8.919504
-149.484467,31,11.100382
-114.297792,74,11.207325
-125.704699,84,11.337409
-155.739401,31,11.384744
-156.029588,81,11.507274
-147.146913,53,11.577174
-145.882542,31,11.629307
-124.936837,45,11.707118
-137.744823,36,11.762208
-160.625263,46,11.823329
-111.025247,31,11.879756
-113.280305,46,11.952135
-680.150088,216,12.337993
-131.101391,33,12.387265
-118.087977,67,12.501852
-148.397345,93,12.663917
-600.664283,154,12.843081
-129.137455,80,12.931378
-151.485534,31,12.964856
-154.025461,38,13.006976
-137.327909,31,13.042027
-164.589017,97,13.184335
-121.196812,31,13.232425
-116.938474,31,13.277244
-125.649107,31,13.30755
-131.086982,51,13.377251
-161.619942,31,13.417299
-160.710754,35,13.457447
-126.981736,56,13.537587
-341.349613,131,13.979445
-149.952251,31,14.113436
-118.575549,32,14.2382
-683.943962,148,14.944349
-120.049423,70,21.687477
-112.54272,61,21.954174
-133.901072,31,22.102356
-157.273203,109,22.647224
-322.929295,138,23.259302
-152.387762,31,23.391186
-119.533279,31,23.523219
-129.056114,31,23.657195
-140.790806,29,23.780271
-498.557036,160,24.48967
-148.176779,34,24.62579
-407.945613,175,25.330039
-178.876823,60,25.569354
-152.264559,31,25.70326
-145.861067,79,26.223769
-113.044377,65,26.594916
-155.884465,142,27.478263
-110.971563,31,27.747352
-122.201196,40,27.970244
-147.128907,73,28.42254
-162.689851,139,29.307429
-127.156369,39,29.563513
-169.276991,54,29.872895
-188.511347,74,30.309397
-123.654614,31,30.49676
-150.919641,31,30.680362
-136.699708,71,31.117997
-137.308133,145,31.972315
-110.710436,34,32.163864
-129.963652,128,39.418491
-151.698819,73,39.737589
-648.4666,168,40.739824
-312.779075,118,41.435891
-518.854431,186,42.518048
-109.953465,48,42.813777
-131.696034,59,43.169682
-477.934065,118,43.868683
-139.161152,157,44.790559
-143.131632,143,45.641079
-418.77159,161,46.585796
-566.943449,146,47.468495
-587.311779,174,48.546487
-159.853211,49,48.832235
-585.398733,144,49.734046
-140.38155,37,49.928573
-265.949961,125,50.61857
-199.643163,129,57.798441
-623.178918,238,58.905692
-686.679989,168,59.61296
-540.753356,136,60.165627
-695.900531,152,60.831477
-708.412881,241,61.917094
-143.939344,145,62.572528
-549.480596,163,63.434858
-400.397039,189,64.524817
-118.543896,31,64.709598
-598.549603,164,65.685077
-180.011168,103,66.301747
