#{"t_start": 1786685910.0037668, "env_id": "None"}
r,l,t
-108.247131,50,1.871458
-112.103175,44,1.947676
-71.0907,77,2.031967
-118.52709,31,2.078156
-125.372871,31,2.111798
-71.014277,80,2.201273
-126.719082,31,2.237929
-108.663841,41,2.282073
-104.164846,40,2.325332
-116.662725,38,2.365464
-119.940572,31,2.4001
-111.368294,31,2.433447
-112.788986,45,2.481219
-111.274711,31,2.514168
-85.070255,59,2.578271
-121.32951,31,2.611123
-124.462371,31,2.644254
-122.171238,31,2.677989
-117.71048,35,2.717951
-114.450494,31,2.751114
-117.344542,32,2.787014
-115.662785,34,2.82891
-96.83219,64,2.911463
-124.425279,22,2.937118
-84.896942,70,3.018092
-96.262428,69,3.09797
-107.942059,31,3.136188
-121.46694,31,3.169964
-110.861083,38,3.209522
-123.615827,31,3.248915
-121.956555,31,3.283287
-114.484263,35,3.321989
-106.434472,40,3.371445
-111.436944,31,3.405279
-121.933834,35,3.446018
-117.370061,35,3.48814
-113.688105,34,3.537082
-117.873531,31,3.579337
-122.171908,31,3.627578
-118.614822,31,3.679841
-117.832405,36,3.731083
-117.825932,31,3.76609
-120.160705,31,3.799216
-110.03084,27,3.83514
-113.648049,31,3.873801
-56.509827,77,3.970489
-112.985347,43,4.017939
-92.295377,67,4.101111
-112.796269,42,4.161297
-116.300733,37,4.238578
-117.371395,32,4.322235
-127.061558,31,5.575439
-90.179199,70,5.686826
-105.666457,31,5.735196
-113.94456,41,5.805855
-112.615468,32,5.874618
-111.365182,45,5.967394
-109.661352,43,6.042758
-110.454316,31,6.078007
-96.158618,74,6.159586
-110.006054,34,6.196854
-124.956084,31,6.229104
-100.791335,44,6.2877
-120.378048,31,6.343163
-79.11623,77,6.544773
-76.307104,53,6.707139
-126.901667,31,6.801655
-122.267186,31,6.885099
-89.597883,58,7.046627
-106.950901,42,7.162491
-99.783894,44,7.296779
-115.731842,27,7.355665
-113.5114,38,7.414733
-81.71783,75,7.52579
-42.801152,81,7.612249
-118.789847,38,7.653286
-106.595233,52,7.730969
-56.311791,68,7.813191
-123.342194,31,7.849923
-114.304895,33,7.890871
-68.731144,70,7.966701
-113.609526,37,8.008057
-119.712329,36,8.053761
-105.828517,31,8.103976
-88.145518,80,8.21959
-119.313061,31,8.256105
-121.140474,31,8.290406
-125.542069,31,8.325147
-123.476935,31,8.363188
-91.878767,75,8.457786
-107.770383,34,8.493764
-68.870558,69,8.589961
-111.809645,42,8.676263
-89.382512,49,8.757381
-113.550595,31,8.80149
-120.822369,31,8.841406
-117.784745,33,8.902644
-118.256003,33,10.412816
-89.631333,65,10.497653
-109.87924,45,10.559642
-97.299066,52,10.624359
-122.641231,31,10.658381
-114.645154,40,10.725173
-110.920846,32,10.776478
-108.306461,49,10.839691
-113.644964,33,10.876086
-119.402459,31,10.909686
-120.777694,31,10.943691
-57.156416,74,11.022863
-104.076131,31,11.05712
-71.062688,88,11.151132
-32.475378,139,11.299754
-115.864085,31,11.334204
-116.535661,31,11.367521
-72.703229,55,11.425848
-94.223583,46,11.475786
-118.20665,31,11.511373
-95.221472,40,11.555195
-112.857781,41,11.599882
-110.547578,43,11.645617
-123.624733,31,11.680098
-102.987466,52,11.740139
-101.320374,52,11.803016
-109.072988,41,11.851184
-118.461099,33,11.888284
-116.073012,43,11.936356
-96.353985,66,12.013473
-115.700219,31,12.047207
-113.263177,38,12.088042
-103.155084,41,12.136019
-112.34186,45,12.188091
-113.061914,45,12.243342
-131.592001,31,12.28452
-115.074764,40,12.357323
-120.929033,31,12.416591
-114.101756,39,12.470728
-113.637566,43,12.517788
-120.734356,31,12.55164
-28.433157,91,12.666712
-123.202416,31,12.712741
-93.03751,68,12.802354
-95.774745,37,12.841996
-69.718663,87,14.391353
-110.593681,52,14.465697
-86.680477,57,14.581861
-84.864551,69,14.716545
-98.649874,52,14.778452
-105.306313,56,14.837833
-57.560734,71,14.923439
-98.628652,34,14.964942
-61.970331,119,15.094569
-100.945739,38,15.135376
-82.792639,73,15.242618
-117.722872,40,15.298542
-78.275021,67,15.385771
-44.591435,130,15.568855
-79.435457,45,15.623851
-116.551857,32,15.665093
-118.068316,32,15.700763
-95.660698,68,15.785281
-38.16777,87,15.886778
-58.485754,61,15.954459
-72.732712,90,16.059471
-111.556238,44,16.10966
-122.569424,31,16.153534
-112.12517,52,16.212209
-28.625844,97,16.329779
-106.626945,51,16.38521
-46.750558,73,16.468601
10.416755,142,16.635407
-55.496025,78,16.71956
-97.94667,51,16.785784
-71.358442,77,18.066467
-38.200225,80,18.188507
-10.645401,118,18.394304
-71.9347,67,18.469096
19.52293,174,18.674697
118.676999,262,18.959164
-114.77128,38,19.003065
-2.820288,158,19.172574
-78.287489,74,19.251111
-67.496535,75,19.331968
-61.062048,63,19.399345
