#{"t_start": 1785762965.9251575, "env_id": "None"}
r,l,t
-126.847401,40,1.951124
-112.386751,50,2.017496
-404.905758,75,2.130017
-444.717382,161,2.406823
-120.078341,34,2.470426
-332.63818,55,2.57963
-514.57513,61,2.676748
-128.946359,70,2.754268
-316.573371,60,2.822821
-269.448276,87,2.933875
-508.73966,81,3.022979
-500.869444,98,3.131615
-235.465694,59,3.193616
-512.25233,50,3.246174
-124.531766,78,3.338337
-517.066973,57,3.40234
-189.745307,98,3.502741
-137.14054,136,3.643774
-325.080392,47,3.694622
-522.205272,80,3.781773
-512.994482,52,3.835137
-261.091103,59,3.898168
-513.635712,56,3.959655
-110.643228,100,4.064978
-510.92849,57,4.14818
-425.188768,66,4.248273
-433.958282,143,4.438378
-135.4726,134,6.530581
-433.315005,69,6.621897
-531.34111,113,6.737466
-556.947742,189,6.916989
-180.28557,61,6.974501
-522.258847,72,7.044021
-396.157491,70,7.111029
-120.764521,128,7.278143
-496.909481,183,7.472178
-476.278855,176,7.639291
-271.366827,152,7.784814
-510.969737,145,7.926444
-373.187546,159,8.096024
-502.399955,77,8.168558
-522.826466,67,8.233078
-335.678979,153,8.391615
-462.433087,140,10.822088
-427.890755,71,10.948501
-387.356442,138,11.194035
-512.074409,63,11.290574
-111.84723,110,11.453639
-178.460747,62,11.552225
-201.192751,166,11.810397
-300.512477,67,11.889958
-172.359284,169,12.182704
-527.807378,110,12.327746
-498.006779,123,12.480274
-121.016514,82,12.575813
-213.703839,68,12.651383
-253.230619,153,12.850472
-527.740881,89,12.96704
-104.178195,47,13.028571
-386.515683,151,13.224689
-117.065357,42,13.279659
-485.132824,77,13.380192
-155.219502,126,13.557263
-247.716588,151,15.779471
-191.318193,146,16.024762
-188.105956,118,16.195304
-136.236082,220,16.517049
-237.269807,165,16.742384
-134.822871,221,17.136079
-380.503028,54,17.266605
-463.245631,167,17.659581
-279.282594,118,17.963261
-174.498269,182,18.32648
-424.037767,264,18.698637
-263.952996,149,18.899208
-498.917111,205,19.238429
-472.545313,43,21.69438
-259.896565,164,21.997287
-290.859261,160,22.233111
-251.149282,184,22.513889
-261.876864,134,22.677933
-108.79356,148,22.894815
-212.512154,70,22.984966
-240.900815,166,23.192807
-106.096639,247,23.683895
-100.990095,149,23.912006
-287.140638,152,24.108111
-344.781391,72,24.210151
-225.666593,188,24.572533
-123.254033,135,24.863933
-94.407524,252,27.500444
-101.635789,122,27.685431
-118.371163,139,27.877206
-56.540894,181,28.130255
-520.328149,186,28.41706
-130.981882,332,28.827132
-295.213641,299,29.211818
-216.539045,154,29.529105
-58.672527,143,29.803972
-41.662435,245,30.209005
-165.665514,134,32.598366
-86.060171,192,32.959095
-142.398729,222,33.345513
-83.053613,211,33.735898
-47.04526,166,34.159234
-206.378678,123,34.483537
-261.455198,144,34.909796
-307.116377,213,35.341537
-274.174227,182,35.67325
-176.172279,267,36.219736
-252.829582,193,36.468636
-193.610032,82,38.745201
-301.975065,226,39.353477
-162.301992,177,39.722098
-43.651086,218,40.128913
-161.671543,181,40.384528
-146.171719,253,40.734398
-127.855291,114,41.094052
-151.79882,179,41.358025
47.597616,280,41.931754
-155.879279,294,42.418011
-170.82145,188,45.005719
-196.07853,271,45.441407
29.724607,277,45.840497
-183.844665,235,46.177232
-134.998595,156,46.403148
-20.922475,257,46.77206
-9.648267,219,47.085322
-373.146025,159,47.315058
-103.247375,165,47.552645
12.684777,312,50.436028
42.40568,389,51.009525
-192.523375,208,51.283751
-75.74144,192,51.535397
-183.904641,75,51.633917
-39.73306,204,51.947237
-148.356402,206,52.296204
-143.376691,245,52.675362
-122.601773,225,53.018005
-71.045121,185,53.284972
-67.529744,248,56.19627
-64.199151,225,56.537406
-15.93428,350,57.028017
-139.812729,296,57.585569
-137.847939,188,57.868572
-20.020291,312,58.324598
29.286541,249,58.705731
-4.448075,450,61.318374
41.994607,472,62.010573
134.608085,436,62.575527
274.863448,769,63.798291
660.23625,1000,68.101365
159.884342,648,69.130354
531.080395,1000,72.785528
570.258565,1000,74.248618
676.942881,1000,78.516246
721.478047,1000,80.007908
808.786338,1000,84.03116
780.270219,1000,86.294533
785.645072,1000,90.102773
769.191948,1000,91.850291
867.106288,1000,95.929729
935.136204,1000,97.374761
974.100714,1000,100.927616
920.408041,1000,102.297582
976.334694,1000,106.289643
1023.424226,1000,108.378178
1020.70333,1000,112.239273
1037.131688,1000,113.642318
965.563295,1000,117.956589
1037.703335,1000,119.269437
1065.814972,1000,122.784628
1127.449004,1000,124.766734
1028.500034,1000,126.483392
1074.121084,1000,129.841812
1117.520933,1000,131.149081
1162.85583,1000,134.872219
1164.064826,1000,136.40083
1159.858915,1000,140.637952
1194.907542,1000,142.056211
1210.088118,1000,145.888085
1189.686851,1000,147.267958
1244.308628,1000,151.578666
1231.571747,1000,152.787014
1221.106623,1000,156.765234
1223.568169,1000,158.585934
1251.199077,1000,162.849848
1229.227833,1000,164.676576
1286.649936,1000,168.254092
1304.413876,1000,171.16556
1375.96641,1000,176.145891
1325.039898,1000,178.195653
1347.316024,1000,183.125345
1378.924243,1000,185.271379
1362.543407,1000,189.840066
1414.906933,1000,191.95873
1404.493727,1000,196.453104
1392.995602,1000,198.489238
1449.787182,1000,202.395437
1479.765605,1000,205.333061
1412.7132,1000,209.418751
1539.363737,1000,210.906141
1526.683497,1000,214.581935
1537.249963,1000,217.180842
1496.065566,1000,221.059043
1604.276486,1000,222.79688
1560.401445,1000,226.945841
1599.190876,1000,229.135399
1664.20519,1000,233.271214
1628.322082,1000,235.230566
1633.944132,1000,239.107197
1722.999461,1000,240.829338
1687.880501,1000,244.639344
1714.956718,1000,246.498401
1704.956338,1000,250.264978
1717.77249,1000,252.143047
1703.15075,1000,253.965776
1734.484448,1000,258.283078
1735.883634,1000,259.834673
1763.61928,1000,263.766437
1791.99394,1000,265.803849
1812.203259,1000,269.890285
1808.797696,1000,271.600878
1770.605714,1000,275.803186
1848.742354,1000,277.888312
1771.988626,1000,282.138272
1808.484445,1000,284.071942
1790.89553,1000,288.331966
1770.781,1000,290.089408
1876.039107,1000,294.0828
1825.162618,1000,295.788189
1910.19812,1000,300.11664
1839.527396,1000,301.591392
1836.454516,1000,305.84154
1898.619316,1000,307.327115
1836.109301,1000,311.272202
1842.115765,1000,312.889049
1842.51619,1000,317.076411
1883.235991,1000,319.170611
1900.889115,1000,323.625523
1818.519875,1000,325.617226
1869.145322,1000,329.746639
1912.129404,1000,331.219214
1829.234313,1000,335.036977
1828.921924,1000,336.48975
1839.106027,1000,340.437042
1914.730376,1000,343.04866
1829.482043,1000,347.52759
1865.049242,1000,349.316215
1844.028434,1000,352.907784
1869.942186,1000,354.991195
1844.568172,1000,358.873811
1897.608534,1000,360.811732
