#{"t_start": 1786550073.120255, "env_id": "None"}
r,l,t
-111.80298,44,13.75358
-103.249653,53,13.829117
-86.804756,67,13.918832
-117.365876,31,13.954373
-101.709102,42,14.018688
-81.641575,53,14.091763
-125.098822,31,14.154988
-106.29536,35,14.223029
-115.73072,31,14.273627
-114.51238,30,14.323007
-105.489048,44,14.405549
-117.629809,31,14.456383
-108.484992,35,14.537472
-94.323269,34,14.596997
-121.085742,31,14.645682
-117.400257,32,14.708011
-105.592009,33,14.770231
-117.345111,31,14.823901
-66.714947,101,15.039849
-100.83638,31,15.106721
-121.534913,31,15.157805
-115.171085,31,15.20645
-116.742112,31,15.257056
-113.772978,31,15.306201
-111.829528,31,15.35847
-108.334847,42,15.422241
-120.889812,31,15.476131
-125.802959,31,15.532466
-88.987634,73,15.654686
-119.845916,31,15.704412
-110.942171,31,15.749705
-125.061809,31,15.788456
-109.198769,32,15.843158
-114.727642,31,15.882637
-95.60625,56,15.956132
-115.29905,31,15.998507
-120.590486,31,16.037662
-123.718039,31,16.075954
-110.473952,33,16.124204
-110.613553,31,16.174263
-121.44945,31,16.216673
-81.935867,51,16.29008
-101.460541,40,16.350434
-103.938995,46,16.406849
-108.502609,31,16.45653
-79.419623,51,16.523136
-109.29822,35,16.589869
-116.882947,31,16.620818
-107.807472,30,16.670713
-92.248248,62,16.77107
-107.52417,37,16.821033
-69.541668,89,19.684305
-118.362047,31,19.751256
-116.920866,31,19.818354
-119.711409,31,19.870695
-123.599747,31,19.939888
-119.340058,31,19.989335
-86.125247,66,20.099722
-122.839471,31,20.154903
-70.337095,61,20.242648
-115.133051,31,20.287809
-105.061699,33,20.347583
-109.058964,38,20.492103
-117.647931,31,20.571637
-97.781882,60,20.731415
-115.586477,31,20.820973
-122.231355,31,20.886647
-118.598789,31,20.936894
-68.002881,74,21.044389
-124.460041,31,21.100128
-121.331322,31,21.175232
-103.349082,31,21.224135
-112.888595,31,21.273105
-123.176181,31,21.329331
-83.789936,55,21.409167
-114.562937,31,21.474154
-72.439917,60,21.588614
-93.586968,67,21.721144
-113.079747,31,21.753761
-98.955493,54,21.921237
-95.150395,42,22.062424
-105.905098,45,22.177009
-119.736995,31,22.252389
-120.619746,31,22.316521
-108.847854,39,22.375606
-65.500962,73,22.495831
-106.840861,39,22.555972
-123.629715,31,22.611821
-128.268476,31,22.710727
-107.062936,30,22.794696
-116.001265,31,22.889948
-117.500827,31,22.987158
-100.665483,43,23.098477
-115.50708,31,23.20342
-92.093185,61,23.337421
-92.682423,64,23.486682
-114.651949,31,23.556297
-119.7321,31,23.633935
-122.384233,31,23.703129
-115.64495,31,23.761626
-92.640694,68,23.886496
-116.7389,31,23.944665
-121.549937,31,23.992645
-83.50174,65,26.691552
-96.584527,42,26.781409
-114.465595,31,26.826222
-114.347714,31,26.86749
-91.279069,44,26.947189
-111.835525,36,27.002289
-110.228932,31,27.062398
-113.02601,32,27.111394
-110.981255,32,27.156309
-106.733274,39,27.213274
-86.997447,43,27.279544
-109.47893,31,27.320272
-117.464905,31,27.370541
-92.63157,33,27.420674
-104.166443,45,27.487132
-126.667024,31,27.520637
-118.572318,31,27.570163
-98.165581,31,27.620572
-113.798931,38,27.710042
-128.777439,31,27.787501
-109.098885,32,27.837652
-121.70519,31,27.887892
-113.442584,31,27.935813
-124.031888,31,27.971023
