#{"t_start": 1786551033.8105056, "env_id": "None"}
r,l,t
-129.849534,38,12.778654
-139.750449,31,12.806423
-132.367744,35,12.83871
-138.199602,31,12.857141
-124.507332,33,12.893313
-141.551316,31,12.923575
-130.390776,45,12.956436
-136.206912,31,12.99163
-138.715812,31,13.018418
-139.077885,31,13.044786
-137.084355,31,13.055952
-125.530824,33,13.099231
-135.6064,51,13.144139
-136.379685,31,13.172777
-128.641904,31,13.19854
-131.625501,31,13.225762
-130.407436,45,13.284176
-130.106725,31,13.306176
-142.666043,31,13.355477
-134.598046,39,13.415627
-135.4614,52,13.629975
-136.306088,31,13.757439
-130.108691,40,13.874969
-132.820603,40,14.024891
-134.570497,21,14.108548
-121.81609,35,14.256593
-134.628097,31,14.360106
-128.83989,31,14.475836
-139.240082,31,14.589017
-137.078924,31,14.69265
-135.829129,31,14.822093
-134.113617,31,14.953329
-121.309806,51,15.225196
-136.9358,31,15.395609
-143.959548,31,15.573015
-150.194743,31,15.786584
-133.812954,27,15.935653
-119.999918,36,16.076737
-135.461087,76,16.283112
-137.750595,31,16.348105
-136.818743,31,16.423561
-132.621341,31,16.515378
-148.252107,31,16.581081
-143.113319,31,16.657566
-122.424136,31,16.739637
-137.071706,31,16.84218
-131.366259,31,16.931843
-128.563437,40,17.014845
-128.496803,48,17.096088
-135.598413,31,17.142853
-130.624662,31,17.189979
-132.369248,31,17.241092
-137.802786,31,17.299155
-129.685285,29,17.340722
-132.419948,32,17.399329
-133.720354,31,17.441746
-112.924148,64,17.538297
-131.382564,67,19.955841
-132.489793,31,20.022624
-136.089814,31,20.091901
-134.44457,31,20.139028
-130.794746,31,20.194722
-118.853754,45,20.2615
-128.22244,38,20.336052
-131.36368,31,20.40709
-126.216317,31,20.481229
-140.046152,31,20.522609
-133.863235,34,20.57277
-128.343962,48,20.639171
-140.248472,31,20.689256
-132.283956,31,20.722851
-126.781707,81,20.841178
-130.862425,32,20.905154
-129.656399,36,20.96901
-140.73293,31,21.022266
-127.262994,36,21.157207
-130.074,110,21.41764
-131.165855,31,21.489459
-141.04873,31,21.543886
-125.51993,48,21.663882
-127.946151,31,21.730629
-112.743071,57,21.858615
-125.031313,41,21.939169
-122.226906,31,22.044136
-128.518411,39,22.193583
-129.331918,31,22.239244
-132.613156,59,22.347589
-134.769909,31,22.390901
-128.449375,38,22.474298
-134.509286,31,22.567811
-132.741664,41,22.653808
-132.556768,31,22.713348
-134.01949,45,22.796749
-125.829514,34,22.874045
-125.103781,31,22.93999
-133.520374,31,23.007493
-143.547623,31,23.072565
-133.46264,31,23.143164
-137.74105,31,23.20656
-128.984547,31,23.281904
-130.204838,31,23.354596
-139.83266,31,23.415798
-139.097753,31,23.504198
-134.552869,31,23.589184
-134.900881,31,23.659601
-125.452389,49,23.771705
-139.068324,31,23.839173
-113.78888,53,23.971899
-135.696205,31,24.072834
-138.733023,31,24.145638
-137.731561,31,24.22706
-116.841057,48,26.778025
-129.880102,31,26.839559
-127.210406,35,26.925864
-132.215204,31,26.994531
-113.998873,59,27.089187
-115.630333,69,27.269315
-122.503882,50,27.37904
-123.448459,33,27.429141
-146.094503,31,27.472345
-137.951293,31,27.516365
-130.438023,38,27.602742
-132.065295,31,27.67493
-119.756292,64,27.879438
-132.989184,31,27.957267
-126.754346,31,28.034106
-129.300248,31,28.100606
-131.98209,41,28.18007
-134.202075,37,28.242738
-134.915499,52,28.360362
-130.373864,31,28.414928
-131.137251,46,28.507246
-135.560352,31,28.588414
-135.421145,42,28.673356
-112.080914,31,28.749646
-129.851579,31,28.811137
-136.445292,99,29.048334
-117.453165,46,29.168406
-128.472949,31,29.22838
-139.770253,31,29.291986
-131.030174,31,29.349627
-130.790281,55,29.439134
-121.752921,112,29.622576
-129.972606,31,29.691765
-143.489326,31,29.740125
-124.770326,31,29.789102
-135.402119,31,29.850634
-136.900296,31,29.905836
-124.157522,32,29.994839
-136.020302,31,30.074718
-129.755986,47,30.17286
-126.600632,31,30.257104
-133.007671,46,30.339188
-131.663443,31,30.389055
-128.89056,39,30.439529
-132.308143,31,30.505934
-127.914141,28,30.555665
-124.688455,43,30.623292
-131.752551,31,30.673546
-122.791914,33,30.722687
-118.071174,32,30.788269
-128.229997,71,30.901605
-134.533403,31,33.7631
-126.555545,52,33.867193
-132.21936,53,33.956867
-130.112001,38,34.004055
-119.587174,87,34.12561
-123.81558,101,34.26246
-114.648993,31,34.298029
-141.351547,31,34.335204
-127.775763,51,34.391062
-130.418334,48,34.444397
-135.310776,70,34.522593
-131.335336,31,34.558897
-119.267133,63,34.627126
-119.082169,96,34.73331
-122.928555,45,34.783004
-136.013732,31,34.823045
-128.885321,45,34.870866
-135.960084,85,34.960986
-119.652775,50,35.011796
-135.865076,31,35.041368
-115.743386,40,35.080387
-119.116059,31,35.110072
-133.612524,55,35.167977
-130.016454,31,35.20209
-131.985751,33,35.25384
-113.6611,61,35.315614
-129.663761,37,35.357082
-117.966963,47,35.40609
-135.22096,31,35.442508
-122.653506,57,35.508397
-132.035493,171,35.704342
-122.94654,33,35.746928
-131.41647,31,35.78546
-130.11791,33,35.834374
-117.953344,46,35.899236
-128.675084,31,35.936875
-135.621099,31,35.972668
-116.023902,92,36.09882
-127.366259,59,36.178921
-135.758874,31,36.228143
-123.380964,22,38.053749
-118.067042,65,38.160597
-129.752869,33,38.207682
-121.169872,134,38.376883
-119.715657,69,38.483091
-125.087734,117,38.622997
-117.481373,49,38.675316
-129.667188,40,38.718016
-132.677865,60,38.783051
-131.091755,31,38.815088
-132.644112,35,38.851097
-130.321538,40,38.893372
-132.018013,66,38.960976
-138.239854,81,39.043418
-128.556792,55,39.098175
-129.263201,61,39.154765
-112.204942,52,39.204023
-120.879981,98,39.296978
-124.204033,66,39.359499
-123.842688,62,39.418546
-113.489063,75,39.504874
-137.648596,41,39.553534
-129.871023,31,39.594925
-118.90084,46,39.639056
-113.820527,47,39.689907
-116.227594,58,39.758972
-128.338884,60,39.830008
-136.267807,78,39.913751
-133.60314,58,39.971942
-120.681421,75,40.075253
-132.294765,123,40.32444
-115.423263,47,40.408984
-116.963859,55,40.516117
-119.704798,123,44.347158
-124.115597,55,44.568904
-130.333264,31,44.668911
-138.296518,55,44.857352
-140.788475,128,45.377415
-117.496826,71,45.518295
-123.977715,142,45.774534
-115.72423,54,45.845243
-131.537415,31,45.887911
-121.864058,46,45.947237
-125.926179,113,46.079793
