#{"t_start": 1786554908.9867756, "env_id": "None"}
r,l,t
-115.635612,31,1.648092
-117.13277,31,1.682957
-110.803356,37,1.732054
-116.843443,31,1.765649
-77.82877,77,1.865857
-124.160391,26,1.89906
-124.949355,31,1.950114
-109.088027,35,1.982057
-113.117226,31,2.032476
-107.424293,40,2.082413
-120.059906,31,2.11555
-112.670799,31,2.165367
-108.138318,31,2.198499
-109.411444,37,2.256165
-116.543109,31,2.282189
-86.923885,63,2.367553
-111.649617,31,2.416333
-92.46976,43,2.46636
-85.800719,72,2.565189
-80.75424,53,2.635885
-116.874301,31,2.665732
-117.522523,31,2.714274
-123.051815,31,2.748604
-113.346472,31,2.791606
-121.414038,31,2.831975
-92.678286,49,2.915666
-114.629589,31,2.948428
-115.205494,31,2.981792
-113.480312,31,3.032389
-101.688611,37,3.08184
-83.122796,65,3.164974
-115.655784,31,3.19868
-81.362247,78,3.304076
-112.932856,31,3.332387
-119.715778,31,3.381896
-114.727641,31,3.415481
-109.407693,31,3.448413
-102.067375,60,3.548942
-111.717643,31,3.582057
-87.263864,49,3.65351
-83.966246,49,3.716294
-115.016679,31,3.748518
-119.741082,31,3.798488
-112.413965,31,3.841688
-120.824059,31,3.882062
-116.721919,31,3.915163
-118.765508,31,3.951052
-112.465939,24,3.981927
-78.804917,54,4.049048
-106.936459,31,4.0986
-115.910454,31,4.137624
-84.008014,66,4.215268
-114.770731,31,4.265138
-116.399667,31,6.181962
-115.103511,31,6.227806
-56.401767,93,6.35296
-115.138779,31,6.381714
-104.337134,33,6.431731
-115.264017,31,6.473225
-109.12493,31,6.515018
-116.482489,31,6.552704
-109.110518,34,6.598787
-117.190486,31,6.632112
-62.503466,71,6.731836
-109.834039,31,6.765131
-111.739297,32,6.798694
-105.535293,37,6.852876
-102.767884,38,6.898834
-109.304404,33,6.948925
-115.84492,31,6.98204
-113.384864,31,7.029433
-110.569119,31,7.065016
-116.327544,31,7.098792
-114.122348,31,7.148362
-105.90413,47,7.198485
-117.889466,31,7.247323
-117.2442,31,7.282182
-89.431156,45,7.331875
-101.805813,46,7.398355
-93.67662,65,7.48212
-126.864837,31,7.515355
-115.121269,31,7.563228
-113.814478,31,7.598997
-93.799944,61,7.665049
-106.446874,37,7.715083
-117.774443,31,7.765312
-120.836563,31,7.798339
-114.887178,31,7.83186
-103.146692,41,7.898304
-115.638436,31,7.931813
-109.059454,39,7.981713
-110.045757,31,8.015581
-67.542454,99,8.148393
-91.23158,49,8.214932
-88.887996,51,8.281821
-58.479147,93,8.398361
-109.19763,31,8.431668
-117.069518,31,8.48068
-116.226124,31,8.51514
-112.752027,31,8.554312
-114.434397,31,8.598539
-112.372165,31,8.631794
-98.844128,31,8.665053
-114.423415,31,8.715147
-88.674157,71,10.657823
-116.507005,31,10.698389
-94.718565,34,10.748149
-112.412314,31,10.795525
-119.74043,31,10.831553
-108.185154,33,10.864883
-74.010899,67,10.958541
-102.026685,42,10.998869
-103.828204,36,11.05865
-111.506035,31,11.098494
-96.077834,59,11.164881
-87.399775,66,11.259325
-93.825965,40,11.298414
-119.255403,31,11.348143
-113.123652,42,11.398213
-111.198997,31,11.433756
-117.220232,31,11.481616
-108.716538,37,11.530216
-96.298107,57,11.598678
-110.297013,32,11.632196
-86.180275,68,11.732002
-105.441058,40,11.780143
-83.264979,51,11.8323
-80.589148,60,11.898903
-119.717799,31,11.93102
-119.177614,31,11.964665
-85.495936,40,12.014362
-108.135155,31,12.04822
-95.786354,62,12.11438
-101.764603,42,12.16463
-120.90756,31,12.197867
-108.893044,38,12.230992
-111.283907,31,12.264725
-104.827001,31,12.309503
-67.446758,75,12.385429
-115.353772,31,12.415301
-105.295452,41,12.474503
-102.038271,42,12.514394
-115.931361,31,12.563707
-115.199778,31,12.598662
-111.125821,31,12.631077
-115.62255,31,12.669725
-111.217467,31,12.698652
-107.40061,31,12.746455
-105.094591,35,12.781608
-109.685299,31,12.820291
-79.544143,76,12.915087
-94.275415,60,12.981477
-117.630773,31,13.020787
-108.447129,33,13.061443
-107.245206,46,15.02168
-60.168923,107,15.165222
-99.057053,57,15.231522
-116.387843,31,15.265229
-83.247912,67,15.348707
-86.318998,55,15.414904
-51.090237,92,15.53236
-92.834058,36,15.582669
-114.199861,31,15.631344
-96.718289,39,15.681469
-102.69884,43,15.732178
-104.786315,42,15.782536
-117.053218,31,15.818327
-109.467479,33,15.865147
-112.787417,31,15.903985
-76.330743,89,16.016206
-102.799009,47,16.069571
-105.186733,43,16.131929
-88.176684,39,16.165636
-93.454096,57,16.231868
-109.16211,34,16.265555
-106.73073,31,16.297642
-114.634913,31,16.331346
-81.554368,49,16.397496
-89.789734,54,16.447629
-79.424972,74,16.531464
-44.83925,116,16.665893
-99.842151,50,16.716381
-24.919621,142,16.880831
-118.062731,31,16.920189
-112.03506,31,16.964999
-119.44955,31,16.999069
-87.933278,56,17.066481
-94.816935,31,17.098804
-60.642279,85,17.198774
-106.726096,44,17.266614
-115.738367,31,17.298243
-100.277301,53,17.370201
-111.304191,32,17.397995
-24.635368,145,19.523504
-86.131704,49,19.592323
-58.410204,78,19.68128
-65.257964,101,19.814656
-84.073945,71,19.89801
-34.076992,131,20.070537
-34.508389,158,20.271131
-68.725195,57,20.331888
-89.166731,75,20.414685
-84.218358,36,20.471287
-83.903568,56,20.531821
-48.257197,112,20.662636
-107.642211,31,20.696528
-113.652777,32,20.732258
-113.445188,15,20.747441
-91.662383,34,20.785594
-92.328833,48,20.830721
-88.326708,38,20.880095
-73.992103,67,20.948466
-113.474411,31,20.980827
-52.538636,122,21.115146
-85.293177,40,21.165023
-94.862513,64,21.231251
-39.322783,111,21.364722
-65.892859,109,21.498715
-70.771608,88,21.598264
-109.547384,37,21.648373
-73.540614,81,21.780681
-26.211986,173,23.865425
-41.621242,113,24.01482
14.246058,208,24.277164
-41.785378,101,24.398508
-105.938227,41,24.450805
-82.487471,56,24.52054
-111.612675,37,24.56491
