#{"t_start": 1786550533.7044973, "env_id": "None"}
r,l,t
-87.871928,69,13.534715
-105.575171,32,13.576575
-81.453141,84,13.710651
-97.857633,43,13.774865
-115.11494,31,13.831429
-115.124783,31,13.874768
-90.306279,56,13.977587
-107.6627,31,14.065832
-110.60213,31,14.108024
-116.293822,31,14.158379
-112.023792,33,14.224627
-111.223662,32,14.278071
-109.839806,31,14.341468
-100.742405,37,14.391341
-112.545965,32,14.441959
-119.282826,31,14.525138
-115.713728,31,14.57471
-111.973634,28,14.608041
-113.296237,31,14.680145
-96.377973,51,14.791535
-113.216095,31,14.84146
-114.66362,31,14.907088
-100.110441,48,14.974644
-94.088102,52,15.044139
-102.079555,46,15.10841
-112.466506,31,15.158239
-116.21455,17,15.191443
-112.360033,31,15.224786
-104.25072,31,15.274713
-94.63995,58,15.35856
-66.765249,92,15.483514
-113.071281,31,15.528701
-114.862406,31,15.568882
-111.147913,31,15.6089
-117.838412,31,15.648839
-117.813152,31,15.676894
-106.399977,31,15.728199
-116.523471,31,15.768759
-111.804325,31,15.808012
-114.764422,31,15.8419
-121.036968,31,15.875521
-119.587928,31,15.925721
-106.863783,35,15.968493
-111.145802,31,16.008425
-114.424231,31,16.042059
-112.078288,31,16.090913
-86.471719,64,16.171733
-114.149579,31,16.216865
-109.825278,31,16.256366
-124.68763,31,16.29185
-98.53303,31,16.326524
-86.240985,60,16.424608
-117.005952,31,16.458397
-109.91106,31,16.49225
-112.650424,31,18.713456
-103.591895,40,18.799596
-104.305318,31,18.866167
-119.940546,31,18.907855
-112.915096,37,18.990164
-116.985926,22,19.024575
-111.893936,31,19.069573
-117.798405,31,19.124764
-117.854563,31,19.183061
-115.018344,31,19.224644
-89.708795,63,19.330995
-87.190837,52,19.458422
-98.47796,41,19.524758
-107.740349,36,19.580794
-120.92871,31,19.632388
-85.385498,46,19.708066
-112.896781,31,19.776705
-102.117331,41,19.845677
-112.443625,31,19.907734
-121.068814,31,19.98074
-95.183088,43,20.041446
-109.957359,32,20.08067
-94.612724,49,20.157611
-102.123852,46,20.225349
-84.613886,66,20.311301
-114.23186,31,20.341206
-114.500782,31,20.38862
-104.709918,37,20.435465
-116.868551,31,20.473989
-110.272747,31,20.513779
-113.173491,31,20.552502
-120.049678,31,20.592871
-111.690939,31,20.624941
-115.574347,31,20.669635
-123.484959,31,20.70821
-94.133204,36,20.751703
-115.392235,31,20.790544
-111.726532,33,20.825029
-95.213904,55,20.89147
-111.025014,31,20.938173
-120.370492,31,20.977156
-109.779144,39,21.026301
-87.702655,47,21.08356
-109.571402,29,21.120534
-125.381412,31,21.159464
-96.841473,41,21.218426
-114.143575,31,21.2614
-113.559462,34,21.308366
-110.300738,31,21.352162
-110.195688,31,21.396082
-113.251491,31,21.437635
-82.552975,75,21.537756
-91.534449,56,21.60971
-98.984019,31,21.653201
-113.361417,31,21.693575
-98.382061,43,21.746788
-47.074955,101,23.802217
-86.294206,59,23.891698
-112.623864,31,23.94158
-101.58189,43,24.0078
-81.742696,61,24.090999
-62.074947,65,24.18801
-95.485783,32,24.23165
-116.060507,31,24.276716
-66.021505,68,24.374843
-106.559506,40,24.424328
-91.718392,31,24.476806
-107.100249,31,24.532836
-105.243277,40,24.616924
-104.106701,31,24.687506
-102.86046,40,24.810441
-107.874142,31,24.886414
-106.863903,34,24.957989
-66.655296,67,25.098122
-108.989262,32,25.140605
-102.257668,45,25.200698
-106.965947,31,25.245247
-99.770809,35,25.291401
-93.318931,32,25.326458
-105.208448,32,25.374267
-109.145381,34,25.417674
-109.323323,32,25.457088
-120.097437,31,25.491863
-108.140055,42,25.550491
-101.496741,50,25.607882
-97.877137,50,25.657996
-108.571332,36,25.70797
-113.601901,31,25.741222
-112.562967,31,25.774874
-114.95608,31,25.824761
-104.118117,37,25.858236
-112.359267,31,25.907914
-110.222319,31,25.958454
-115.701319,31,25.991314
-72.883957,62,26.075038
-98.773184,41,26.125257
-111.81278,31,26.173367
-93.756926,51,26.240755
-120.304893,31,26.273912
-61.053068,87,26.375427
-66.106253,86,26.474817
-86.706117,73,26.574353
-57.694401,84,28.83135
-106.71258,32,28.881213
-108.935302,33,28.949854
-75.484233,73,29.078613
-104.87277,34,29.137222
-94.576485,37,29.207252
-98.89076,59,29.303843
-60.563279,91,29.431522
-65.617079,112,29.620239
-63.594785,72,29.747827
-90.469309,53,29.825082
-71.686593,85,29.96663
-89.105947,63,30.062104
-113.848001,31,30.114001
-113.088109,31,30.160333
-96.004208,52,30.239112
-116.13445,31,30.283219
-97.836882,48,30.362869
-98.076792,55,30.442611
-47.488299,106,30.616047
-94.080583,31,30.661837
-5.323837,166,30.997432
-82.432254,57,31.122985
-106.689321,39,31.230259
-87.312776,64,31.395119
-102.889433,42,31.509395
-114.356478,31,31.542213
-67.132986,81,31.642389
-111.206889,31,31.678791
-106.885452,32,31.711664
-89.337155,47,31.75622
-74.352618,84,31.836704
-82.122386,60,31.910971
-101.823504,48,31.97727
-88.910785,48,32.043676
-124.806419,31,32.07404
-87.358602,39,33.959935
-107.728241,31,34.01625
-94.238737,59,34.123609
-79.134163,79,34.243485
