#{"t_start": 1786665026.6151545, "env_id": "None"}
r,l,t
-128.674908,32,1.866886
-133.974007,31,1.899665
-123.516483,33,1.933771
-131.236172,31,1.964612
-130.264273,39,2.003845
-115.502022,63,2.067919
-124.830047,46,2.112605
-117.25704,50,2.162874
-143.608863,31,2.194007
-114.338357,50,2.245677
-130.86254,31,2.276426
-119.784858,46,2.322253
-121.064845,33,2.355846
-103.514388,113,2.469369
-137.095964,31,2.499979
-125.614573,32,2.531219
-129.417667,31,2.569362
-133.508854,31,2.631812
-122.343333,34,2.669819
-127.277426,36,2.709706
-133.902618,31,2.74427
-132.442643,31,2.781385
-122.721386,46,2.835681
-133.795979,31,2.869298
-104.474959,58,2.935014
-106.956031,65,3.005918
-130.527285,31,3.039952
-131.92667,31,3.073805
-130.34401,35,3.111743
-123.411256,31,3.146423
-111.699934,43,3.192384
-122.788782,56,3.253783
-117.521212,37,3.294622
-126.25314,34,3.332533
-100.599636,70,3.40803
-124.659942,31,3.441962
-137.986055,31,3.475821
-116.355002,32,3.510686
-128.738286,39,3.553863
-116.910268,62,3.621462
-128.101972,33,3.657342
-109.714768,51,3.713302
-128.268661,31,3.747263
-133.710773,22,3.771572
-125.126375,41,3.820344
-121.001543,48,3.882436
-122.138784,65,3.980345
-120.530997,53,4.04189
-130.399251,31,4.078999
-110.539827,69,5.151406
-130.868264,31,5.191173
-128.674832,31,5.228759
-125.276969,50,5.298671
-134.097804,31,5.332602
-130.292274,31,5.387014
-134.466869,31,5.427339
-127.881415,37,5.472663
-107.519503,64,5.543643
-118.258712,51,5.60121
-126.432283,45,5.651292
-131.658694,37,5.693353
-129.511843,38,5.735873
-125.708149,42,5.780852
-122.725321,58,5.844482
-121.206615,24,5.870785
-127.453277,37,5.912226
-130.26354,31,5.946611
-132.572292,31,5.980782
-99.514878,73,6.061172
-121.292915,52,6.118093
-124.6042,39,6.161205
-125.409663,38,6.203619
-125.300204,42,6.249576
-129.934794,31,6.28347
-112.792965,62,6.352602
-117.13621,49,6.407563
-120.57467,31,6.441072
-121.71097,37,6.48132
-115.877057,63,6.551483
-130.166603,42,6.600351
-125.385774,39,6.643259
-137.975718,31,6.67745
-129.103381,39,6.721405
-136.687821,31,6.755793
-133.632031,31,6.790133
-133.312835,33,6.827451
-132.624908,44,6.875292
-109.018118,91,6.975353
-113.078695,29,7.00668
-130.37702,31,7.040846
-134.099371,31,7.074329
-131.995057,31,7.108552
-126.819296,31,7.14378
-124.950547,32,7.178652
-101.251067,64,7.24897
-126.496655,31,7.284535
