#{"t_start": 1785761681.3966603, "env_id": "None"}
r,l,t
-470.60505,61,3.770558
-426.584942,147,3.983499
-174.156455,110,4.130051
-165.864966,32,4.173583
-423.489565,45,4.233582
-91.038198,70,4.326148
-494.882118,81,4.474215
-98.05359,137,4.658487
-233.067661,46,4.717537
-120.891763,102,4.848037
-497.493713,102,4.979653
-493.660495,48,5.041652
-115.404447,84,5.151181
-149.321929,109,5.29006
-359.579384,63,5.370154
-92.081202,44,5.426154
-324.022591,77,5.524723
-443.462777,155,5.722775
-495.787856,59,5.797262
-501.613599,84,5.905786
-186.519078,155,6.100865
-305.018293,91,6.217383
-174.423239,51,6.281533
-314.280089,63,6.361023
-270.167796,99,8.393927
-500.376438,76,8.505438
-107.749418,67,8.585992
-476.850596,64,8.665276
-492.088326,63,8.744275
-110.185685,45,8.801585
-258.499183,91,8.918145
-132.518313,57,8.989527
-513.135754,133,9.156055
-293.792701,55,9.225478
-478.030602,76,9.321
-234.293293,119,9.47504
-119.972126,121,9.625593
-426.790157,99,9.745932
-493.831683,183,9.974563
-205.532681,125,10.125152
-486.3137,153,10.317064
-212.795781,89,10.510178
-191.695449,70,10.60877
-193.642313,143,10.807718
-323.585453,87,10.917277
2.34543,283,13.334799
-389.681618,63,13.425457
-490.585857,67,13.515908
-261.464281,204,13.78751
-390.795919,114,13.925713
-20.328729,131,14.085816
-33.743864,127,14.236306
-308.184561,184,14.470917
-82.296407,181,14.729932
-126.903899,151,14.959038
-16.48463,228,15.332413
-444.182286,139,15.628638
-91.453472,78,15.726165
-454.851173,141,15.935884
-224.641762,99,18.058182
-471.666472,147,18.272546
-68.499438,164,18.497186
-84.019414,133,18.712055
-255.01177,148,18.893047
-177.858046,171,19.10366
-204.808664,80,19.217184
-160.641971,116,19.36627
-275.22461,255,19.682574
-305.57777,32,19.722559
-405.09873,129,19.888306
-311.921603,55,19.954315
-275.352367,166,20.163455
-176.828663,76,20.261009
-164.823874,135,20.436661
-113.118669,142,20.65172
-492.248663,224,22.978274
-122.15519,132,23.160001
-88.028928,122,23.327885
-460.059444,47,23.394419
-217.48277,154,23.596534
-83.4089,91,23.712143
-300.819263,104,23.837477
-138.668418,162,24.050406
-93.300508,170,24.420281
-256.434865,131,24.671952
-45.86511,144,24.959191
-246.851527,162,25.225795
-266.404751,154,25.422469
-193.369235,154,25.616349
-420.059922,165,27.78414
-389.978248,137,28.00529
-176.852599,269,28.380398
-52.926308,220,28.685668
-218.965655,168,28.923726
-74.41393,224,29.205181
-24.585013,206,29.464213
-113.308176,71,29.578834
-238.730503,192,29.89148
-186.374757,141,30.080148
-346.343245,149,30.286196
-207.845575,237,32.548566
-109.780436,148,32.758609
-50.446228,150,32.952116
-147.321341,260,33.302992
-39.877118,149,33.489867
-159.577801,180,33.714435
-269.184528,164,33.950482
-185.01486,185,34.193287
-2.545659,157,34.40131
-58.798171,330,34.839018
-122.140898,205,35.110228
-224.804745,328,37.425082
-36.169621,247,37.753397
-68.912364,166,37.972847
-242.099302,183,38.203086
-1.277895,163,38.388204
55.693357,285,38.717568
-243.219146,195,38.991036
-288.935114,229,39.304911
-39.63759,223,39.587358
-152.242561,157,41.718559
-88.907769,220,42.042692
-273.849311,172,42.273819
70.737464,316,42.726929
-14.178867,276,43.084512
-41.581514,196,43.341338
-192.836546,193,43.582929
-87.300808,195,43.829874
-56.154028,209,44.102374
-10.991003,222,44.382972
14.029066,332,46.755446
-16.255256,226,47.080023
-130.417322,307,47.476284
-169.785277,171,47.69648
12.191813,352,48.167075
-216.7463,317,48.618252
100.071362,466,51.204574
125.67153,355,51.852929
-32.720316,308,52.580416
-100.849545,288,53.235499
-0.261741,335,53.668554
272.203835,675,56.43433
78.206774,459,57.084176
640.43304,1000,58.568779
647.157494,1000,62.09533
449.765329,1000,63.576472
68.446683,753,66.670449
636.8285,1000,68.037204
646.477179,1000,71.752923
539.653758,1000,73.193026
164.553428,353,73.71349
836.375141,1000,78.558111
784.692804,1000,80.42909
801.174983,1000,84.058273
873.43174,1000,85.519985
856.925053,1000,89.357033
929.453173,1000,90.410347
888.86926,1000,93.456843
907.147794,1000,94.69795
886.877716,1000,97.832127
955.900433,1000,99.071
962.241398,1000,102.246297
1009.934125,1000,103.573113
1020.695432,1000,106.699378
1034.298419,1000,107.951073
1007.258675,1000,111.290861
1020.615962,1000,112.56607
1078.193283,1000,114.370834
1084.148028,1000,117.793616
1091.040498,1000,119.095524
1116.541028,1000,122.739156
1073.098531,1000,124.447757
1136.29108,1000,127.931767
1177.202366,1000,129.482892
1165.937662,1000,133.033365
1140.235733,1000,134.468082
1177.409003,1000,137.794179
1197.66494,1000,139.221714
1221.610531,1000,142.608539
