#{"t_start": 1786585465.720963, "env_id": "None"}
r,l,t
-129.376132,31,12.253455
-130.478726,31,12.295946
-114.966062,39,12.341758
-129.803362,31,12.388308
-115.689186,48,12.454004
-118.950028,27,12.490843
-121.029347,34,12.527587
-129.710696,31,12.573211
-113.866025,46,12.638705
-133.596544,31,12.682609
-122.148031,24,12.715797
-124.59679,32,12.765252
-124.531175,40,12.843026
-122.624431,34,12.894137
-122.829914,38,12.957311
-135.133354,31,13.007121
-116.072945,44,13.090884
-106.901652,44,13.156391
-109.24193,43,13.214563
-126.706312,31,13.254034
-118.800541,52,13.345649
-124.069695,32,13.42759
-126.442422,31,13.489553
-122.190342,31,13.529305
-122.733948,35,13.581587
-109.757325,31,13.622309
-97.843989,79,13.766459
-103.591526,47,13.832846
-140.468474,31,13.872563
-113.228997,31,13.914232
-126.955141,31,13.956084
-108.429525,62,14.037781
-117.192896,57,14.114619
-97.071545,81,14.225388
-99.592765,73,14.322945
-132.077782,31,14.363831
-74.942239,145,14.555339
-121.693938,41,14.608838
-124.756076,31,14.650394
-134.226118,31,14.693053
-114.897204,49,14.762947
-109.955071,48,14.827417
-125.246105,31,14.856263
-117.891493,31,14.927877
-112.982756,34,14.975886
-120.634024,51,15.040289
-112.551989,63,15.12292
-86.506669,83,17.219563
-129.098751,32,17.268751
-86.339415,75,17.377744
-110.65765,31,17.40736
-124.322394,31,17.45789
-127.609662,31,17.50419
-115.901734,48,17.589327
-129.701242,32,17.656235
-116.791298,42,17.727511
-120.188079,31,17.77733
-113.661768,53,17.868962
-116.554734,32,17.918441
-129.908506,31,17.966315
-111.921834,63,18.048129
-120.8991,31,18.085691
-125.207887,31,18.123366
-117.96017,31,18.1644
-112.722598,63,18.240854
-97.757124,66,18.330456
-116.586716,41,18.372157
-128.009093,31,18.405777
-126.744761,31,18.479599
-125.444458,32,18.529479
-85.231466,102,18.659626
-104.957815,50,18.727173
-118.249569,63,18.814905
-115.021184,49,18.876431
-129.179521,31,18.916517
-122.473545,50,18.979821
-116.858272,31,19.024712
-113.88257,33,19.06675
-121.48226,31,19.106138
-122.111356,34,19.150335
-114.072385,56,19.220164
-81.892053,83,19.325189
-106.921231,58,19.398362
-124.846696,37,19.445363
-130.268251,31,19.484938
-102.818658,66,19.555844
-114.183127,40,19.615401
-125.357967,35,19.661664
-99.43245,49,19.722672
-99.199299,57,19.79022
-95.254719,82,19.906142
-120.919096,32,19.948742
-116.91289,45,21.96863
-72.926784,146,22.205838
-79.401803,91,22.364553
-97.778141,93,22.505992
-67.68438,86,22.636665
-111.245533,60,22.755705
-116.630454,48,22.811071
-88.970121,67,22.913807
-116.341191,31,22.962193
-125.134973,31,23.006143
-94.641862,60,23.100894
-126.144711,41,23.191462
-101.336809,44,23.280001
-53.642002,84,23.423492
-100.187679,89,23.540509
-106.903797,36,23.590008
-125.35612,19,23.64233
-129.464832,38,23.74106
-102.658239,46,23.841297
-116.34841,33,23.909888
-117.484779,55,23.99013
-83.978322,92,24.123125
-125.540457,33,24.172918
-121.136372,38,24.22274
-128.044029,31,24.276068
-121.750039,31,24.31872
-122.412602,34,24.36519
