step,ankle,knee,hip,trunk
0.000000000000000000e+00,3.463744037287937866e-02,1.228283625998757844e-02,-3.535291333559757720e-02,4.186412366067817498e-02
1.000000000000000000e+00,3.446217804979579552e-02,1.241707595279865906e-02,-3.544378235290739781e-02,4.213821169663981708e-02
2.000000000000000000e+00,3.435015689678781736e-02,1.253263174992884019e-02,-3.559074246716108225e-02,4.237076721419223702e-02
3.000000000000000000e+00,3.429131682608427961e-02,1.263952390442845547e-02,-3.578205042243390310e-02,4.256880961847761546e-02
4.000000000000000000e+00,3.427889312153669515e-02,1.274327079113537868e-02,-3.600808892416761109e-02,4.273945693130740131e-02
5.000000000000000000e+00,3.430785537060037499e-02,1.284764220086134778e-02,-3.626127610674225593e-02,4.288868552898444930e-02
6.000000000000000000e+00,3.437432476248074992e-02,1.295547293584656777e-02,-3.653568582682006211e-02,4.302125563092130955e-02
7.000000000000000000e+00,3.447527400456799895e-02,1.306897699091389385e-02,-3.682669896056202374e-02,4.314089696397190726e-02
8.000000000000000000e+00,3.460833145198912580e-02,1.318991341843258301e-02,-3.713071923087618575e-02,4.325051512315911811e-02
9.000000000000000000e+00,3.477163775332832441e-02,1.331969607777455655e-02,-3.744494849689580102e-02,4.335236791824041702e-02
1.000000000000000000e+01,3.496373631763143031e-02,1.345947441258394522e-02,-3.776721066969532248e-02,4.344820678668956382e-02
1.100000000000000000e+01,3.518348839403866168e-02,1.361019530814619460e-02,-3.809581412213134538e-02,4.353938808385065390e-02
1.200000000000000000e+01,3.543000691633253069e-02,1.377265110538643082e-02,-3.842944427112784250e-02,4.362696015662677340e-02
1.300000000000000000e+01,3.570260488220537015e-02,1.394751704439919048e-02,-3.876707973577071809e-02,4.371173134481839279e-02
1.400000000000000000e+01,3.600075504920620395e-02,1.413538052014603162e-02,-3.910792689825039886e-02,4.379432305717148588e-02
1.500000000000000000e+01,3.632405845691927260e-02,1.433676396691682675e-02,-3.945136882486970087e-02,4.387521119114719953e-02
1.600000000000000000e+01,3.667221983719016337e-02,1.455214277847385711e-02,-3.979692539099324855e-02,4.395475845541027549e-02
1.700000000000000000e+01,3.704502840129234725e-02,1.478195935909562379e-02,-4.014422214685188506e-02,4.403323959383151354e-02
